Year,GeoAreaName,Activity,Value
2003,Hungary,ISIC4_C10T32X19,5.77
2004,Hungary,ISIC4_C10T32X19,5.71
2004,Hungary,TOTAL,55.06
2005,Hungary,TOTAL,54.72
2006,Armenia,ISIC4_C10T32X19,1.44
2007,Armenia,ISIC4_C10T32X19,1.17
2007,Armenia,TOTAL,4.8
2008,Armenia,TOTAL,5.27
2008,Armenia,ISIC4_C10T32X19,1.34
2009,Armenia,ISIC4_C10T32X19,0.96
2009,Armenia,TOTAL,4.27
2010,Armenia,TOTAL,4.05
2010,Armenia,ISIC4_C10T32X19,0.52
2011,Armenia,ISIC4_C10T32X19,0.6
2011,Armenia,TOTAL,4.67
2005,Hungary,ISIC4_C10T32X19,5.77
2006,Hungary,ISIC4_C10T32X19,5.6
2006,Hungary,TOTAL,54.16
2007,Hungary,TOTAL,52.52
2007,Hungary,ISIC4_C10T32X19,5.56
2008,Hungary,ISIC4_C10T32X19,5.4
2008,Hungary,TOTAL,51.75
2009,Hungary,TOTAL,46.87
2009,Hungary,ISIC4_C10T32X19,3.94
2010,Hungary,ISIC4_C10T32X19,4.21
2010,Hungary,TOTAL,47.15
2011,Hungary,TOTAL,46.34
2011,Hungary,ISIC4_C10T32X19,5.36
2012,Hungary,ISIC4_C10T32X19,4.66
2012,Hungary,TOTAL,42.75
2013,Hungary,ISIC4_C10T32X19,5.17
2013,Hungary,TOTAL,40.25
2014,Hungary,ISIC4_C10T32X19,4.84
2014,Hungary,TOTAL,40.06
2015,Hungary,TOTAL,42.71
2015,Hungary,ISIC4_C10T32X19,5.23
2016,Hungary,ISIC4_C10T32X19,5.23
2000,Albania,ISIC4_C10T32X19,0.41
2000,Albania,TOTAL,3.09
2001,Albania,TOTAL,3.23
2001,Albania,ISIC4_C10T32X19,0.46
2002,Albania,ISIC4_C10T32X19,0.4
2002,Albania,TOTAL,3.76
2003,Albania,TOTAL,3.84
2003,Albania,ISIC4_C10T32X19,0.44
2004,Albania,ISIC4_C10T32X19,0.46
2004,Albania,TOTAL,4.02
2005,Albania,ISIC4_C10T32X19,0.39
2016,Hungary,TOTAL,43.54
2017,Hungary,TOTAL,48.67
2017,Hungary,ISIC4_C10T32X19,5.85
2018,Hungary,ISIC4_C10T32X19,5.97
2018,Hungary,TOTAL,48.32
2019,Hungary,TOTAL,46.24
2019,Hungary,ISIC4_C10T32X19,5.86
2020,Hungary,ISIC4_C10T32X19,5.78
2020,Hungary,TOTAL,43.84
2000,Iceland,TOTAL,2.16
2000,Iceland,ISIC4_C10T32X19,0.59
2005,Albania,TOTAL,3.84
2006,Albania,ISIC4_C10T32X19,0.61
2006,Albania,TOTAL,3.81
2007,Albania,TOTAL,3.79
2007,Albania,ISIC4_C10T32X19,0.55
2008,Albania,ISIC4_C10T32X19,0.45
2008,Albania,TOTAL,3.73
2009,Albania,TOTAL,3.78
2009,Albania,ISIC4_C10T32X19,0.74
2010,Albania,ISIC4_C10T32X19,1.03
2010,Albania,TOTAL,3.95
2001,Iceland,ISIC4_C10T32X19,0.61
2001,Iceland,TOTAL,2.11
2002,Iceland,TOTAL,2.21
2002,Iceland,ISIC4_C10T32X19,0.66
2003,Iceland,ISIC4_C10T32X19,0.6
2003,Iceland,TOTAL,2.19
2004,Iceland,TOTAL,2.26
2004,Iceland,ISIC4_C10T32X19,0.61
2005,Iceland,ISIC4_C10T32X19,0.58
2005,Iceland,TOTAL,2.21
2006,Iceland,TOTAL,2.25
2011,Albania,TOTAL,4.16
2011,Albania,ISIC4_C10T32X19,1
2012,Albania,ISIC4_C10T32X19,0.6
2012,Albania,TOTAL,3.5
2013,Albania,TOTAL,3.67
2013,Albania,ISIC4_C10T32X19,0.56
2014,Albania,ISIC4_C10T32X19,0.89
2014,Albania,TOTAL,4.14
2015,Albania,TOTAL,3.84
2015,Albania,ISIC4_C10T32X19,0.67
2016,Albania,ISIC4_C10T32X19,0.57
2000,Serbia,TOTAL,42.94
2000,Serbia,ISIC4_C10T32X19,5.26
2001,Serbia,ISIC4_C10T32X19,6.1
2001,Serbia,TOTAL,45
2002,Serbia,TOTAL,48.58
2002,Serbia,ISIC4_C10T32X19,6.54
2003,Serbia,ISIC4_C10T32X19,7.85
2003,Serbia,TOTAL,52.15
2004,Serbia,TOTAL,56.35
2004,Serbia,ISIC4_C10T32X19,9.64
2005,Serbia,ISIC4_C10T32X19,6.84
2006,Iceland,ISIC4_C10T32X19,0.52
2007,Iceland,TOTAL,2.32
2007,Iceland,ISIC4_C10T32X19,0.52
2008,Iceland,TOTAL,2.12
2008,Iceland,ISIC4_C10T32X19,0.44
2009,Iceland,ISIC4_C10T32X19,0.4
2009,Iceland,TOTAL,2.08
2010,Iceland,TOTAL,1.95
2010,Iceland,ISIC4_C10T32X19,0.41
2011,Iceland,ISIC4_C10T32X19,0.4
2011,Iceland,TOTAL,1.87
2012,Iceland,TOTAL,1.86
2012,Iceland,ISIC4_C10T32X19,0.42
2013,Iceland,ISIC4_C10T32X19,0.48
2013,Iceland,TOTAL,2.03
2014,Iceland,TOTAL,2.05
2014,Iceland,ISIC4_C10T32X19,0.49
2015,Iceland,ISIC4_C10T32X19,0.44
2015,Iceland,TOTAL,2.06
2016,Iceland,TOTAL,1.63
2016,Iceland,ISIC4_C10T32X19,0.04
2017,Iceland,ISIC4_C10T32X19,0.02
2005,Serbia,TOTAL,49.5
2006,Serbia,TOTAL,51.69
2006,Serbia,ISIC4_C10T32X19,7.67
2007,Serbia,TOTAL,50.1
2007,Serbia,ISIC4_C10T32X19,7.93
2008,Serbia,TOTAL,48.39
2008,Serbia,ISIC4_C10T32X19,7.31
2009,Serbia,ISIC4_C10T32X19,3.83
2009,Serbia,TOTAL,45.79
2010,Serbia,TOTAL,46.05
2010,Serbia,ISIC4_C10T32X19,4.6
2017,Iceland,TOTAL,1.67
2018,Iceland,TOTAL,1.7
2018,Iceland,ISIC4_C10T32X19,0.02
2019,Iceland,ISIC4_C10T32X19,0.02
2019,Iceland,TOTAL,1.64
2020,Iceland,TOTAL,1.45
2020,Iceland,ISIC4_C10T32X19,0.03
2000,Ireland,TOTAL,40.83
2000,Ireland,ISIC4_C10T32X19,4.7
2001,Ireland,ISIC4_C10T32X19,4.7
2001,Ireland,TOTAL,42.96
2016,Albania,TOTAL,3.69
2017,Albania,TOTAL,4.39
2017,Albania,ISIC4_C10T32X19,1.09
2018,Albania,ISIC4_C10T32X19,1.28
2018,Albania,TOTAL,4.39
2019,Albania,TOTAL,4.07
2019,Albania,ISIC4_C10T32X19,0.91
2020,Albania,TOTAL,3.39
2020,Albania,ISIC4_C10T32X19,0.98
2000,Azerbaijan,TOTAL,27.31
2000,Azerbaijan,ISIC4_C10T32X19,2.51
2011,Serbia,ISIC4_C10T32X19,5.22
2011,Serbia,TOTAL,50.2
2012,Serbia,TOTAL,44.91
2012,Serbia,ISIC4_C10T32X19,4.71
2013,Serbia,ISIC4_C10T32X19,3.71
2013,Serbia,TOTAL,45.7
2014,Serbia,TOTAL,38.31
2014,Serbia,ISIC4_C10T32X19,3.55
2015,Serbia,ISIC4_C10T32X19,3.26
2015,Serbia,TOTAL,44.72
2016,Serbia,TOTAL,45.89
2016,Serbia,ISIC4_C10T32X19,3.72
2017,Serbia,ISIC4_C10T32X19,3.52
2017,Serbia,TOTAL,46.55
2018,Serbia,TOTAL,45.32
2018,Serbia,ISIC4_C10T32X19,3.88
2019,Serbia,ISIC4_C10T32X19,3.11
2019,Serbia,TOTAL,45.14
2020,Serbia,TOTAL,45.34
2020,Serbia,ISIC4_C10T32X19,2.47
2000,Slovakia,TOTAL,36.88
2000,Slovakia,ISIC4_C10T32X19,9.59
2002,Ireland,TOTAL,42.07
2002,Ireland,ISIC4_C10T32X19,4.38
2003,Ireland,ISIC4_C10T32X19,4.55
2003,Ireland,TOTAL,41.96
2004,Ireland,TOTAL,42.39
2004,Ireland,ISIC4_C10T32X19,4.59
2005,Ireland,ISIC4_C10T32X19,4.73
2005,Ireland,TOTAL,44.29
2006,Ireland,TOTAL,44.92
2006,Ireland,ISIC4_C10T32X19,4.69
2007,Ireland,ISIC4_C10T32X19,4.33
2001,Azerbaijan,ISIC4_C10T32X19,2.02
2001,Azerbaijan,TOTAL,25.83
2002,Azerbaijan,TOTAL,25.52
2002,Azerbaijan,ISIC4_C10T32X19,2.62
2003,Azerbaijan,ISIC4_C10T32X19,1.71
2003,Azerbaijan,TOTAL,27.83
2004,Azerbaijan,ISIC4_C10T32X19,1.41
2004,Azerbaijan,TOTAL,27.41
2005,Azerbaijan,ISIC4_C10T32X19,1.05
2005,Azerbaijan,TOTAL,29.02
2006,Azerbaijan,TOTAL,29.4
2006,Azerbaijan,ISIC4_C10T32X19,1.01
2007,Azerbaijan,ISIC4_C10T32X19,2.05
2007,Azerbaijan,TOTAL,26.64
2008,Azerbaijan,TOTAL,28.74
2008,Azerbaijan,ISIC4_C10T32X19,2.38
2009,Azerbaijan,ISIC4_C10T32X19,1.52
2009,Azerbaijan,TOTAL,24.42
2010,Azerbaijan,TOTAL,23.44
2010,Azerbaijan,ISIC4_C10T32X19,1.25
2011,Azerbaijan,ISIC4_C10T32X19,1.45
2011,Azerbaijan,TOTAL,26.36
2001,Slovakia,ISIC4_C10T32X19,8.3
2001,Slovakia,TOTAL,37.37
2002,Slovakia,TOTAL,36.9
2002,Slovakia,ISIC4_C10T32X19,8.91
2003,Slovakia,ISIC4_C10T32X19,8.6
2003,Slovakia,TOTAL,37.41
2004,Slovakia,TOTAL,36.21
2004,Slovakia,ISIC4_C10T32X19,8.12
2005,Slovakia,ISIC4_C10T32X19,8.21
2005,Slovakia,TOTAL,37.26
2006,Slovakia,TOTAL,36.48
2006,Slovakia,ISIC4_C10T32X19,8.18
2007,Slovakia,ISIC4_C10T32X19,8.05
2007,Slovakia,TOTAL,35.71
2008,Slovakia,TOTAL,35.49
2008,Slovakia,ISIC4_C10T32X19,7.82
2009,Slovakia,ISIC4_C10T32X19,6.3
2009,Slovakia,TOTAL,32.7
2010,Slovakia,ISIC4_C10T32X19,6.66
2010,Slovakia,TOTAL,34.57
2011,Slovakia,ISIC4_C10T32X19,6.59
2011,Slovakia,TOTAL,32.86
2012,Azerbaijan,TOTAL,28.8
2012,Azerbaijan,ISIC4_C10T32X19,1.88
2013,Azerbaijan,ISIC4_C10T32X19,1.9
2013,Azerbaijan,TOTAL,29.36
2014,Azerbaijan,TOTAL,30.71
2014,Azerbaijan,ISIC4_C10T32X19,2.02
2015,Azerbaijan,ISIC4_C10T32X19,2.04
2015,Azerbaijan,TOTAL,30.54
2016,Azerbaijan,TOTAL,31.11
2016,Azerbaijan,ISIC4_C10T32X19,2.45
2017,Azerbaijan,ISIC4_C10T32X19,1.47
2007,Ireland,TOTAL,44.23
2008,Ireland,TOTAL,43.8
2008,Ireland,ISIC4_C10T32X19,4.24
2009,Ireland,ISIC4_C10T32X19,3.18
2009,Ireland,TOTAL,39.26
2010,Ireland,TOTAL,39.24
2010,Ireland,ISIC4_C10T32X19,3.31
2011,Ireland,ISIC4_C10T32X19,2.89
2011,Ireland,TOTAL,35.52
2012,Ireland,TOTAL,35.83
2012,Ireland,ISIC4_C10T32X19,2.94
2012,Slovakia,TOTAL,31.25
2012,Slovakia,ISIC4_C10T32X19,6.78
2013,Slovakia,ISIC4_C10T32X19,6.95
2013,Slovakia,TOTAL,31.79
2014,Slovakia,TOTAL,29.17
2014,Slovakia,ISIC4_C10T32X19,7.16
2015,Slovakia,ISIC4_C10T32X19,7.03
2015,Slovakia,TOTAL,29.45
2016,Slovakia,TOTAL,30.16
2016,Slovakia,ISIC4_C10T32X19,7.23
2017,Slovakia,ISIC4_C10T32X19,7.68
2013,Ireland,ISIC4_C10T32X19,3.09
2013,Ireland,TOTAL,34.58
2014,Ireland,ISIC4_C10T32X19,3.31
2014,Ireland,TOTAL,34.1
2015,Ireland,ISIC4_C10T32X19,3.37
2015,Ireland,TOTAL,35.44
2016,Ireland,TOTAL,37.22
2016,Ireland,ISIC4_C10T32X19,3.48
2017,Ireland,ISIC4_C10T32X19,3.61
2017,Ireland,TOTAL,35.89
2018,Ireland,TOTAL,35.56
2017,Slovakia,TOTAL,32.21
2018,Slovakia,TOTAL,31.66
2018,Slovakia,ISIC4_C10T32X19,8.19
2019,Slovakia,ISIC4_C10T32X19,7.29
2019,Slovakia,TOTAL,29.63
2020,Slovakia,TOTAL,27.59
2020,Slovakia,ISIC4_C10T32X19,7.04
2000,Slovenia,ISIC4_C10T32X19,2.06
2000,Slovenia,TOTAL,14.05
2001,Slovenia,TOTAL,14.88
2001,Slovenia,ISIC4_C10T32X19,1.91
2018,Ireland,ISIC4_C10T32X19,3.81
2019,Ireland,ISIC4_C10T32X19,3.74
2019,Ireland,TOTAL,33.92
2020,Ireland,TOTAL,31.97
2020,Ireland,ISIC4_C10T32X19,3.63
2000,Italy,TOTAL,420.44
2000,Italy,ISIC4_C10T32X19,72.82
2001,Italy,ISIC4_C10T32X19,70.41
2001,Italy,TOTAL,420.18
2002,Italy,ISIC4_C10T32X19,69.59
2002,Italy,TOTAL,427.18
2012,Armenia,TOTAL,5.44
2012,Armenia,ISIC4_C10T32X19,0.67
2013,Armenia,ISIC4_C10T32X19,0.66
2013,Armenia,TOTAL,5.24
2014,Armenia,TOTAL,5.24
2014,Armenia,ISIC4_C10T32X19,0.46
2015,Armenia,ISIC4_C10T32X19,0.38
2015,Armenia,TOTAL,5.1
2016,Armenia,TOTAL,4.91
2016,Armenia,ISIC4_C10T32X19,0.33
2017,Armenia,ISIC4_C10T32X19,0.38
2002,Slovenia,ISIC4_C10T32X19,1.71
2002,Slovenia,TOTAL,15.08
2003,Slovenia,TOTAL,14.96
2003,Slovenia,ISIC4_C10T32X19,2.03
2004,Slovenia,TOTAL,15.23
2004,Slovenia,ISIC4_C10T32X19,2.07
2005,Slovenia,TOTAL,15.43
2005,Slovenia,ISIC4_C10T32X19,2.16
2006,Slovenia,ISIC4_C10T32X19,2.29
2006,Slovenia,TOTAL,15.78
2007,Slovenia,TOTAL,15.74
2003,Italy,ISIC4_C10T32X19,76.05
2003,Italy,TOTAL,445.26
2004,Italy,TOTAL,455
2004,Italy,ISIC4_C10T32X19,67.86
2005,Italy,ISIC4_C10T32X19,66.05
2005,Italy,TOTAL,456.43
2006,Italy,TOTAL,449.18
2006,Italy,ISIC4_C10T32X19,61.37
2007,Italy,ISIC4_C10T32X19,60.19
2007,Italy,TOTAL,441.46
2008,Italy,TOTAL,428.85
2007,Slovenia,ISIC4_C10T32X19,2.11
2008,Slovenia,ISIC4_C10T32X19,2.01
2008,Slovenia,TOTAL,16.77
2009,Slovenia,TOTAL,15.09
2009,Slovenia,ISIC4_C10T32X19,1.72
2010,Slovenia,ISIC4_C10T32X19,1.74
2010,Slovenia,TOTAL,15.42
2011,Slovenia,TOTAL,15.4
2011,Slovenia,ISIC4_C10T32X19,1.6
2012,Slovenia,ISIC4_C10T32X19,1.53
2012,Slovenia,TOTAL,14.81
2008,Italy,ISIC4_C10T32X19,56.62
2009,Italy,ISIC4_C10T32X19,42.92
2009,Italy,TOTAL,383.72
2010,Italy,TOTAL,391.99
2010,Italy,ISIC4_C10T32X19,45.43
2011,Italy,ISIC4_C10T32X19,44.06
2011,Italy,TOTAL,384.11
2012,Italy,TOTAL,366.68
2012,Italy,ISIC4_C10T32X19,42.53
2013,Italy,ISIC4_C10T32X19,37.32
2013,Italy,TOTAL,337.58
2013,Slovenia,TOTAL,14.16
2013,Slovenia,ISIC4_C10T32X19,1.54
2014,Slovenia,ISIC4_C10T32X19,1.55
2014,Slovenia,TOTAL,12.69
2015,Slovenia,TOTAL,12.77
2015,Slovenia,ISIC4_C10T32X19,1.51
2016,Slovenia,ISIC4_C10T32X19,1.53
2016,Slovenia,TOTAL,13.56
2017,Slovenia,TOTAL,13.71
2017,Slovenia,ISIC4_C10T32X19,1.64
2018,Slovenia,ISIC4_C10T32X19,1.76
2014,Italy,TOTAL,319.16
2014,Italy,ISIC4_C10T32X19,34.36
2015,Italy,ISIC4_C10T32X19,34.14
2015,Italy,TOTAL,329.66
2016,Italy,TOTAL,325.66
2016,Italy,ISIC4_C10T32X19,33.89
2017,Italy,TOTAL,321.48
2017,Italy,ISIC4_C10T32X19,31.13
2018,Italy,TOTAL,317.13
2018,Italy,ISIC4_C10T32X19,31.48
2019,Italy,ISIC4_C10T32X19,30.43
2018,Slovenia,TOTAL,13.62
2019,Slovenia,ISIC4_C10T32X19,1.76
2019,Slovenia,TOTAL,13.19
2020,Slovenia,ISIC4_C10T32X19,1.66
2020,Slovenia,TOTAL,12
2000,Spain,TOTAL,278.58
2000,Spain,ISIC4_C10T32X19,46.13
2001,Spain,TOTAL,279.78
2001,Spain,ISIC4_C10T32X19,50.19
2002,Spain,TOTAL,297.22
2002,Spain,ISIC4_C10T32X19,50.14
2003,Spain,ISIC4_C10T32X19,52.78
2003,Spain,TOTAL,302.62
2004,Spain,TOTAL,319.27
2004,Spain,ISIC4_C10T32X19,53.18
2005,Spain,ISIC4_C10T32X19,53.57
2005,Spain,TOTAL,333.71
2006,Spain,TOTAL,325.04
2006,Spain,ISIC4_C10T32X19,42.61
2007,Spain,ISIC4_C10T32X19,46.83
2007,Spain,TOTAL,337.86
2008,Spain,TOTAL,309.88
2019,Italy,TOTAL,309.31
2020,Italy,TOTAL,274.23
2020,Italy,ISIC4_C10T32X19,28.86
2000,Kazakhstan,TOTAL,112.01
2000,Kazakhstan,ISIC4_C10T32X19,18.36
2001,Kazakhstan,ISIC4_C10T32X19,25.2
2001,Kazakhstan,TOTAL,109.25
2002,Kazakhstan,TOTAL,119.58
2002,Kazakhstan,ISIC4_C10T32X19,18.01
2003,Kazakhstan,ISIC4_C10T32X19,22.97
2003,Kazakhstan,TOTAL,134.8
2017,Armenia,TOTAL,5.17
2018,Armenia,TOTAL,5.4
2018,Armenia,ISIC4_C10T32X19,0.43
2019,Armenia,ISIC4_C10T32X19,0.37
2019,Armenia,TOTAL,5.85
2020,Armenia,ISIC4_C10T32X19,0.4
2020,Armenia,TOTAL,6.33
2000,Belgium,ISIC4_C10T32X19,28.68
2000,Belgium,TOTAL,114.01
2001,Belgium,TOTAL,115.38
2001,Belgium,ISIC4_C10T32X19,30.26
2008,Spain,ISIC4_C10T32X19,43.56
2009,Spain,ISIC4_C10T32X19,35.81
2009,Spain,TOTAL,276.73
2010,Spain,TOTAL,262.94
2010,Spain,ISIC4_C10T32X19,38.25
2011,Spain,ISIC4_C10T32X19,37.32
2011,Spain,TOTAL,265.95
2012,Spain,TOTAL,261.53
2012,Spain,ISIC4_C10T32X19,32.7
2013,Spain,ISIC4_C10T32X19,31.54
2013,Spain,TOTAL,236.15
2014,Spain,TOTAL,233.08
2014,Spain,ISIC4_C10T32X19,29.02
2015,Spain,ISIC4_C10T32X19,26.69
2015,Spain,TOTAL,248.04
2016,Spain,ISIC4_C10T32X19,28.62
2016,Spain,TOTAL,238.84
2017,Spain,ISIC4_C10T32X19,29.83
2017,Spain,TOTAL,255.28
2018,Spain,TOTAL,248.71
2018,Spain,ISIC4_C10T32X19,30.21
2019,Spain,ISIC4_C10T32X19,30.03
2004,Kazakhstan,TOTAL,146.42
2004,Kazakhstan,ISIC4_C10T32X19,30.55
2005,Kazakhstan,ISIC4_C10T32X19,35.1
2005,Kazakhstan,TOTAL,156.9
2006,Kazakhstan,TOTAL,172.94
2006,Kazakhstan,ISIC4_C10T32X19,24.07
2007,Kazakhstan,ISIC4_C10T32X19,35.31
2007,Kazakhstan,TOTAL,187.21
2008,Kazakhstan,ISIC4_C10T32X19,61.19
2008,Kazakhstan,TOTAL,230.26
2009,Kazakhstan,ISIC4_C10T32X19,47.42
2009,Kazakhstan,TOTAL,202.72
2010,Kazakhstan,TOTAL,221.1
2010,Kazakhstan,ISIC4_C10T32X19,51.88
2011,Kazakhstan,ISIC4_C10T32X19,63.05
2011,Kazakhstan,TOTAL,234.82
2012,Kazakhstan,TOTAL,233.83
2012,Kazakhstan,ISIC4_C10T32X19,57.14
2013,Kazakhstan,ISIC4_C10T32X19,64.12
2013,Kazakhstan,TOTAL,249.16
2014,Kazakhstan,TOTAL,197.85
2014,Kazakhstan,ISIC4_C10T32X19,42.36
2019,Spain,TOTAL,232.82
2020,Spain,TOTAL,194.51
2020,Spain,ISIC4_C10T32X19,27.66
2000,Sweden,TOTAL,51.99
2000,Sweden,ISIC4_C10T32X19,13.25
2001,Sweden,TOTAL,51.17
2001,Sweden,ISIC4_C10T32X19,11.82
2002,Sweden,TOTAL,52.74
2002,Sweden,ISIC4_C10T32X19,12.11
2003,Sweden,ISIC4_C10T32X19,11.69
2003,Sweden,TOTAL,54
2015,Kazakhstan,ISIC4_C10T32X19,29.17
2015,Kazakhstan,TOTAL,179.92
2016,Kazakhstan,TOTAL,193.4
2016,Kazakhstan,ISIC4_C10T32X19,24.26
2017,Kazakhstan,ISIC4_C10T32X19,27.46
2017,Kazakhstan,TOTAL,206.05
2018,Kazakhstan,TOTAL,208.74
2018,Kazakhstan,ISIC4_C10T32X19,26.32
2019,Kazakhstan,ISIC4_C10T32X19,22.1
2019,Kazakhstan,TOTAL,197.53
2020,Kazakhstan,TOTAL,204.37
2004,Sweden,TOTAL,52.31
2004,Sweden,ISIC4_C10T32X19,11.78
2005,Sweden,ISIC4_C10T32X19,9.71
2005,Sweden,TOTAL,48.77
2006,Sweden,TOTAL,47.29
2006,Sweden,ISIC4_C10T32X19,8.74
2007,Sweden,ISIC4_C10T32X19,8.7
2007,Sweden,TOTAL,45.72
2008,Sweden,TOTAL,44.63
2008,Sweden,ISIC4_C10T32X19,8.18
2009,Sweden,ISIC4_C10T32X19,5.84
2009,Sweden,TOTAL,41.5
2010,Sweden,TOTAL,46.66
2010,Sweden,ISIC4_C10T32X19,7.73
2011,Sweden,ISIC4_C10T32X19,7.32
2011,Sweden,TOTAL,43.09
2012,Sweden,TOTAL,40.52
2012,Sweden,ISIC4_C10T32X19,6.64
2013,Sweden,ISIC4_C10T32X19,6.18
2013,Sweden,TOTAL,38.99
2014,Sweden,TOTAL,37.59
2014,Sweden,ISIC4_C10T32X19,5.76
2002,Belgium,ISIC4_C10T32X19,24.12
2002,Belgium,TOTAL,107.86
2003,Belgium,TOTAL,112.57
2003,Belgium,ISIC4_C10T32X19,24.71
2004,Belgium,TOTAL,110.51
2004,Belgium,ISIC4_C10T32X19,21.68
2005,Belgium,ISIC4_C10T32X19,20.32
2005,Belgium,TOTAL,108.03
2006,Belgium,TOTAL,104.97
2006,Belgium,ISIC4_C10T32X19,19.52
2007,Belgium,ISIC4_C10T32X19,18.11
2020,Kazakhstan,ISIC4_C10T32X19,22.78
2000,Kosovo,ISIC4_C10T32X19,0.34
2000,Kosovo,TOTAL,5.11
2001,Kosovo,TOTAL,6.48
2001,Kosovo,ISIC4_C10T32X19,0.43
2002,Kosovo,ISIC4_C10T32X19,0.43
2002,Kosovo,TOTAL,6.44
2003,Kosovo,TOTAL,6.78
2003,Kosovo,ISIC4_C10T32X19,0.45
2004,Kosovo,TOTAL,6.85
2004,Kosovo,ISIC4_C10T32X19,0.41
2015,Sweden,ISIC4_C10T32X19,5.98
2015,Sweden,TOTAL,37.58
2016,Sweden,ISIC4_C10T32X19,5.56
2016,Sweden,TOTAL,37.14
2017,Sweden,ISIC4_C10T32X19,5.75
2017,Sweden,TOTAL,36.68
2018,Sweden,TOTAL,34.31
2018,Sweden,ISIC4_C10T32X19,5.74
2019,Sweden,ISIC4_C10T32X19,5.85
2019,Sweden,TOTAL,33.61
2020,Sweden,TOTAL,32.3
2005,Kosovo,TOTAL,6.64
2005,Kosovo,ISIC4_C10T32X19,0.45
2006,Kosovo,ISIC4_C10T32X19,0.46
2006,Kosovo,TOTAL,6.71
2007,Kosovo,TOTAL,7.03
2007,Kosovo,ISIC4_C10T32X19,0.46
2008,Kosovo,ISIC4_C10T32X19,0.48
2008,Kosovo,TOTAL,7.57
2009,Kosovo,TOTAL,8.41
2009,Kosovo,ISIC4_C10T32X19,0.47
2010,Kosovo,ISIC4_C10T32X19,0.6
2020,Sweden,ISIC4_C10T32X19,5.44
2000,Switzerland,ISIC4_C10T32X19,5.54
2000,Switzerland,TOTAL,41.98
2001,Switzerland,TOTAL,43.4
2001,Switzerland,ISIC4_C10T32X19,5.85
2002,Switzerland,ISIC4_C10T32X19,5.26
2002,Switzerland,TOTAL,41.88
2003,Switzerland,TOTAL,43.19
2003,Switzerland,ISIC4_C10T32X19,5.54
2004,Switzerland,ISIC4_C10T32X19,5.51
2004,Switzerland,TOTAL,43.53
2010,Kosovo,TOTAL,8.72
2011,Kosovo,TOTAL,8.6
2011,Kosovo,ISIC4_C10T32X19,0.68
2012,Kosovo,ISIC4_C10T32X19,0.57
2012,Kosovo,TOTAL,8.11
2013,Kosovo,TOTAL,8.29
2013,Kosovo,ISIC4_C10T32X19,0.55
2014,Kosovo,ISIC4_C10T32X19,0.44
2014,Kosovo,TOTAL,7.41
2015,Kosovo,TOTAL,8.62
2015,Kosovo,ISIC4_C10T32X19,0.64
2007,Belgium,TOTAL,100.82
2008,Belgium,TOTAL,103.68
2008,Belgium,ISIC4_C10T32X19,18.31
