Year,GeoAreaName,Location,Sex,Value
2005,Bosnia and Herzegovina,,FEMALE,85
2010,Bosnia and Herzegovina,,BOTHSEX,390
2010,Bosnia and Herzegovina,,MALE,306
2010,Bosnia and Herzegovina,,FEMALE,84
2015,Bosnia and Herzegovina,,BOTHSEX,367
2015,Bosnia and Herzegovina,,FEMALE,81
2015,Bosnia and Herzegovina,,MALE,287
2019,Bosnia and Herzegovina,,BOTHSEX,361
2019,Bosnia and Herzegovina,,FEMALE,76
2019,Bosnia and Herzegovina,,MALE,285
2000,Netherlands,,BOTHSEX,1529
2000,Netherlands,,FEMALE,513
2000,Netherlands,,MALE,1016
2005,Netherlands,,BOTHSEX,1604
2005,Netherlands,,FEMALE,516
2005,Netherlands,,MALE,1088
2010,Netherlands,,BOTHSEX,1636
2010,Netherlands,,FEMALE,488
2010,Netherlands,,MALE,1148
2015,Netherlands,,BOTHSEX,1996
2000,Bulgaria,,BOTHSEX,1458
2000,Bulgaria,,FEMALE,413
2000,Bulgaria,,MALE,1046
2005,Bulgaria,,BOTHSEX,1019
2005,Bulgaria,,FEMALE,263
2005,Bulgaria,,MALE,756
2010,Bulgaria,,BOTHSEX,917
2010,Bulgaria,,FEMALE,224
2010,Bulgaria,,MALE,693
2015,Bulgaria,,BOTHSEX,708
2015,Bulgaria,,FEMALE,165
2015,Bulgaria,,MALE,543
2019,Bulgaria,,BOTHSEX,681
2019,Bulgaria,,MALE,521
2019,Bulgaria,,FEMALE,160
2000,Belarus,,FEMALE,622
2000,Belarus,,MALE,3501
2000,Belarus,,BOTHSEX,4123
2005,Belarus,,BOTHSEX,4161
2005,Belarus,,FEMALE,658
2015,Netherlands,,FEMALE,675
2015,Netherlands,,MALE,1321
2019,Netherlands,,FEMALE,708
2019,Netherlands,,MALE,1317
2019,Netherlands,,BOTHSEX,2025
2000,Norway,,FEMALE,155
2000,Norway,,BOTHSEX,626
2000,Norway,,MALE,471
2005,Norway,,MALE,382
2005,Norway,,BOTHSEX,576
2005,Belarus,,MALE,3503
2010,Belarus,,BOTHSEX,3382
2010,Belarus,,FEMALE,567
2010,Belarus,,MALE,2815
2015,Belarus,,BOTHSEX,2297
2015,Belarus,,FEMALE,421
2015,Belarus,,MALE,1876
2019,Belarus,,BOTHSEX,2004
2019,Belarus,,FEMALE,388
2019,Belarus,,MALE,1616
2005,Norway,,FEMALE,195
2010,Norway,,FEMALE,196
2010,Norway,,MALE,407
2010,Norway,,BOTHSEX,604
2015,Norway,,BOTHSEX,648
2015,Norway,,FEMALE,225
2015,Norway,,MALE,423
2019,Norway,,BOTHSEX,633
2019,Norway,,MALE,429
2019,Norway,,FEMALE,205
2000,Croatia,,FEMALE,235
2000,Croatia,,BOTHSEX,920
2000,Croatia,,MALE,685
2005,Croatia,,BOTHSEX,878
2005,Croatia,,FEMALE,225
2005,Croatia,,MALE,653
2010,Croatia,,FEMALE,203
2010,Croatia,,MALE,591
2010,Croatia,,BOTHSEX,794
2015,Croatia,,BOTHSEX,745
