Year,GeoAreaName,Type of product,Value
2015,Norway,MAZ,NaN
2015,Norway,MIL,NaN
2015,Norway,SOR,NaN
2016,Norway,MAZ,NaN
2016,Norway,WHE,NaN
2016,Norway,MIL,NaN
2016,Norway,RIC,NaN
2016,Norway,SOR,NaN
2017,Norway,MIL,NaN
2017,Norway,WHE,NaN
2017,Norway,RIC,NaN
2020,Greece,MAZ,NaN
2020,Greece,SOR,NaN
2020,Greece,RIC,NaN
2021,Greece,SOR,NaN
2021,Greece,RIC,NaN
2021,Greece,MIL,NaN
2021,Greece,WHE,NaN
2021,Greece,MAZ,NaN
2022,Greece,WHE,NaN
2022,Greece,MIL,NaN
2022,Greece,MAZ,NaN
2022,Greece,SOR,NaN
2022,Greece,RIC,NaN
2020,Armenia,SOR,NaN
2020,Armenia,MIL,NaN
2021,Armenia,SOR,NaN
2021,Armenia,MIL,NaN
2021,Armenia,RIC,NaN
2021,Armenia,WHE,0.16
2021,Armenia,MAZ,NaN
2022,Armenia,WHE,-0.03
2022,Armenia,MIL,NaN
2022,Armenia,SOR,NaN
2022,Armenia,RIC,NaN
2022,Armenia,MAZ,NaN
2015,Hungary,MAZ,NaN
2015,Hungary,WHE,NaN
2015,Hungary,RIC,NaN
2015,Hungary,MIL,NaN
2015,Hungary,SOR,NaN
2016,Hungary,MIL,NaN
2016,Hungary,SOR,NaN
2016,Hungary,MAZ,NaN
2016,Hungary,RIC,NaN
2016,Hungary,WHE,NaN
2017,Hungary,MIL,NaN
2017,Hungary,WHE,NaN
2017,Hungary,RIC,NaN
2015,Belgium,RIC,NaN
2015,Belgium,SOR,NaN
2015,Belgium,MIL,NaN
2015,Belgium,MAZ,NaN
2015,Belgium,WHE,NaN
2016,Belgium,MAZ,NaN
2016,Belgium,MIL,NaN
2016,Belgium,WHE,NaN
2016,Belgium,RIC,NaN
2016,Belgium,SOR,NaN
2017,Belgium,SOR,NaN
2017,Belgium,RIC,NaN
2017,Belgium,MIL,NaN
2017,Hungary,MAZ,NaN
2017,Hungary,SOR,NaN
2018,Hungary,WHE,NaN
2018,Hungary,SOR,NaN
2018,Hungary,MIL,NaN
2018,Hungary,RIC,NaN
2018,Hungary,MAZ,NaN
2019,Hungary,MIL,NaN
2019,Hungary,MAZ,NaN
2019,Hungary,RIC,NaN
2019,Hungary,SOR,NaN
2019,Hungary,WHE,NaN
2020,Hungary,SOR,NaN
2017,Norway,MAZ,NaN
2017,Norway,SOR,NaN
2018,Norway,SOR,NaN
2018,Norway,WHE,NaN
2018,Norway,MIL,NaN
2018,Norway,RIC,NaN
2018,Norway,MAZ,NaN
2019,Norway,MIL,NaN
2019,Norway,SOR,NaN
2019,Norway,RIC,NaN
2019,Norway,MAZ,NaN
2019,Norway,WHE,NaN
2020,Norway,MAZ,NaN
2017,Belgium,WHE,NaN
2017,Belgium,MAZ,NaN
2018,Belgium,MIL,NaN
2018,Belgium,WHE,NaN
2018,Belgium,MAZ,NaN
2018,Belgium,RIC,NaN
2018,Belgium,SOR,NaN
2019,Belgium,RIC,NaN
2019,Belgium,SOR,NaN
2019,Belgium,MIL,NaN
2019,Belgium,WHE,NaN
2019,Belgium,MAZ,NaN
2020,Belgium,WHE,NaN
2020,Belgium,SOR,NaN
2020,Belgium,MAZ,NaN
2020,Belgium,MIL,NaN
2020,Belgium,RIC,NaN
2021,Belgium,MAZ,NaN
2021,Belgium,MIL,NaN
2021,Belgium,SOR,NaN
2021,Belgium,RIC,NaN
2021,Belgium,WHE,NaN
2022,Belgium,MAZ,NaN
2022,Belgium,WHE,NaN
2022,Belgium,SOR,NaN
2022,Belgium,RIC,NaN
2020,Hungary,MIL,NaN
2020,Hungary,RIC,NaN
2020,Hungary,WHE,NaN
2020,Hungary,MAZ,NaN
2021,Hungary,WHE,NaN
2021,Hungary,MIL,NaN
2021,Hungary,RIC,NaN
2021,Hungary,MAZ,NaN
2021,Hungary,SOR,NaN
2022,Hungary,MIL,NaN
2022,Hungary,WHE,NaN
2022,Hungary,SOR,NaN
2022,Hungary,MAZ,NaN
2022,Hungary,RIC,NaN
2015,Iceland,MAZ,NaN
2015,Iceland,SOR,NaN
2015,Iceland,MIL,NaN
2015,Iceland,RIC,NaN
2015,Iceland,WHE,NaN
2016,Iceland,SOR,NaN
2016,Iceland,WHE,NaN
2016,Iceland,MIL,NaN
2016,Iceland,RIC,NaN
2016,Iceland,MAZ,NaN
2017,Iceland,WHE,NaN
2017,Iceland,RIC,NaN
2022,Belgium,MIL,NaN
2015,Bosnia and Herzegovina,MIL,NaN
2015,Bosnia and Herzegovina,SOR,NaN
2015,Bosnia and Herzegovina,WHE,NaN
2015,Bosnia and Herzegovina,MAZ,NaN
2015,Bosnia and Herzegovina,RIC,NaN
2016,Bosnia and Herzegovina,MIL,NaN
2016,Bosnia and Herzegovina,MAZ,NaN
2016,Bosnia and Herzegovina,SOR,NaN
2016,Bosnia and Herzegovina,RIC,NaN
2016,Bosnia and Herzegovina,WHE,NaN
2017,Bosnia and Herzegovina,WHE,NaN
2017,Iceland,MIL,NaN
2017,Iceland,MAZ,NaN
2017,Iceland,SOR,NaN
2018,Iceland,MIL,NaN
2018,Iceland,RIC,NaN
2018,Iceland,SOR,NaN
2018,Iceland,WHE,NaN
2018,Iceland,MAZ,NaN
2019,Iceland,MAZ,NaN
2019,Iceland,MIL,NaN
2019,Iceland,RIC,NaN
2019,Iceland,SOR,NaN
2019,Iceland,WHE,NaN
2020,Norway,RIC,NaN
2020,Norway,MIL,NaN
2020,Norway,SOR,NaN
2020,Norway,WHE,NaN
2021,Norway,SOR,NaN
2021,Norway,MIL,NaN
2021,Norway,WHE,NaN
2021,Norway,RIC,NaN
2021,Norway,MAZ,NaN
2022,Norway,SOR,NaN
2022,Norway,RIC,NaN
2022,Norway,MAZ,NaN
2022,Norway,MIL,NaN
2017,Bosnia and Herzegovina,SOR,NaN
2017,Bosnia and Herzegovina,MIL,NaN
2017,Bosnia and Herzegovina,MAZ,NaN
2017,Bosnia and Herzegovina,RIC,NaN
2018,Bosnia and Herzegovina,RIC,NaN
2018,Bosnia and Herzegovina,SOR,NaN
2018,Bosnia and Herzegovina,WHE,NaN
2018,Bosnia and Herzegovina,MIL,NaN
2018,Bosnia and Herzegovina,MAZ,NaN
2019,Bosnia and Herzegovina,WHE,NaN
2019,Bosnia and Herzegovina,MAZ,NaN
2019,Bosnia and Herzegovina,MIL,NaN
2020,Iceland,MAZ,NaN
2020,Iceland,MIL,NaN
2020,Iceland,RIC,NaN
2020,Iceland,SOR,NaN
2020,Iceland,WHE,NaN
2021,Iceland,SOR,NaN
2021,Iceland,MIL,NaN
2021,Iceland,RIC,NaN
2021,Iceland,MAZ,NaN
2021,Iceland,WHE,NaN
2022,Iceland,RIC,NaN
2022,Iceland,WHE,NaN
2022,Iceland,MAZ,NaN
2017,Albania,MIL,NaN
2017,Albania,WHE,NaN
2018,Albania,SOR,NaN
2018,Albania,WHE,NaN
2018,Albania,MAZ,NaN
2018,Albania,MIL,NaN
2018,Albania,RIC,NaN
2019,Albania,SOR,NaN
2019,Albania,WHE,NaN
2019,Albania,RIC,NaN
2019,Albania,MAZ,NaN
2019,Albania,MIL,NaN
2020,Albania,MIL,NaN
2022,Iceland,MIL,NaN
2022,Iceland,SOR,NaN
2015,Ireland,WHE,NaN
2015,Ireland,MAZ,NaN
2015,Ireland,SOR,NaN
2015,Ireland,MIL,NaN
2015,Ireland,RIC,NaN
2016,Ireland,MIL,NaN
2016,Ireland,MAZ,NaN
2016,Ireland,SOR,NaN
2016,Ireland,RIC,NaN
2016,Ireland,WHE,NaN
2017,Ireland,MAZ,NaN
2019,Bosnia and Herzegovina,RIC,NaN
2019,Bosnia and Herzegovina,SOR,NaN
2020,Bosnia and Herzegovina,RIC,NaN
2020,Bosnia and Herzegovina,SOR,NaN
2020,Bosnia and Herzegovina,MAZ,NaN
2020,Bosnia and Herzegovina,MIL,NaN
2020,Bosnia and Herzegovina,WHE,NaN
2021,Bosnia and Herzegovina,WHE,NaN
2021,Bosnia and Herzegovina,MIL,NaN
2021,Bosnia and Herzegovina,RIC,NaN
2021,Bosnia and Herzegovina,MAZ,NaN
2021,Bosnia and Herzegovina,SOR,NaN
2022,Bosnia and Herzegovina,SOR,NaN
2022,Bosnia and Herzegovina,MIL,NaN
2022,Bosnia and Herzegovina,MAZ,NaN
2022,Bosnia and Herzegovina,RIC,NaN
2022,Bosnia and Herzegovina,WHE,NaN
2015,Bulgaria,WHE,NaN
2015,Bulgaria,SOR,NaN
2015,Bulgaria,RIC,NaN
2015,Bulgaria,MAZ,NaN
2015,Bulgaria,MIL,NaN
2016,Bulgaria,SOR,NaN
2016,Bulgaria,RIC,NaN
2020,Albania,WHE,NaN
2020,Albania,MAZ,NaN
2020,Albania,RIC,NaN
2020,Albania,SOR,NaN
2021,Albania,RIC,NaN
2021,Albania,SOR,NaN
2021,Albania,WHE,NaN
2021,Albania,MAZ,NaN
2021,Albania,MIL,NaN
2022,Albania,MAZ,NaN
2022,Albania,SOR,NaN
2022,Albania,WHE,NaN
2022,Albania,MIL,NaN
2017,Ireland,RIC,NaN
2017,Ireland,MIL,NaN
2017,Ireland,WHE,NaN
2017,Ireland,SOR,NaN
2018,Ireland,MAZ,NaN
2018,Ireland,MIL,NaN
2018,Ireland,RIC,NaN
2018,Ireland,WHE,NaN
2018,Ireland,SOR,NaN
2019,Ireland,MIL,NaN
2019,Ireland,SOR,NaN
2019,Ireland,RIC,NaN
2019,Ireland,WHE,NaN
2016,Bulgaria,MAZ,NaN
2016,Bulgaria,MIL,NaN
2016,Bulgaria,WHE,NaN
2017,Bulgaria,MIL,NaN
2017,Bulgaria,MAZ,NaN
2017,Bulgaria,WHE,NaN
2017,Bulgaria,RIC,NaN
2017,Bulgaria,SOR,NaN
2018,Bulgaria,WHE,NaN
2018,Bulgaria,RIC,NaN
2018,Bulgaria,SOR,NaN
2018,Bulgaria,MIL,NaN
2022,Norway,WHE,NaN
2015,Poland,RIC,NaN
2015,Poland,MAZ,NaN
2015,Poland,SOR,NaN
2015,Poland,MIL,NaN
2015,Poland,WHE,NaN
2016,Poland,WHE,NaN
2016,Poland,MIL,NaN
2016,Poland,SOR,NaN
2016,Poland,RIC,NaN
2016,Poland,MAZ,NaN
2017,Poland,MIL,NaN
2017,Poland,RIC,NaN
2018,Bulgaria,MAZ,NaN
2019,Bulgaria,SOR,NaN
2019,Bulgaria,WHE,NaN
2019,Bulgaria,MIL,NaN
2019,Bulgaria,RIC,NaN
2019,Bulgaria,MAZ,NaN
2020,Bulgaria,MAZ,NaN
2020,Bulgaria,MIL,NaN
2020,Bulgaria,RIC,NaN
2020,Bulgaria,SOR,NaN
2020,Bulgaria,WHE,NaN
2021,Bulgaria,SOR,NaN
2019,Ireland,MAZ,NaN
2020,Ireland,MAZ,NaN
2020,Ireland,WHE,NaN
2020,Ireland,MIL,NaN
2020,Ireland,SOR,NaN
2020,Ireland,RIC,NaN
2021,Ireland,WHE,NaN
2021,Ireland,RIC,NaN
2021,Ireland,SOR,NaN
2021,Ireland,MIL,NaN
2021,Ireland,MAZ,NaN
2022,Ireland,MAZ,NaN
2022,Ireland,RIC,NaN
2017,Poland,WHE,NaN
2017,Poland,SOR,NaN
2017,Poland,MAZ,NaN
2018,Poland,WHE,NaN
2018,Poland,SOR,NaN
2018,Poland,MAZ,NaN
2018,Poland,MIL,NaN
2018,Poland,RIC,NaN
2019,Poland,RIC,NaN
2019,Poland,MAZ,NaN
2019,Poland,MIL,NaN
2019,Poland,WHE,NaN
2019,Poland,SOR,NaN
2021,Bulgaria,WHE,NaN
2021,Bulgaria,MIL,NaN
2021,Bulgaria,MAZ,NaN
2021,Bulgaria,RIC,NaN
2022,Bulgaria,MAZ,NaN
2022,Bulgaria,SOR,NaN
2022,Bulgaria,RIC,NaN
2022,Bulgaria,MIL,NaN
2022,Bulgaria,WHE,NaN
2015,Belarus,MIL,NaN
2015,Belarus,RIC,NaN
2015,Belarus,SOR,NaN
2022,Ireland,SOR,NaN
2022,Ireland,MIL,NaN
2022,Ireland,WHE,NaN
2015,Italy,MIL,NaN
2015,Italy,SOR,NaN
2015,Italy,MAZ,-0.2
2015,Italy,RIC,0.1
2015,Italy,WHE,-0.45
2016,Italy,MAZ,0.4
2016,Italy,MIL,NaN
2016,Italy,RIC,-0.7
2015,Belarus,MAZ,NaN
2015,Belarus,WHE,-1
2016,Belarus,WHE,-0.5
2016,Belarus,MIL,NaN
2016,Belarus,SOR,NaN
2016,Belarus,RIC,NaN
2016,Belarus,MAZ,NaN
2017,Belarus,RIC,NaN
2017,Belarus,SOR,NaN
2017,Belarus,MAZ,NaN
2017,Belarus,WHE,0.3
2016,Italy,WHE,-1.05
2016,Italy,SOR,NaN
2017,Italy,RIC,-2.4
2017,Italy,SOR,NaN
2017,Italy,MAZ,-0.01
2017,Italy,WHE,0.08
2017,Italy,MIL,NaN
2018,Italy,MAZ,0.04
2018,Italy,WHE,0.04
2018,Italy,RIC,0.5
2020,Poland,SOR,NaN
2020,Poland,MIL,NaN
2020,Poland,MAZ,NaN
2020,Poland,WHE,NaN
2020,Poland,RIC,NaN
2021,Poland,MAZ,NaN
2021,Poland,RIC,NaN
2021,Poland,MIL,NaN
2021,Poland,WHE,NaN
2021,Poland,SOR,NaN
2022,Poland,SOR,NaN
2022,Poland,MIL,NaN
2022,Poland,RIC,NaN
2017,Belarus,MIL,NaN
2018,Belarus,WHE,-0.1
2018,Belarus,MIL,NaN
2018,Belarus,SOR,NaN
2018,Belarus,RIC,NaN
2018,Belarus,MAZ,NaN
2019,Belarus,MAZ,NaN
2019,Belarus,RIC,NaN
2019,Belarus,MIL,NaN
2019,Belarus,WHE,0.4
2019,Belarus,SOR,NaN
2020,Belarus,WHE,-0.42
2018,Italy,SOR,NaN
2018,Italy,MIL,NaN
2019,Italy,MIL,NaN
2019,Italy,RIC,0.36
2019,Italy,SOR,NaN
2019,Italy,WHE,0.46
2019,Italy,MAZ,-0.2
2020,Italy,SOR,NaN
2020,Italy,WHE,0.46
2020,Italy,MAZ,0.26
2020,Italy,RIC,0.34
2020,Italy,MIL,NaN
2021,Italy,RIC,-0.09
2021,Italy,MAZ,1.59
2021,Italy,WHE,1.19
2021,Italy,SOR,NaN
2021,Italy,MIL,NaN
2022,Italy,SOR,NaN
2022,Italy,MAZ,0.77
2022,Italy,WHE,0.4
2022,Poland,MAZ,NaN
2022,Poland,WHE,NaN
2015,Portugal,MAZ,NaN
2015,Portugal,RIC,NaN
2015,Portugal,SOR,NaN
2015,Portugal,WHE,NaN
2015,Portugal,MIL,NaN
2016,Portugal,RIC,NaN
2016,Portugal,MIL,NaN
2016,Portugal,MAZ,NaN
2016,Portugal,SOR,NaN
2016,Portugal,WHE,NaN
2017,Portugal,RIC,NaN
2017,Portugal,MAZ,NaN
2017,Portugal,MIL,NaN
2017,Portugal,WHE,NaN
2017,Portugal,SOR,NaN
2018,Portugal,SOR,NaN
2018,Portugal,MIL,NaN
2018,Portugal,MAZ,NaN
2018,Portugal,RIC,NaN
2018,Portugal,WHE,NaN
2019,Portugal,MIL,NaN
2019,Portugal,MAZ,NaN
2022,Italy,RIC,1.15
2022,Italy,MIL,NaN
2015,Kazakhstan,MIL,NaN
2015,Kazakhstan,WHE,0.1
2015,Kazakhstan,SOR,NaN
2015,Kazakhstan,RIC,NaN
2015,Kazakhstan,MAZ,NaN
2016,Kazakhstan,MAZ,NaN
2016,Kazakhstan,RIC,NaN
2016,Kazakhstan,SOR,NaN
2016,Kazakhstan,WHE,-0.4
2022,Albania,RIC,NaN
2015,Azerbaijan,RIC,NaN
2015,Azerbaijan,MIL,NaN
2015,Azerbaijan,WHE,0
2015,Azerbaijan,MAZ,NaN
2015,Azerbaijan,SOR,NaN
2016,Azerbaijan,MIL,NaN
2016,Azerbaijan,MAZ,NaN
2016,Azerbaijan,RIC,NaN
2016,Azerbaijan,SOR,NaN
2016,Azerbaijan,WHE,-1.7
2016,Kazakhstan,MIL,NaN
2017,Kazakhstan,MIL,NaN
2017,Kazakhstan,WHE,0
2017,Kazakhstan,SOR,NaN
2017,Kazakhstan,MAZ,NaN
2017,Kazakhstan,RIC,NaN
2018,Kazakhstan,MAZ,NaN
2018,Kazakhstan,RIC,NaN
2018,Kazakhstan,SOR,NaN
2018,Kazakhstan,WHE,0.1
2018,Kazakhstan,MIL,NaN
2019,Kazakhstan,WHE,1.2
2019,Kazakhstan,MAZ,NaN
2019,Kazakhstan,MIL,NaN
2019,Kazakhstan,SOR,NaN
2019,Kazakhstan,RIC,NaN
2020,Kazakhstan,RIC,NaN
2020,Kazakhstan,SOR,NaN
2020,Kazakhstan,MIL,NaN
2020,Kazakhstan,WHE,0.6
2020,Kazakhstan,MAZ,NaN
2021,Kazakhstan,WHE,-0.9
2019,Portugal,RIC,NaN
2019,Portugal,SOR,NaN
2019,Portugal,WHE,NaN
2020,Portugal,WHE,NaN
2020,Portugal,MIL,NaN
2020,Portugal,MAZ,NaN
2020,Portugal,RIC,NaN
2020,Portugal,SOR,NaN
2021,Portugal,SOR,NaN
2021,Portugal,RIC,NaN
2021,Portugal,MAZ,NaN
2021,Portugal,WHE,NaN
2021,Kazakhstan,MAZ,NaN
2021,Kazakhstan,MIL,NaN
2021,Kazakhstan,SOR,NaN
2021,Kazakhstan,RIC,NaN
2022,Kazakhstan,RIC,NaN
2022,Kazakhstan,SOR,NaN
2022,Kazakhstan,WHE,0
2022,Kazakhstan,MAZ,NaN
2022,Kazakhstan,MIL,NaN
2015,Kyrgyzstan,MAZ,NaN
2015,Kyrgyzstan,WHE,0.2
2015,Kyrgyzstan,RIC,NaN
2015,Kyrgyzstan,MIL,NaN
2015,Kyrgyzstan,SOR,NaN
2016,Kyrgyzstan,SOR,NaN
2016,Kyrgyzstan,RIC,NaN
2016,Kyrgyzstan,MIL,NaN
2016,Kyrgyzstan,WHE,-0.6
2016,Kyrgyzstan,MAZ,NaN
2017,Kyrgyzstan,MAZ,NaN
2017,Kyrgyzstan,SOR,NaN
2017,Kyrgyzstan,WHE,-0.1
2017,Kyrgyzstan,RIC,NaN
2017,Kyrgyzstan,MIL,NaN
2018,Kyrgyzstan,SOR,NaN
2018,Kyrgyzstan,MIL,NaN
2018,Kyrgyzstan,RIC,NaN
2018,Kyrgyzstan,WHE,0.1
2018,Kyrgyzstan,MAZ,NaN
2019,Kyrgyzstan,WHE,0.3
2019,Kyrgyzstan,MAZ,NaN
2019,Kyrgyzstan,MIL,NaN
2019,Kyrgyzstan,RIC,NaN
2021,Portugal,MIL,NaN
2022,Portugal,WHE,NaN
2022,Portugal,SOR,NaN
2022,Portugal,MAZ,NaN
2022,Portugal,RIC,NaN
2022,Portugal,MIL,NaN
2015,Romania,SOR,NaN
2015,Romania,MIL,NaN
2015,Romania,WHE,NaN
2015,Romania,MAZ,NaN
2015,Romania,RIC,NaN
2016,Romania,RIC,NaN
2019,Kyrgyzstan,SOR,NaN
2020,Kyrgyzstan,MIL,NaN
2020,Kyrgyzstan,RIC,NaN
2020,Kyrgyzstan,MAZ,NaN
2020,Kyrgyzstan,SOR,NaN
2020,Kyrgyzstan,WHE,1.33
2021,Kyrgyzstan,MIL,NaN
2021,Kyrgyzstan,MAZ,NaN
2021,Kyrgyzstan,WHE,-0.45
2021,Kyrgyzstan,RIC,NaN
2021,Kyrgyzstan,SOR,NaN
2016,Romania,MAZ,NaN
2016,Romania,WHE,NaN
2016,Romania,MIL,NaN
2016,Romania,SOR,NaN
2017,Romania,RIC,NaN
2017,Romania,WHE,NaN
2017,Romania,SOR,NaN
2017,Romania,MIL,NaN
2017,Romania,MAZ,NaN
2018,Romania,MIL,NaN
2018,Romania,WHE,NaN
2018,Romania,MAZ,NaN
2018,Romania,SOR,NaN
2022,Kyrgyzstan,SOR,NaN
2022,Kyrgyzstan,MAZ,NaN
2022,Kyrgyzstan,MIL,NaN
2022,Kyrgyzstan,RIC,NaN
2022,Kyrgyzstan,WHE,0.53
2015,Latvia,SOR,NaN
2015,Latvia,WHE,NaN
2015,Latvia,RIC,NaN
2015,Latvia,MAZ,NaN
2015,Latvia,MIL,NaN
2016,Latvia,RIC,NaN
2016,Latvia,MAZ,NaN
2016,Latvia,SOR,NaN
2016,Latvia,WHE,NaN
2016,Latvia,MIL,NaN
2017,Latvia,WHE,NaN
2017,Latvia,MAZ,NaN
2017,Latvia,MIL,NaN
2017,Latvia,RIC,NaN
2017,Latvia,SOR,NaN
2018,Latvia,MIL,NaN
2018,Latvia,WHE,NaN
2018,Latvia,MAZ,NaN
2018,Latvia,SOR,NaN
2018,Latvia,RIC,NaN
2018,Romania,RIC,NaN
2019,Romania,WHE,NaN
2019,Romania,MIL,NaN
2019,Romania,MAZ,NaN
2019,Romania,RIC,NaN
2019,Romania,SOR,NaN
2020,Romania,MAZ,NaN
2020,Romania,RIC,NaN
2020,Romania,MIL,NaN
2020,Romania,SOR,NaN
2020,Romania,WHE,NaN
2021,Romania,SOR,NaN
2021,Romania,RIC,NaN
2017,Azerbaijan,RIC,NaN
2017,Azerbaijan,WHE,0.6
2017,Azerbaijan,MAZ,NaN
2015,Ukraine,RIC,NaN
2015,Ukraine,MIL,NaN
2015,Ukraine,WHE,-0.09
2015,Ukraine,MAZ,0.2
2015,Ukraine,SOR,NaN
2016,Ukraine,SOR,NaN
2016,Ukraine,MAZ,0.3
2020,Belarus,MIL,NaN
2020,Belarus,SOR,NaN
2020,Belarus,MAZ,NaN
2020,Belarus,RIC,NaN
2021,Belarus,MAZ,NaN
2021,Belarus,MIL,NaN
2021,Belarus,RIC,NaN
2021,Belarus,SOR,NaN
2021,Belarus,WHE,-0.61
2022,Belarus,WHE,-0.44
2022,Belarus,SOR,NaN
2022,Belarus,MAZ,NaN
2019,Latvia,MIL,NaN
2019,Latvia,SOR,NaN
2019,Latvia,MAZ,NaN
2019,Latvia,RIC,NaN
2019,Latvia,WHE,NaN
2020,Latvia,MAZ,NaN
2020,Latvia,WHE,NaN
2020,Latvia,MIL,NaN
2020,Latvia,RIC,NaN
2020,Latvia,SOR,NaN
2021,Latvia,SOR,NaN
2021,Latvia,RIC,NaN
2021,Latvia,MIL,NaN
2021,Latvia,MAZ,NaN
2021,Latvia,WHE,NaN
2022,Latvia,WHE,NaN
2022,Latvia,MAZ,NaN
2022,Latvia,RIC,NaN
2022,Latvia,SOR,NaN
2022,Latvia,MIL,NaN
2015,Liechtenstein,WHE,NaN
2015,Liechtenstein,MIL,NaN
2015,Liechtenstein,MAZ,NaN
2015,Liechtenstein,RIC,NaN
