Year,GeoAreaName,Education level,Location,Quantile,Sex,Value
2007,Albania,UPPSEC,ALLAREA,_T,FEMALE,50
2007,Albania,UPPSEC,ALLAREA,_T,MALE,54
2007,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2007,Albania,PRIMAR,ALLAREA,_T,MALE,97
2007,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
2008,Albania,UPPSEC,ALLAREA,_T,MALE,57
2008,Albania,UPPSEC,ALLAREA,_T,FEMALE,52
2008,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,55
2008,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2008,Albania,LOWSEC,ALLAREA,_T,MALE,95
2008,Albania,LOWSEC,ALLAREA,_T,FEMALE,96
2008,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
2008,Albania,PRIMAR,ALLAREA,_T,MALE,97
2008,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2009,Albania,LOWSEC,ALLAREA,_T,FEMALE,61
2009,Albania,LOWSEC,ALLAREA,_T,MALE,68
2009,Albania,PRIMAR,URBAN,Q5,FEMALE,99
2009,Albania,PRIMAR,URBAN,Q5,MALE,99
2009,Albania,PRIMAR,URBAN,Q4,FEMALE,97
2009,Albania,LOWSEC,URBAN,Q1,BOTHSEX,0
2009,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,65
2009,Albania,LOWSEC,ALLAREA,Q4,BOTHSEX,77
2009,Albania,LOWSEC,ALLAREA,Q4,FEMALE,77
2009,Albania,LOWSEC,ALLAREA,Q3,FEMALE,65
2009,Albania,LOWSEC,ALLAREA,Q3,BOTHSEX,66
2009,Albania,LOWSEC,ALLAREA,Q2,MALE,66
2009,Albania,LOWSEC,ALLAREA,Q1,FEMALE,37
2009,Albania,LOWSEC,ALLAREA,Q2,FEMALE,49
2009,Albania,LOWSEC,ALLAREA,Q2,BOTHSEX,57
2009,Albania,UPPSEC,URBAN,Q4,BOTHSEX,67
2009,Albania,UPPSEC,RURAL,Q2,BOTHSEX,26
2009,Albania,LOWSEC,URBAN,Q5,MALE,93
2009,Albania,LOWSEC,URBAN,Q5,FEMALE,92
2009,Albania,UPPSEC,RURAL,Q1,MALE,20
2009,Albania,UPPSEC,ALLAREA,Q4,FEMALE,65
2009,Albania,UPPSEC,RURAL,Q1,BOTHSEX,16
2009,Albania,UPPSEC,URBAN,Q5,BOTHSEX,90
2009,Albania,UPPSEC,RURAL,Q2,MALE,27
2009,Albania,UPPSEC,URBAN,Q4,MALE,66
2009,Albania,UPPSEC,ALLAREA,Q3,FEMALE,29
2009,Albania,UPPSEC,RURAL,Q5,MALE,0
2009,Albania,UPPSEC,ALLAREA,Q3,MALE,45
2009,Albania,UPPSEC,ALLAREA,_T,MALE,51
2009,Albania,UPPSEC,RURAL,_T,BOTHSEX,27
2009,Albania,UPPSEC,URBAN,Q2,FEMALE,0
2009,Albania,UPPSEC,RURAL,Q4,BOTHSEX,54
2009,Albania,UPPSEC,RURAL,Q3,MALE,40
2009,Albania,UPPSEC,URBAN,Q3,BOTHSEX,45
2009,Albania,UPPSEC,URBAN,Q1,MALE,0
2009,Albania,UPPSEC,RURAL,Q4,FEMALE,0
2009,Albania,PRIMAR,RURAL,Q2,MALE,99
2009,Albania,PRIMAR,RURAL,Q3,BOTHSEX,100
2009,Albania,PRIMAR,RURAL,_T,BOTHSEX,98
2009,Albania,PRIMAR,RURAL,Q3,MALE,100
2009,Albania,PRIMAR,RURAL,Q4,BOTHSEX,98
2009,Albania,PRIMAR,RURAL,Q4,MALE,0
2009,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2009,Albania,PRIMAR,ALLAREA,_T,MALE,98
2009,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
2009,Albania,PRIMAR,ALLAREA,Q4,BOTHSEX,98
2009,Albania,PRIMAR,ALLAREA,Q4,MALE,99
2009,Albania,PRIMAR,ALLAREA,Q3,FEMALE,99
2009,Albania,PRIMAR,ALLAREA,Q3,MALE,99
2009,Albania,PRIMAR,URBAN,_T,BOTHSEX,98
2009,Albania,PRIMAR,RURAL,Q5,FEMALE,0
2009,Albania,PRIMAR,URBAN,_T,MALE,99
2009,Albania,PRIMAR,ALLAREA,Q5,FEMALE,99
2009,Albania,PRIMAR,ALLAREA,Q5,MALE,99
2009,Albania,PRIMAR,RURAL,Q1,BOTHSEX,97
2009,Albania,PRIMAR,URBAN,Q1,FEMALE,0
2009,Albania,PRIMAR,ALLAREA,Q1,MALE,97
2009,Albania,PRIMAR,ALLAREA,Q1,BOTHSEX,97
2009,Albania,PRIMAR,ALLAREA,Q2,BOTHSEX,98
2009,Albania,PRIMAR,ALLAREA,Q1,FEMALE,97
2009,Albania,LOWSEC,RURAL,Q5,FEMALE,0
2009,Albania,LOWSEC,RURAL,Q4,BOTHSEX,62
2009,Albania,LOWSEC,RURAL,Q4,FEMALE,0
2009,Albania,LOWSEC,RURAL,Q4,MALE,0
2009,Albania,LOWSEC,RURAL,_T,BOTHSEX,53
2009,Albania,LOWSEC,RURAL,Q1,FEMALE,36
2009,Albania,LOWSEC,URBAN,Q3,BOTHSEX,74
2009,Albania,LOWSEC,URBAN,Q3,FEMALE,74
2009,Albania,LOWSEC,URBAN,_T,BOTHSEX,83
2009,Albania,LOWSEC,URBAN,_T,MALE,81
2009,Albania,LOWSEC,URBAN,Q4,FEMALE,84
2009,Albania,LOWSEC,URBAN,Q5,BOTHSEX,93
2009,Albania,PRIMAR,URBAN,Q5,BOTHSEX,99
2009,Albania,PRIMAR,URBAN,Q4,MALE,99
2009,Albania,LOWSEC,RURAL,Q5,MALE,0
2009,Albania,LOWSEC,URBAN,Q1,FEMALE,0
2009,Albania,LOWSEC,URBAN,Q2,BOTHSEX,0
2009,Albania,LOWSEC,URBAN,Q1,MALE,0
2009,Albania,UPPSEC,ALLAREA,Q1,BOTHSEX,16
2009,Albania,UPPSEC,ALLAREA,Q5,FEMALE,91
2009,Albania,UPPSEC,RURAL,Q4,MALE,0
2009,Albania,UPPSEC,URBAN,Q1,FEMALE,0
2009,Albania,UPPSEC,ALLAREA,Q5,MALE,87
2009,Albania,UPPSEC,URBAN,Q2,BOTHSEX,24
2009,Albania,PRIMAR,RURAL,Q1,FEMALE,97
2009,Albania,PRIMAR,RURAL,_T,MALE,98
2009,Albania,PRIMAR,URBAN,Q2,FEMALE,0
2009,Albania,PRIMAR,URBAN,Q2,BOTHSEX,89
2009,Albania,PRIMAR,URBAN,Q2,MALE,0
2009,Albania,PRIMAR,URBAN,Q1,MALE,0
2009,Albania,UPPSEC,RURAL,_T,MALE,30
2009,Albania,UPPSEC,URBAN,Q3,MALE,54
2009,Albania,UPPSEC,URBAN,Q3,FEMALE,37
2009,Albania,UPPSEC,RURAL,Q3,BOTHSEX,32
2009,Albania,UPPSEC,RURAL,Q3,FEMALE,25
2009,Albania,UPPSEC,RURAL,_T,FEMALE,23
2009,Albania,UPPSEC,URBAN,_T,FEMALE,73
2009,Albania,UPPSEC,ALLAREA,Q4,BOTHSEX,64
2009,Albania,UPPSEC,ALLAREA,Q2,MALE,27
2009,Albania,UPPSEC,RURAL,Q5,FEMALE,0
2009,Albania,UPPSEC,ALLAREA,Q2,FEMALE,25
2009,Albania,UPPSEC,URBAN,Q2,MALE,0
2009,Albania,PRIMAR,URBAN,_T,FEMALE,97
2009,Albania,PRIMAR,URBAN,Q1,BOTHSEX,0
2009,Albania,PRIMAR,ALLAREA,Q3,BOTHSEX,99
2009,Albania,PRIMAR,ALLAREA,Q2,MALE,99
2009,Albania,PRIMAR,ALLAREA,Q2,FEMALE,98
2009,Albania,PRIMAR,ALLAREA,Q5,BOTHSEX,99
2009,Albania,PRIMAR,RURAL,Q5,MALE,0
2009,Albania,PRIMAR,URBAN,Q3,FEMALE,97
2009,Albania,PRIMAR,URBAN,Q3,MALE,97
2009,Albania,PRIMAR,URBAN,Q4,BOTHSEX,98
2009,Albania,PRIMAR,URBAN,Q3,BOTHSEX,97
2009,Albania,PRIMAR,RURAL,Q5,BOTHSEX,0
2009,Albania,PRIMAR,ALLAREA,Q4,FEMALE,97
2009,Albania,LOWSEC,RURAL,Q3,FEMALE,62
2009,Albania,LOWSEC,RURAL,Q3,MALE,63
2009,Albania,LOWSEC,RURAL,Q2,MALE,67
2009,Albania,LOWSEC,RURAL,Q3,BOTHSEX,62
2009,Albania,LOWSEC,RURAL,Q5,BOTHSEX,0
2009,Albania,LOWSEC,RURAL,_T,MALE,59
2009,Albania,LOWSEC,RURAL,_T,FEMALE,47
2009,Albania,LOWSEC,RURAL,Q1,MALE,44
2009,Albania,LOWSEC,RURAL,Q2,FEMALE,48
2009,Albania,LOWSEC,RURAL,Q2,BOTHSEX,58
2009,Albania,LOWSEC,RURAL,Q1,BOTHSEX,40
2009,Albania,LOWSEC,URBAN,_T,FEMALE,85
2009,Albania,LOWSEC,URBAN,Q3,MALE,73
2009,Albania,LOWSEC,URBAN,Q4,BOTHSEX,81
2009,Albania,LOWSEC,URBAN,Q2,FEMALE,0
2009,Albania,LOWSEC,URBAN,Q2,MALE,0
2009,Albania,LOWSEC,URBAN,Q4,MALE,77
2009,Albania,LOWSEC,ALLAREA,Q3,MALE,66
2009,Albania,LOWSEC,ALLAREA,Q5,FEMALE,91
2009,Albania,LOWSEC,ALLAREA,Q5,BOTHSEX,92
2009,Albania,LOWSEC,ALLAREA,Q1,BOTHSEX,40
2009,Albania,LOWSEC,ALLAREA,Q5,MALE,93
2009,Albania,LOWSEC,ALLAREA,Q4,MALE,76
2009,Albania,LOWSEC,ALLAREA,Q1,MALE,43
2009,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,48
2009,Albania,UPPSEC,RURAL,Q1,FEMALE,14
2009,Albania,UPPSEC,RURAL,Q2,FEMALE,25
2009,Albania,UPPSEC,ALLAREA,_T,FEMALE,46
2009,Albania,UPPSEC,URBAN,Q5,FEMALE,90
2009,Albania,UPPSEC,URBAN,Q5,MALE,89
2009,Albania,UPPSEC,URBAN,Q4,FEMALE,68
2009,Albania,UPPSEC,ALLAREA,Q2,BOTHSEX,26
2009,Albania,UPPSEC,URBAN,_T,MALE,72
2009,Albania,UPPSEC,ALLAREA,Q4,MALE,64
2009,Albania,UPPSEC,RURAL,Q5,BOTHSEX,0
2009,Albania,UPPSEC,ALLAREA,Q5,BOTHSEX,89
2009,Albania,UPPSEC,ALLAREA,Q1,MALE,19
2009,Albania,UPPSEC,URBAN,Q1,BOTHSEX,0
2009,Albania,UPPSEC,ALLAREA,Q1,FEMALE,13
2009,Albania,UPPSEC,ALLAREA,Q3,BOTHSEX,36
2009,Albania,UPPSEC,URBAN,_T,BOTHSEX,73
2009,Albania,PRIMAR,RURAL,Q3,FEMALE,100
2009,Albania,PRIMAR,RURAL,_T,FEMALE,99
2009,Albania,PRIMAR,RURAL,Q1,MALE,97
2009,Albania,PRIMAR,RURAL,Q2,BOTHSEX,99
2009,Albania,PRIMAR,RURAL,Q2,FEMALE,99
2009,Albania,PRIMAR,RURAL,Q4,FEMALE,100
2010,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
2010,Albania,PRIMAR,ALLAREA,_T,MALE,97
2010,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2010,Albania,UPPSEC,ALLAREA,_T,MALE,62
2010,Albania,UPPSEC,ALLAREA,_T,FEMALE,58
2010,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,60
2010,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2010,Albania,LOWSEC,ALLAREA,_T,MALE,95
2010,Albania,LOWSEC,ALLAREA,_T,FEMALE,96
2011,Albania,LOWSEC,ALLAREA,_T,MALE,95
2011,Albania,LOWSEC,ALLAREA,_T,BOTHSEX,96
2011,Albania,UPPSEC,ALLAREA,_T,BOTHSEX,63
2011,Albania,UPPSEC,ALLAREA,_T,FEMALE,61
2011,Albania,UPPSEC,ALLAREA,_T,MALE,64
2011,Albania,PRIMAR,ALLAREA,_T,FEMALE,98
2011,Albania,LOWSEC,ALLAREA,_T,FEMALE,96
2011,Albania,PRIMAR,ALLAREA,_T,MALE,97
2011,Albania,PRIMAR,ALLAREA,_T,BOTHSEX,98
