Year,GeoAreaName,Deviation Level,Value
2021,Spain,EXTREME,24.67218
2021,Spain,MEDIUM,10.73089
2021,Spain,LOW,47.82377
2021,Spain,HIGH,16.77315
2017,Sweden,MEDIUM,12.03266
2017,Sweden,LOW,66.77157
2017,Sweden,HIGH,8.64638
2017,Sweden,EXTREME,12.54939
2018,Sweden,HIGH,10.60379
2018,Sweden,MEDIUM,13.38173
2018,Sweden,LOW,60.8942
2018,Sweden,EXTREME,15.12028
2019,Sweden,EXTREME,15.00099
2019,Sweden,MEDIUM,17.95975
2019,Sweden,LOW,51.00438
2019,Sweden,HIGH,16.03488
2020,Albania,LOW,58.89857
2020,Albania,HIGH,10.9054
2020,Albania,MEDIUM,20.8531
2020,Albania,EXTREME,9.34294
2021,Albania,EXTREME,4.72094
2021,Albania,LOW,56.35966
2021,Albania,HIGH,15.44464
2021,Albania,MEDIUM,23.47475
2017,Azerbaijan,EXTREME,10.2684
2017,Azerbaijan,LOW,57.68836
2017,Azerbaijan,HIGH,14.29931
2017,Azerbaijan,MEDIUM,17.74393
2020,Sweden,MEDIUM,16.563
2020,Sweden,LOW,48.95377
2020,Sweden,EXTREME,17.81106
2020,Sweden,HIGH,16.67216
2021,Sweden,HIGH,11.68973
2021,Sweden,MEDIUM,13.545
2021,Sweden,LOW,60.56125
2021,Sweden,EXTREME,14.20401
2017,Switzerland,HIGH,13.98301
2017,Switzerland,LOW,64.22549
2017,Switzerland,MEDIUM,13.17187
2017,Switzerland,EXTREME,8.61964
2018,Azerbaijan,HIGH,14.81307
2018,Azerbaijan,LOW,57.59015
2018,Azerbaijan,EXTREME,11.48792
2018,Azerbaijan,MEDIUM,16.10887
2019,Azerbaijan,EXTREME,8.28346
2019,Azerbaijan,MEDIUM,12.99313
2019,Azerbaijan,HIGH,12.44436
2019,Azerbaijan,LOW,66.27905
2020,Azerbaijan,EXTREME,10.76038
2020,Azerbaijan,MEDIUM,12.03429
2020,Azerbaijan,HIGH,12.54637
2020,Azerbaijan,LOW,64.65895
2018,Switzerland,HIGH,5.69142
2018,Switzerland,MEDIUM,12.41789
2018,Switzerland,EXTREME,4.92081
2018,Switzerland,LOW,76.96987
2019,Switzerland,LOW,59.39452
2019,Switzerland,HIGH,11.92947
2019,Switzerland,EXTREME,5.94522
2019,Switzerland,MEDIUM,22.73079
2020,Switzerland,EXTREME,10.04477
2020,Switzerland,MEDIUM,13.0206
2020,Switzerland,HIGH,14.59054
2020,Switzerland,LOW,62.34408
2021,Switzerland,HIGH,14.4819
2021,Switzerland,EXTREME,8.06167
2021,Switzerland,MEDIUM,19.50951
2021,Switzerland,LOW,57.94693
2017,Tajikistan,LOW,59.28376
2017,Tajikistan,MEDIUM,11.80685
2017,Tajikistan,HIGH,12.62397
2017,Tajikistan,EXTREME,16.28542
2018,Tajikistan,HIGH,17.30725
2018,Tajikistan,LOW,49.88355
2018,Tajikistan,EXTREME,22.58046
2018,Tajikistan,MEDIUM,10.22875
2021,Azerbaijan,MEDIUM,15.70937
2021,Azerbaijan,EXTREME,7.03953
2021,Azerbaijan,HIGH,12.25801
2021,Azerbaijan,LOW,64.99308
2017,Austria,EXTREME,5.6271
2017,Austria,MEDIUM,13.63082
2017,Austria,HIGH,10.50668
2017,Austria,LOW,70.23541
2018,Austria,HIGH,9.77092
2018,Austria,LOW,67.80479
2018,Austria,EXTREME,5.99612
2018,Austria,MEDIUM,16.42817
2019,Tajikistan,HIGH,15.45283
2019,Tajikistan,LOW,58.28911
2019,Tajikistan,MEDIUM,11.38478
2019,Tajikistan,EXTREME,14.87329
2020,Tajikistan,LOW,71.53745
2020,Tajikistan,EXTREME,9.29259
2020,Tajikistan,MEDIUM,10.28055
2020,Tajikistan,HIGH,8.8894
2021,Tajikistan,MEDIUM,10.15807
2021,Tajikistan,EXTREME,9.65507
2021,Tajikistan,LOW,70.7467
2021,Tajikistan,HIGH,9.44017
2017,Türkiye,MEDIUM,14.84926
2017,Türkiye,LOW,63.86854
2017,Türkiye,EXTREME,9.53603
2017,Türkiye,HIGH,11.74617
2018,Türkiye,HIGH,11.17782
2018,Türkiye,LOW,63.83105
2018,Türkiye,MEDIUM,14.21209
2018,Türkiye,EXTREME,10.77904
2019,Türkiye,MEDIUM,11.35151
2019,Türkiye,LOW,65.05593
2019,Türkiye,EXTREME,11.75782
2019,Türkiye,HIGH,11.83474
2020,Türkiye,HIGH,11.49842
2020,Türkiye,LOW,68.36641
2020,Türkiye,MEDIUM,11.83581
2020,Türkiye,EXTREME,8.29937
2021,Türkiye,LOW,71.29239
2021,Türkiye,EXTREME,10.37651
2021,Türkiye,MEDIUM,9.48914
2021,Türkiye,HIGH,8.84197
2017,Turkmenistan,LOW,86.20131
2017,Turkmenistan,HIGH,4.03968
2017,Turkmenistan,EXTREME,4.10493
2017,Turkmenistan,MEDIUM,5.65408
2018,Turkmenistan,LOW,85.76669
2018,Turkmenistan,MEDIUM,4.97896
2018,Turkmenistan,HIGH,4.0337
2018,Turkmenistan,EXTREME,5.22066
2019,Turkmenistan,EXTREME,4.49774
2019,Turkmenistan,HIGH,2.94886
2019,Turkmenistan,LOW,88.77962
2019,Turkmenistan,MEDIUM,3.77377
2020,Turkmenistan,EXTREME,6.93022
2020,Turkmenistan,LOW,79.32753
2020,Turkmenistan,HIGH,4.90064
2020,Turkmenistan,MEDIUM,8.84161
2021,Turkmenistan,MEDIUM,8.99714
2021,Turkmenistan,EXTREME,8.23727
2021,Turkmenistan,LOW,77.78273
2021,Turkmenistan,HIGH,4.98285
2017,Ukraine,MEDIUM,10.30035
2017,Ukraine,HIGH,11.20761
2017,Ukraine,LOW,57.86089
2017,Ukraine,EXTREME,20.63114
2018,Ukraine,EXTREME,18.58905
2018,Ukraine,LOW,61.19369
2018,Ukraine,HIGH,10.62949
2018,Ukraine,MEDIUM,9.58778
2019,Ukraine,MEDIUM,10.39693
2019,Ukraine,EXTREME,17.27147
2019,Ukraine,LOW,60.51566
2019,Ukraine,HIGH,11.81594
2020,Ukraine,HIGH,12.14575
2020,Ukraine,MEDIUM,8.81049
2020,Ukraine,LOW,58.61961
2020,Ukraine,EXTREME,20.42416
2021,Ukraine,HIGH,13.35063
2021,Ukraine,MEDIUM,9.58638
2021,Ukraine,LOW,54.66703
2021,Ukraine,EXTREME,22.39596
2017,North Macedonia,LOW,65.6887
2017,North Macedonia,HIGH,11.44588
2017,North Macedonia,EXTREME,3.07312
2017,North Macedonia,MEDIUM,19.7923
2018,North Macedonia,MEDIUM,17.58523
2018,North Macedonia,HIGH,10.58229
2018,North Macedonia,LOW,67.76005
2018,North Macedonia,EXTREME,4.07243
2019,North Macedonia,MEDIUM,20.2724
2019,North Macedonia,HIGH,13.72797
2019,North Macedonia,LOW,62.32096
2019,North Macedonia,EXTREME,3.67867
2020,North Macedonia,MEDIUM,17.03754
2020,North Macedonia,EXTREME,5.18824
2020,North Macedonia,HIGH,12.01907
2020,North Macedonia,LOW,65.75515
2021,North Macedonia,MEDIUM,22.48605
2021,North Macedonia,EXTREME,4.76009
2021,North Macedonia,LOW,58.82375
2021,North Macedonia,HIGH,13.93011
2017,Uzbekistan,EXTREME,15.44227
2017,Uzbekistan,MEDIUM,9.96271
2017,Uzbekistan,HIGH,10.02531
2017,Uzbekistan,LOW,64.56971
2018,Uzbekistan,EXTREME,16.26286
2018,Uzbekistan,HIGH,8.15434
2018,Uzbekistan,MEDIUM,9.3641
2018,Uzbekistan,LOW,66.21871
2019,Uzbekistan,EXTREME,10.23594
2019,Uzbekistan,MEDIUM,9.12412
2019,Uzbekistan,HIGH,8.61283
2019,Uzbekistan,LOW,72.02711
2020,Uzbekistan,LOW,73.87093
2020,Uzbekistan,EXTREME,12.42946
2020,Uzbekistan,HIGH,6.67639
2020,Uzbekistan,MEDIUM,7.02322
2019,Austria,MEDIUM,16.87308
2019,Austria,LOW,61.13164
2019,Austria,HIGH,14.91819
2019,Austria,EXTREME,7.07708
2020,Austria,EXTREME,11.3865
2020,Austria,LOW,53.72039
2020,Austria,HIGH,18.46441
2020,Austria,MEDIUM,16.4287
2021,Austria,EXTREME,13.22681
2021,Austria,MEDIUM,20.86155
2021,Austria,LOW,52.42876
2021,Austria,HIGH,13.48289
2017,Armenia,HIGH,3.2382
2017,Armenia,LOW,75.53652
2017,Armenia,EXTREME,14.27077
2017,Armenia,MEDIUM,6.95451
2018,Armenia,EXTREME,12.19704
2018,Armenia,HIGH,14.42098
2018,Armenia,MEDIUM,7.93252
2018,Armenia,LOW,65.44946
2019,Armenia,MEDIUM,13.93784
2019,Armenia,LOW,34.42654
2019,Armenia,EXTREME,14.5647
2019,Armenia,HIGH,37.07092
2020,Armenia,MEDIUM,13.18354
2020,Armenia,LOW,75.42541
2020,Armenia,EXTREME,4.80025
2020,Armenia,HIGH,6.5908
2021,Armenia,EXTREME,2.30335
2021,Armenia,MEDIUM,10.84494
2021,Armenia,LOW,82.46119
2021,Armenia,HIGH,4.39053
2017,Bosnia and Herzegovina,HIGH,11.47935
2017,Bosnia and Herzegovina,MEDIUM,5.85879
2017,Bosnia and Herzegovina,EXTREME,36.68266
2017,Bosnia and Herzegovina,LOW,45.9792
2018,Bosnia and Herzegovina,HIGH,9.67477
2018,Bosnia and Herzegovina,EXTREME,13.28173
2018,Bosnia and Herzegovina,MEDIUM,17.76887
2018,Bosnia and Herzegovina,LOW,59.27463
2019,Bosnia and Herzegovina,LOW,35.41317
2019,Bosnia and Herzegovina,MEDIUM,18.92506
2019,Bosnia and Herzegovina,EXTREME,22.93199
2019,Bosnia and Herzegovina,HIGH,22.72978
2020,Bosnia and Herzegovina,EXTREME,47.09999
2020,Bosnia and Herzegovina,HIGH,12.83487
2020,Bosnia and Herzegovina,LOW,34.098
2020,Bosnia and Herzegovina,MEDIUM,5.96714
2021,Bosnia and Herzegovina,HIGH,9.97428
2021,Bosnia and Herzegovina,MEDIUM,6.181
2021,Bosnia and Herzegovina,EXTREME,37.7657
2021,Bosnia and Herzegovina,LOW,46.07902
2017,Bulgaria,HIGH,9.29401
2017,Bulgaria,EXTREME,10.67799
2017,Bulgaria,LOW,68.66783
2017,Bulgaria,MEDIUM,11.36016
2018,Bulgaria,HIGH,8.22379
2018,Bulgaria,LOW,72.95951
2018,Bulgaria,MEDIUM,6.80552
2018,Bulgaria,EXTREME,12.01118
2019,Bulgaria,LOW,72.27403
2019,Bulgaria,HIGH,10.52884
2019,Bulgaria,EXTREME,6.80812
2019,Bulgaria,MEDIUM,10.389
2020,Bulgaria,HIGH,15.81754
2020,Bulgaria,LOW,58.69417
2020,Bulgaria,MEDIUM,12.17841
2020,Bulgaria,EXTREME,13.30987
2021,Bulgaria,HIGH,12.22809
2021,Bulgaria,EXTREME,8.0197
2021,Bulgaria,LOW,67.43449
2021,Bulgaria,MEDIUM,12.31772
2017,Croatia,EXTREME,23.02154
2017,Croatia,MEDIUM,7.92474
2017,Croatia,HIGH,12.01887
2017,Croatia,LOW,57.03485
2018,Croatia,HIGH,12.56457
2018,Croatia,MEDIUM,6.64121
2018,Croatia,LOW,35.11465
2018,Croatia,EXTREME,45.67958
2019,Croatia,LOW,52.17829
2019,Croatia,HIGH,9.31309
2019,Croatia,MEDIUM,11.09926
2019,Croatia,EXTREME,27.40936
2020,Croatia,HIGH,11.65949
2020,Croatia,MEDIUM,10.99689
2020,Croatia,LOW,48.9203
2020,Croatia,EXTREME,28.42331
2021,Croatia,HIGH,17.57835
2021,Croatia,MEDIUM,15.65034
2021,Croatia,EXTREME,18.61244
2021,Croatia,LOW,48.15887
2017,Czechia,HIGH,10.60739
2017,Czechia,MEDIUM,9.08996
2017,Czechia,LOW,56.30063
2017,Czechia,EXTREME,24.00202
2018,Czechia,LOW,53.66953
2018,Czechia,EXTREME,25.47875
2018,Czechia,MEDIUM,9.34558
2018,Czechia,HIGH,11.50614
2019,Czechia,HIGH,12.17028
2019,Czechia,LOW,56.5929
2019,Czechia,MEDIUM,8.39403
2019,Czechia,EXTREME,22.84279
2020,Czechia,HIGH,15.30868
2020,Czechia,LOW,47.89411
2020,Czechia,MEDIUM,10.18727
2020,Czechia,EXTREME,26.60994
2021,Czechia,HIGH,15.89365
2021,Czechia,LOW,44.16217
2021,Czechia,MEDIUM,10.35432
2021,Czechia,EXTREME,29.58986
2017,Denmark,LOW,63.4991
2017,Denmark,MEDIUM,8.44909
2017,Denmark,EXTREME,18.9306
2017,Denmark,HIGH,9.12121
2018,Denmark,EXTREME,19.05476
2018,Denmark,HIGH,11.47245
2018,Denmark,MEDIUM,9.12666
2018,Denmark,LOW,60.34612
2019,Denmark,LOW,42.89543
2019,Denmark,EXTREME,26.31421
2019,Denmark,MEDIUM,13.99877
2019,Denmark,HIGH,16.79159
2020,Denmark,HIGH,14.16486
2020,Denmark,MEDIUM,12.51852
2020,Denmark,EXTREME,23.63793
2020,Denmark,LOW,49.6787
2021,Denmark,LOW,44.73708
2021,Denmark,MEDIUM,13.19655
2021,Denmark,EXTREME,23.33569
2021,Denmark,HIGH,18.73068
2017,Estonia,LOW,70.61055
2017,Estonia,EXTREME,7.22181
2017,Estonia,MEDIUM,7.25206
2017,Estonia,HIGH,6.58224
2018,Estonia,MEDIUM,6.83329
2018,Estonia,LOW,52.46115
2018,Estonia,HIGH,7.7594
2018,Estonia,EXTREME,7.94615
2019,Estonia,LOW,59.51461
2019,Estonia,MEDIUM,5.08133
2019,Estonia,HIGH,4.12321
2019,Estonia,EXTREME,22.94751
2020,Estonia,HIGH,7.69185
2020,Estonia,EXTREME,14.80308
2020,Estonia,MEDIUM,6.96665
2020,Estonia,LOW,62.20508
2021,Estonia,EXTREME,19.77761
2021,Estonia,HIGH,7.33845
2021,Estonia,LOW,56.76894
2021,Estonia,MEDIUM,7.78166
2017,Finland,MEDIUM,8.00406
2017,Finland,HIGH,10.74606
2017,Finland,EXTREME,23.88088
2017,Finland,LOW,40.70233
2018,Finland,EXTREME,24.26777
2018,Finland,LOW,37.26671
2018,Finland,HIGH,12.07152
2018,Finland,MEDIUM,9.72732
2019,Finland,EXTREME,26.62089
2019,Finland,LOW,23.29891
2019,Finland,HIGH,16.57354
2019,Finland,MEDIUM,8.50667
2020,Finland,MEDIUM,10.06553
2020,Finland,LOW,44.97805
2020,Finland,HIGH,12.93949
2020,Finland,EXTREME,15.35027
2021,Finland,LOW,33.43392
2021,Finland,HIGH,16.38456
2021,Finland,MEDIUM,13.17248
2021,Finland,EXTREME,20.34237
2017,France,HIGH,10.4183
2017,France,LOW,70.31642
2017,France,MEDIUM,11.82109
2017,France,EXTREME,7.44419
2018,France,LOW,77.26915
2018,France,MEDIUM,13.37023
2018,France,EXTREME,3.46962
2018,France,HIGH,5.89099
2019,France,EXTREME,5.12929
2019,France,HIGH,8.72881
2019,France,LOW,67.65038
2019,France,MEDIUM,18.49153
2020,France,MEDIUM,9.93686
2020,France,LOW,71.67516
2020,France,EXTREME,7.26086
2020,France,HIGH,11.12712
2021,France,LOW,66.02566
2021,France,EXTREME,5.79658
2021,France,HIGH,11.63069
2021,France,MEDIUM,16.54708
2017,Germany,HIGH,9.6939
2017,Germany,EXTREME,8.76632
2017,Germany,MEDIUM,11.92263
2017,Germany,LOW,69.61714
2018,Germany,HIGH,8.19372
2018,Germany,LOW,72.03849
2018,Germany,EXTREME,8.03133
2018,Germany,MEDIUM,11.73645
2019,Germany,EXTREME,12.44007
2019,Germany,HIGH,14.37481
2019,Germany,MEDIUM,17.0154
2019,Germany,LOW,56.16972
2020,Germany,MEDIUM,15.06963
2020,Germany,HIGH,14.73388
2020,Germany,EXTREME,15.24353
2020,Germany,LOW,54.95296
2021,Germany,EXTREME,12.74311
2021,Germany,MEDIUM,16.76477
2021,Germany,LOW,55.43204
2021,Germany,HIGH,15.06009
2017,Greece,LOW,79.36501
2017,Greece,EXTREME,7.59785
2017,Greece,HIGH,5.14617
2017,Greece,MEDIUM,7.89097
2018,Greece,MEDIUM,7.69638
2018,Greece,HIGH,5.16468
2018,Greece,EXTREME,6.61916
2018,Greece,LOW,80.51977
2019,Greece,HIGH,9.5272
2019,Greece,MEDIUM,13.83896
2019,Greece,EXTREME,8.32882
2019,Greece,LOW,68.30502
2020,Greece,HIGH,10.28323
2020,Greece,MEDIUM,12.77806
2020,Greece,EXTREME,7.6594
2020,Greece,LOW,69.2793
2021,Greece,LOW,60.49499
2021,Greece,MEDIUM,19.36936
2021,Greece,HIGH,11.79204
2021,Greece,EXTREME,8.34361
2017,Hungary,HIGH,11.11175
2017,Hungary,MEDIUM,14.98855
2017,Hungary,LOW,68.65336
2017,Hungary,EXTREME,5.24634
2018,Hungary,MEDIUM,7.01254
2018,Hungary,HIGH,3.90908
2018,Hungary,EXTREME,1.63661
2018,Hungary,LOW,87.44177
2019,Hungary,EXTREME,2.91886
2019,Hungary,MEDIUM,10.15873
2019,Hungary,LOW,79.33836
2019,Hungary,HIGH,7.58405
2020,Hungary,HIGH,9.87627
2020,Hungary,MEDIUM,13.82734
2020,Hungary,EXTREME,4.05071
2020,Hungary,LOW,72.24568
2021,Hungary,LOW,81.52907
2021,Hungary,HIGH,6.06064
2021,Hungary,MEDIUM,8.96744
2021,Hungary,EXTREME,3.44285
2017,Iceland,HIGH,16.28715
2017,Iceland,LOW,35.93837
2017,Iceland,EXTREME,11.82486
2017,Iceland,MEDIUM,19.28296
2018,Iceland,EXTREME,18.67838
2018,Iceland,HIGH,15.87113
2018,Iceland,MEDIUM,11.21544
2018,Iceland,LOW,29.23505
2019,Iceland,LOW,31.09763
2019,Iceland,HIGH,14.60291
2019,Iceland,MEDIUM,15.71301
2019,Iceland,EXTREME,13.58646
2020,Iceland,EXTREME,15.87398
2020,Iceland,MEDIUM,16.83259
2020,Iceland,HIGH,14.12032
2020,Iceland,LOW,36.50644
2021,Iceland,EXTREME,16.82694
2021,Iceland,LOW,34.24389
2021,Iceland,HIGH,15.4272
2021,Iceland,MEDIUM,16.83531
2017,Ireland,HIGH,15.97165
2017,Ireland,LOW,49.55015
2017,Ireland,MEDIUM,12.66345
2017,Ireland,EXTREME,21.81475
2018,Ireland,EXTREME,20.00084
2018,Ireland,LOW,53.92683
2018,Ireland,HIGH,14.24051
2018,Ireland,MEDIUM,11.83182
2019,Ireland,EXTREME,27.52299
2019,Ireland,HIGH,21.69311
2019,Ireland,MEDIUM,13.70675
2019,Ireland,LOW,37.07715
2020,Ireland,MEDIUM,14.20558
2020,Ireland,EXTREME,29.60883
2020,Ireland,HIGH,22.39942
2020,Ireland,LOW,33.78618
2021,Ireland,LOW,36.26916
2021,Ireland,EXTREME,27.13942
2021,Ireland,MEDIUM,14.11604
2021,Ireland,HIGH,22.47537
2017,Italy,EXTREME,8.11644
2017,Italy,LOW,62.177
2017,Italy,MEDIUM,16.45467
2017,Italy,HIGH,13.25189
2018,Italy,MEDIUM,12.6704
2018,Italy,LOW,69.18809
2018,Italy,EXTREME,7.63556
2018,Italy,HIGH,10.50594
2019,Italy,EXTREME,10.97277
2019,Italy,HIGH,15.64445
2019,Italy,MEDIUM,21.40365
2019,Italy,LOW,51.97913
2020,Italy,EXTREME,11.56588
2020,Italy,MEDIUM,15.01201
2020,Italy,LOW,59.10577
2020,Italy,HIGH,14.31634
2021,Italy,EXTREME,9.86333
2021,Italy,MEDIUM,19.10962
2021,Italy,LOW,58.48846
2021,Italy,HIGH,12.53859
2017,Kazakhstan,LOW,66.36495
2017,Kazakhstan,HIGH,9.27682
2017,Kazakhstan,EXTREME,13.53424
2017,Kazakhstan,MEDIUM,10.82399
2018,Kazakhstan,HIGH,13.18173
2018,Kazakhstan,EXTREME,18.15328
2018,Kazakhstan,MEDIUM,14.73026
2018,Kazakhstan,LOW,53.93473
2019,Kazakhstan,LOW,71.09254
2019,Kazakhstan,EXTREME,10.24719
2019,Kazakhstan,HIGH,7.93769
2019,Kazakhstan,MEDIUM,10.72258
2020,Kazakhstan,HIGH,9.40379
2020,Kazakhstan,EXTREME,9.38595
2020,Kazakhstan,MEDIUM,13.08788
2020,Kazakhstan,LOW,68.12238
2021,Kazakhstan,HIGH,8.60781
2021,Kazakhstan,LOW,69.64932
2021,Kazakhstan,EXTREME,10.62111
2021,Kazakhstan,MEDIUM,11.12175
2017,Kyrgyzstan,MEDIUM,22.14742
2017,Kyrgyzstan,HIGH,20.69385
2017,Kyrgyzstan,EXTREME,5.99113
2017,Kyrgyzstan,LOW,51.16761
2018,Kyrgyzstan,HIGH,18.03942
2018,Kyrgyzstan,EXTREME,7.99675
2018,Kyrgyzstan,MEDIUM,18.8201
2018,Kyrgyzstan,LOW,55.14373
2019,Kyrgyzstan,EXTREME,2.31388
2019,Kyrgyzstan,MEDIUM,23.3334
2019,Kyrgyzstan,HIGH,11.20345
2019,Kyrgyzstan,LOW,63.14926
2020,Kyrgyzstan,MEDIUM,19.52245
2020,Kyrgyzstan,HIGH,17.56821
2020,Kyrgyzstan,LOW,58.33788
2020,Kyrgyzstan,EXTREME,4.57147
2021,Kyrgyzstan,EXTREME,2.76315
2021,Kyrgyzstan,MEDIUM,19.81161
2021,Kyrgyzstan,LOW,68.4595
2021,Kyrgyzstan,HIGH,8.96573
2017,Latvia,MEDIUM,6.71279
2017,Latvia,LOW,55.6696
2017,Latvia,EXTREME,18.11182
2017,Latvia,HIGH,11.17246
2018,Latvia,HIGH,9.54313
2018,Latvia,MEDIUM,7.6791
2018,Latvia,LOW,49.48739
2018,Latvia,EXTREME,24.95704
2019,Latvia,LOW,50.63889
2019,Latvia,EXTREME,19.65362
2019,Latvia,MEDIUM,15.32481
2019,Latvia,HIGH,14.38268
2020,Latvia,HIGH,13.07175
2020,Latvia,EXTREME,23.68439
2020,Latvia,MEDIUM,10.69204
2020,Latvia,LOW,52.55182
2021,Latvia,LOW,29.10292
2021,Latvia,HIGH,13.97286
2021,Latvia,EXTREME,27.59447
2021,Latvia,MEDIUM,12.66309
2017,Lithuania,EXTREME,23.88566
2017,Lithuania,LOW,57.78192
2017,Lithuania,HIGH,10.08556
2017,Lithuania,MEDIUM,8.24687
2018,Lithuania,LOW,45.36659
2018,Lithuania,MEDIUM,9.41848
2018,Lithuania,HIGH,11.16243
2018,Lithuania,EXTREME,34.0525
2019,Lithuania,HIGH,14.02941
2019,Lithuania,LOW,50.79422
2019,Lithuania,MEDIUM,12.66357
2019,Lithuania,EXTREME,22.51281
2020,Lithuania,HIGH,16.35753
2020,Lithuania,LOW,47.25797
2020,Lithuania,MEDIUM,12.10221
2020,Lithuania,EXTREME,24.28229
2021,Lithuania,HIGH,14.55326
2021,Lithuania,LOW,39.06774
2021,Lithuania,EXTREME,32.45583
2021,Lithuania,MEDIUM,13.92317
2017,Republic of Moldova,MEDIUM,7.15592
2017,Republic of Moldova,HIGH,8.43998
2017,Republic of Moldova,EXTREME,28.76806
2017,Republic of Moldova,LOW,55.63603
2018,Republic of Moldova,EXTREME,20.48544
2018,Republic of Moldova,LOW,63.3946
2018,Republic of Moldova,HIGH,8.51746
2018,Republic of Moldova,MEDIUM,7.6025
2019,Republic of Moldova,EXTREME,21.46107
2019,Republic of Moldova,HIGH,12.31005
2019,Republic of Moldova,LOW,54.46314
2019,Republic of Moldova,MEDIUM,11.76574
