Year,GeoAreaName,Education level,Value
2019,Sweden,SECOND,98.44545
2019,Sweden,PRIMAR,96.91268
2011,Switzerland,PRIMAR,100
2011,Switzerland,LOWSEC,100
2011,Switzerland,SECOND,100
2011,Switzerland,UPPSEC,100
2012,Switzerland,UPPSEC,100
2012,Switzerland,SECOND,100
2012,Switzerland,LOWSEC,100
2012,Switzerland,PRIMAR,100
2013,Switzerland,PRIMAR,100
2019,Azerbaijan,UPPSEC,98.4041
2019,Azerbaijan,SECOND,97.84917
2020,Azerbaijan,SECOND,98.56318
2020,Azerbaijan,UPPSEC,98.82848
2020,Azerbaijan,PRIMAR,96.48094
2020,Azerbaijan,LOWSEC,98.34871
2021,Azerbaijan,LOWSEC,98.9075
2021,Azerbaijan,PRIMAR,97.83345
2021,Azerbaijan,UPPSEC,99.13278
2021,Azerbaijan,SECOND,99.00844
2013,Switzerland,LOWSEC,100
2013,Switzerland,SECOND,100
2013,Switzerland,UPPSEC,100
2014,Switzerland,UPPSEC,100
2014,Switzerland,SECOND,100
2014,Switzerland,LOWSEC,100
2014,Switzerland,PRIMAR,100
2015,Switzerland,PRIMAR,100
2015,Switzerland,LOWSEC,100
2015,Switzerland,SECOND,100
2021,Belarus,SECOND,100
2021,Belarus,LOWSEC,100
2021,Belarus,PRIMAR,100
2021,Belarus,UPPSEC,100
2015,Croatia,SECOND,96.6336
2015,Croatia,PRIMAR,13.51489
2018,Croatia,SECOND,100
2019,Croatia,PRIMAR,22.11399
2015,Cyprus,PRIMAR,87.88586
2019,Cyprus,PRIMAR,78.94219
2019,Cyprus,SECOND,36.14458
2015,Switzerland,UPPSEC,100
2016,Switzerland,UPPSEC,100
2016,Switzerland,SECOND,100
2016,Switzerland,LOWSEC,100
2016,Switzerland,PRIMAR,100
2018,Switzerland,SECOND,96.42166
2015,Türkiye,PRIMAR,35.10472
2015,Türkiye,SECOND,60.40193
2018,Türkiye,SECOND,80.2673
2019,Türkiye,SECOND,20.08841
2019,Türkiye,PRIMAR,94.27895
2019,Turkmenistan,PRIMAR,99.19528
2019,Turkmenistan,LOWSEC,99.19528
2019,Turkmenistan,SECOND,99.19528
2019,Turkmenistan,UPPSEC,99.19528
2020,Turkmenistan,UPPSEC,97.64454
2020,Turkmenistan,SECOND,97.64454
2020,Turkmenistan,LOWSEC,97.64454
2020,Turkmenistan,PRIMAR,97.64454
2021,Turkmenistan,PRIMAR,99.35726
2021,Turkmenistan,LOWSEC,99.35726
2021,Turkmenistan,SECOND,99.35726
2021,Turkmenistan,UPPSEC,99.35726
2016,Ukraine,LOWSEC,97.45913
2016,Ukraine,PRIMAR,69.14213
2016,Ukraine,SECOND,99.14407
2016,Ukraine,UPPSEC,99.85156
2017,Ukraine,UPPSEC,99.89591
2017,Ukraine,SECOND,99.35236
2017,Ukraine,PRIMAR,77.8626
2017,Ukraine,LOWSEC,98.00235
2015,Czechia,SECOND,100
2015,Czechia,PRIMAR,67.80784
2018,Czechia,SECOND,100
2019,Czechia,PRIMAR,61.19779
2001,Denmark,LOWSEC,100
2001,Denmark,PRIMAR,100
2002,Denmark,PRIMAR,100
2002,Denmark,LOWSEC,100
2003,Denmark,LOWSEC,100
2003,Denmark,PRIMAR,100
2004,Denmark,PRIMAR,100
2004,Denmark,LOWSEC,100
2005,Denmark,LOWSEC,100
2005,Denmark,PRIMAR,100
2006,Denmark,PRIMAR,100
2006,Denmark,LOWSEC,100
2007,Denmark,LOWSEC,100
2007,Denmark,PRIMAR,100
2008,Denmark,PRIMAR,100
2008,Denmark,LOWSEC,100
2009,Denmark,LOWSEC,100
2009,Denmark,PRIMAR,100
2018,Ukraine,LOWSEC,99.04499
2018,Ukraine,PRIMAR,81.51383
2018,Ukraine,SECOND,99.67951
2018,Ukraine,UPPSEC,99.92288
2019,Ukraine,UPPSEC,99.8527
2019,Ukraine,SECOND,99.70455
2019,Ukraine,PRIMAR,94.25759
2019,Ukraine,LOWSEC,99.29616
2020,Ukraine,LOWSEC,99.80458
2020,Ukraine,PRIMAR,96.85817
2010,Denmark,PRIMAR,100
2010,Denmark,LOWSEC,100
2011,Denmark,LOWSEC,100
2011,Denmark,PRIMAR,100
2012,Denmark,PRIMAR,100
2012,Denmark,LOWSEC,100
2013,Denmark,LOWSEC,100
2013,Denmark,PRIMAR,100
2014,Denmark,PRIMAR,100
2014,Denmark,LOWSEC,100
2015,Denmark,LOWSEC,100
2020,Ukraine,SECOND,99.83171
2020,Ukraine,UPPSEC,99.84135
2021,Ukraine,UPPSEC,99.89925
2021,Ukraine,SECOND,99.85146
2021,Ukraine,LOWSEC,99.71735
2021,Ukraine,PRIMAR,98.93411
2015,North Macedonia,SECOND,100
2018,North Macedonia,SECOND,98.9481
2019,North Macedonia,PRIMAR,81.54477
2017,Uzbekistan,PRIMAR,97.05234
2017,Uzbekistan,LOWSEC,95.58839
2015,Denmark,PRIMAR,100
2015,Denmark,SECOND,100
2015,Denmark,UPPSEC,100
2016,Denmark,PRIMAR,100
2016,Denmark,LOWSEC,100
2018,Denmark,SECOND,96.49338
2000,Estonia,PRIMAR,99.25706
2001,Estonia,PRIMAR,99.21997
2002,Estonia,PRIMAR,99.04
2003,Estonia,PRIMAR,99.5122
2004,Estonia,PRIMAR,98.82353
2017,Uzbekistan,UPPSEC,100
2017,Uzbekistan,SECOND,96.20276
2018,Uzbekistan,SECOND,95.86403
2018,Uzbekistan,UPPSEC,99.93573
2018,Uzbekistan,LOWSEC,95.21162
2018,Uzbekistan,PRIMAR,96.68687
2019,Uzbekistan,UPPSEC,99.67469
2020,Uzbekistan,PRIMAR,96.17492
2020,Uzbekistan,LOWSEC,96.12942
2021,Uzbekistan,LOWSEC,96.66766
2005,Estonia,PRIMAR,99.31624
2006,Estonia,PRIMAR,99.12892
2007,Estonia,PRIMAR,99.11348
2008,Estonia,PRIMAR,99.45946
2009,Estonia,PRIMAR,98.90511
2010,Estonia,PRIMAR,100
2011,Estonia,PRIMAR,99.62193
2012,Estonia,PRIMAR,99.80695
2013,Estonia,PRIMAR,99.23664
2015,Estonia,SECOND,93.34021
2018,Estonia,SECOND,100
2000,Finland,LOWSEC,100
2000,Finland,SECOND,100
2000,Finland,PRIMAR,100
2000,Finland,UPPSEC,100
2001,Finland,UPPSEC,100
