Year,GeoAreaName,Education level,Location,Quantile,Value
2019,Belarus,UPPSEC,ALLAREA,Q1,1.09882
2019,Belarus,LOWSEC,ALLAREA,_T,1.00811
2019,Belarus,PRIMAR,URBAN,Q3,1
2019,Belarus,PRIMAR,URBAN,Q5,1
2019,Belarus,PRIMAR,URBAN,Q2,1
2019,Belarus,PRIMAR,RURAL,_T,1
2019,Belarus,LOWSEC,URBAN,Q4,1
2019,Belarus,PRIMAR,ALLAREA,Q5,1
2006,Croatia,PRIMAR,ALLAREA,_T,0.9913
2006,Croatia,LOWSEC,ALLAREA,_T,1.00525
2006,Croatia,UPPSEC,ALLAREA,_T,1.01
2007,Croatia,UPPSEC,ALLAREA,_T,1.0195
2007,Croatia,LOWSEC,ALLAREA,_T,1.00232
2007,Croatia,PRIMAR,ALLAREA,_T,0.9969
2008,Croatia,PRIMAR,ALLAREA,_T,1
2008,Croatia,LOWSEC,ALLAREA,_T,1.00748
2008,Croatia,UPPSEC,ALLAREA,_T,1.00274
2009,Croatia,UPPSEC,ALLAREA,_T,1.0263
2011,Armenia,PRIMAR,RURAL,Q3,0
2011,Armenia,LOWSEC,RURAL,Q1,1.04138
2011,Armenia,LOWSEC,URBAN,_T,0.99895
2011,Armenia,LOWSEC,URBAN,Q1,0
2011,Armenia,UPPSEC,ALLAREA,_T,1.07928
2011,Armenia,PRIMAR,ALLAREA,Q4,1
2011,Armenia,LOWSEC,RURAL,Q2,1.04859
2011,Armenia,PRIMAR,RURAL,Q2,1
2011,Armenia,LOWSEC,RURAL,Q4,0
2011,Armenia,LOWSEC,RURAL,Q5,0
2011,Armenia,PRIMAR,RURAL,Q1,1.01021
2011,Armenia,LOWSEC,ALLAREA,_T,1.01333
2011,Armenia,LOWSEC,URBAN,Q5,1
2011,Armenia,LOWSEC,URBAN,Q3,0.99533
2011,Armenia,PRIMAR,RURAL,_T,1.00544
2011,Armenia,LOWSEC,URBAN,Q2,1
2009,Croatia,LOWSEC,ALLAREA,_T,0.99415
2009,Croatia,PRIMAR,ALLAREA,_T,1.003
2010,Croatia,PRIMAR,ALLAREA,_T,0.98375
2010,Croatia,LOWSEC,ALLAREA,_T,0.96924
2010,Croatia,UPPSEC,ALLAREA,_T,1.05183
2011,Croatia,UPPSEC,ALLAREA,_T,1.0186
2011,Croatia,LOWSEC,ALLAREA,_T,0.97467
2011,Croatia,PRIMAR,ALLAREA,_T,1
2012,Croatia,PRIMAR,ALLAREA,_T,1
2012,Croatia,LOWSEC,ALLAREA,_T,0.99889
2019,Belarus,LOWSEC,ALLAREA,Q5,1
2019,Belarus,PRIMAR,RURAL,Q5,0
2019,Belarus,LOWSEC,ALLAREA,Q4,1
2019,Belarus,LOWSEC,ALLAREA,Q2,1.03734
2019,Belarus,PRIMAR,URBAN,_T,1
2019,Belarus,UPPSEC,RURAL,Q1,1.13501
2019,Belarus,UPPSEC,RURAL,Q4,0
2019,Belarus,UPPSEC,ALLAREA,Q5,0.9201
2012,Croatia,UPPSEC,ALLAREA,_T,1.01192
2013,Croatia,UPPSEC,ALLAREA,_T,1.02103
2013,Croatia,LOWSEC,ALLAREA,_T,1.00765
2013,Croatia,PRIMAR,ALLAREA,_T,1
2014,Croatia,PRIMAR,ALLAREA,_T,1.0021
2014,Croatia,LOWSEC,ALLAREA,_T,1.02042
2014,Croatia,UPPSEC,ALLAREA,_T,1.01481
2015,Croatia,UPPSEC,ALLAREA,_T,1.0322
2015,Croatia,LOWSEC,ALLAREA,_T,1.00626
2015,Croatia,PRIMAR,ALLAREA,_T,1
2011,Armenia,PRIMAR,URBAN,Q1,0
2011,Armenia,PRIMAR,RURAL,Q4,0
2011,Armenia,PRIMAR,RURAL,Q5,0
2011,Armenia,LOWSEC,ALLAREA,Q5,1
2011,Armenia,UPPSEC,RURAL,Q3,0
2011,Armenia,UPPSEC,RURAL,Q4,0
2011,Armenia,UPPSEC,RURAL,Q2,1.08109
2011,Armenia,UPPSEC,RURAL,Q1,1.1331
2016,Croatia,PRIMAR,ALLAREA,_T,1.0335
2016,Croatia,LOWSEC,ALLAREA,_T,0.99838
2016,Croatia,UPPSEC,ALLAREA,_T,1.01588
2017,Croatia,UPPSEC,ALLAREA,_T,0.99876
2017,Croatia,LOWSEC,ALLAREA,_T,0.99788
2017,Croatia,PRIMAR,ALLAREA,_T,1.01566
2018,Croatia,PRIMAR,ALLAREA,_T,1.005
2018,Croatia,LOWSEC,ALLAREA,_T,1.01353
2018,Croatia,UPPSEC,ALLAREA,_T,0.9886
2019,Croatia,UPPSEC,ALLAREA,_T,0.99588
2019,Belarus,UPPSEC,URBAN,Q3,1.02366
2019,Belarus,UPPSEC,ALLAREA,_T,1.02888
2019,Belarus,PRIMAR,ALLAREA,Q4,1
2019,Belarus,PRIMAR,RURAL,Q2,1
2019,Belarus,LOWSEC,RURAL,Q4,0
2019,Belarus,LOWSEC,URBAN,Q1,0
2019,Belarus,LOWSEC,URBAN,_T,1
2019,Belarus,PRIMAR,URBAN,Q4,1
2019,Belarus,PRIMAR,ALLAREA,Q3,1
2019,Belarus,LOWSEC,URBAN,Q2,0
2019,Belarus,LOWSEC,URBAN,Q3,1
2019,Belarus,LOWSEC,URBAN,Q5,1
2019,Belarus,LOWSEC,RURAL,_T,1.03817
2019,Belarus,PRIMAR,RURAL,Q4,0
2019,Belarus,PRIMAR,URBAN,Q1,0
2019,Belarus,LOWSEC,ALLAREA,Q1,1.00952
2019,Belarus,LOWSEC,ALLAREA,Q3,1
2019,Belarus,UPPSEC,ALLAREA,Q4,1.04353
2019,Belarus,UPPSEC,RURAL,Q3,0
2019,Belarus,UPPSEC,ALLAREA,Q3,1.0238
2019,Belarus,UPPSEC,RURAL,Q2,0
2019,Belarus,UPPSEC,RURAL,_T,1.09891
2019,Belarus,LOWSEC,RURAL,Q3,0
2019,Belarus,PRIMAR,RURAL,Q3,0
2019,Croatia,LOWSEC,ALLAREA,_T,0.99929
2019,Croatia,PRIMAR,ALLAREA,_T,0.9937
2020,Croatia,PRIMAR,ALLAREA,_T,0.9921
2020,Croatia,LOWSEC,ALLAREA,_T,1.01813
2020,Croatia,UPPSEC,ALLAREA,_T,1.0158
2021,Croatia,UPPSEC,ALLAREA,_T,1.01527
2021,Croatia,LOWSEC,ALLAREA,_T,1.00161
2021,Croatia,PRIMAR,ALLAREA,_T,1.0075
2000,Cyprus,UPPSEC,ALLAREA,_T,1.06881
2000,Cyprus,LOWSEC,ALLAREA,_T,1.04513
2011,Armenia,UPPSEC,URBAN,Q2,1.17145
2011,Armenia,UPPSEC,ALLAREA,Q2,1.1215
2011,Armenia,UPPSEC,ALLAREA,Q1,1.12096
2011,Armenia,PRIMAR,ALLAREA,Q1,1.0094
2011,Armenia,PRIMAR,ALLAREA,Q2,1
2011,Armenia,PRIMAR,ALLAREA,_T,1.00236
2011,Armenia,UPPSEC,URBAN,_T,1.05189
2011,Armenia,UPPSEC,RURAL,Q5,0
2011,Armenia,UPPSEC,URBAN,Q1,0
2011,Armenia,UPPSEC,URBAN,Q4,1.02112
2011,Armenia,UPPSEC,URBAN,Q5,0.9884
2011,Armenia,LOWSEC,RURAL,_T,1.03938
2011,Armenia,UPPSEC,URBAN,Q3,1.09745
2011,Armenia,UPPSEC,ALLAREA,Q5,0.99432
2011,Armenia,UPPSEC,RURAL,_T,1.12408
2011,Armenia,UPPSEC,ALLAREA,Q3,1.12821
2011,Armenia,UPPSEC,ALLAREA,Q4,1.02041
2011,Armenia,PRIMAR,URBAN,Q4,1
2011,Armenia,PRIMAR,URBAN,Q5,1
2011,Armenia,PRIMAR,URBAN,Q2,1
2011,Armenia,PRIMAR,URBAN,Q3,1
2011,Armenia,LOWSEC,URBAN,Q4,1
2011,Armenia,PRIMAR,ALLAREA,Q5,1
2011,Armenia,PRIMAR,ALLAREA,Q3,1
2000,Cyprus,PRIMAR,ALLAREA,_T,1
2001,Cyprus,PRIMAR,ALLAREA,_T,1
2001,Cyprus,LOWSEC,ALLAREA,_T,1.04499
2001,Cyprus,UPPSEC,ALLAREA,_T,1.07281
2002,Cyprus,UPPSEC,ALLAREA,_T,1.07571
2002,Cyprus,LOWSEC,ALLAREA,_T,1.04286
2002,Cyprus,PRIMAR,ALLAREA,_T,1
2003,Cyprus,PRIMAR,ALLAREA,_T,1
2003,Cyprus,LOWSEC,ALLAREA,_T,1.03971
2003,Cyprus,UPPSEC,ALLAREA,_T,1.07848
2004,Cyprus,UPPSEC,ALLAREA,_T,1.07906
2004,Cyprus,LOWSEC,ALLAREA,_T,1.0376
2004,Cyprus,PRIMAR,ALLAREA,_T,1
2005,Cyprus,PRIMAR,ALLAREA,_T,1
2005,Cyprus,LOWSEC,ALLAREA,_T,1.0355
2005,Cyprus,UPPSEC,ALLAREA,_T,1.07956
2006,Cyprus,UPPSEC,ALLAREA,_T,1.1396
2006,Cyprus,LOWSEC,ALLAREA,_T,1.04001
2006,Cyprus,PRIMAR,ALLAREA,_T,1.0053
2007,Cyprus,PRIMAR,ALLAREA,_T,0.9999
2007,Cyprus,LOWSEC,ALLAREA,_T,1.04367
2007,Cyprus,UPPSEC,ALLAREA,_T,1.10796
2008,Cyprus,UPPSEC,ALLAREA,_T,1.13412
