Year,GeoAreaName,IHR Capacity,Value
2011,Bosnia and Herzegovina,IHR13,25
2011,Bosnia and Herzegovina,IHR09,0
2011,Bosnia and Herzegovina,IHR11,75
2014,Bosnia and Herzegovina,IHR02,73
2014,Bosnia and Herzegovina,IHR03,65
2014,Bosnia and Herzegovina,IHR04,53
2014,Bosnia and Herzegovina,IHR06,86
2014,Bosnia and Herzegovina,IHR07,20
2011,Belarus,IHR03,95
2011,Belarus,IHR06,100
2011,Belarus,IHR05,100
2011,Belarus,IHR01,0
2011,Belarus,IHR02,90
2015,Austria,IHR12,85
2015,Austria,IHR01,67
2015,Austria,IHR06,100
2015,Austria,IHR07,100
2015,Austria,IHR08,100
2011,Belarus,IHR13,0
2011,Belarus,IHR12,100
2011,Belarus,IHR10,100
2014,Belarus,IHR02,100
2014,Belarus,IHR03,65
2014,Bosnia and Herzegovina,IHR08,59
2014,Bosnia and Herzegovina,IHR01,75
2014,Bosnia and Herzegovina,IHR05,25
2014,Bosnia and Herzegovina,IHR10,78
2014,Bosnia and Herzegovina,IHR11,100
2015,Austria,IHR09,15
2015,Austria,IHR10,89
2016,Austria,IHR07,100
2016,Austria,IHR08,100
2016,Austria,IHR09,15
2014,Belarus,IHR04,94
2014,Belarus,IHR05,75
2014,Belarus,IHR06,71
2014,Belarus,IHR13,92
2014,Belarus,IHR12,92
2016,Austria,IHR10,100
2016,Austria,IHR11,100
2016,Austria,IHR04,94
2016,Austria,IHR03,100
2016,Austria,IHR02,90
2014,Bosnia and Herzegovina,IHR12,38
2014,Bosnia and Herzegovina,IHR13,54
2014,Bosnia and Herzegovina,IHR09,0
2015,Bosnia and Herzegovina,IHR05,45
2015,Bosnia and Herzegovina,IHR07,20
2015,Bosnia and Herzegovina,IHR08,49
2015,Bosnia and Herzegovina,IHR09,0
2015,Bosnia and Herzegovina,IHR06,57
2015,Bosnia and Herzegovina,IHR01,100
2015,Bosnia and Herzegovina,IHR02,30
2014,Belarus,IHR10,89
2014,Belarus,IHR01,100
2014,Belarus,IHR07,100
2014,Belarus,IHR08,96
2014,Belarus,IHR09,97
2015,Bosnia and Herzegovina,IHR03,80
2015,Bosnia and Herzegovina,IHR04,60
2015,Bosnia and Herzegovina,IHR10,67
2015,Bosnia and Herzegovina,IHR11,100
2015,Bosnia and Herzegovina,IHR12,38
2016,Austria,IHR06,100
2016,Austria,IHR12,77
2016,Austria,IHR13,92
2016,Austria,IHR01,75
2016,Austria,IHR05,92
2014,Belarus,IHR11,93
2018,Belarus,SPAR10,100
2018,Belarus,SPAR11,100
2018,Belarus,SPAR12,100
2018,Belarus,SPAR13,100
2018,Belarus,SPAR02,100
2015,Bosnia and Herzegovina,IHR13,69
2016,Bosnia and Herzegovina,IHR01,100
2016,Bosnia and Herzegovina,IHR02,30
2016,Bosnia and Herzegovina,IHR11,100
2016,Bosnia and Herzegovina,IHR12,46
2016,Bosnia and Herzegovina,IHR13,62
2016,Bosnia and Herzegovina,IHR04,72
2016,Bosnia and Herzegovina,IHR07,20
2016,Bosnia and Herzegovina,IHR08,62
2016,Bosnia and Herzegovina,IHR09,0
2017,Austria,IHR03,90
2017,Austria,IHR04,67
2017,Austria,IHR05,67
2017,Austria,IHR10,100
2017,Austria,IHR06,86
2017,Austria,IHR09,0
2017,Austria,IHR01,50
2017,Austria,IHR02,53
2017,Austria,IHR11,100
2017,Austria,IHR12,85
2018,Belarus,SPAR01,93
2018,Belarus,SPAR03,80
2018,Belarus,SPAR04,100
2018,Belarus,SPAR05,93
2018,Belarus,SPAR06,100
2018,Belarus,SPAR07,100
2017,Austria,IHR13,92
2017,Austria,IHR08,58
2017,Austria,IHR07,40
2018,Austria,SPAR04,80
2018,Austria,SPAR05,67
2018,Austria,SPAR06,80
2018,Austria,SPAR01,60
2018,Austria,SPAR02,90
2018,Austria,SPAR03,100
2018,Austria,SPAR11,0
2018,Austria,SPAR12,60
2018,Austria,SPAR13,100
2018,Belarus,SPAR08,87
2018,Belarus,SPAR09,100
2020,Belarus,SPAR01,93
2020,Belarus,SPAR02,100
2020,Belarus,SPAR03,80
2020,Belarus,SPAR04,100
2020,Belarus,SPAR05,100
2020,Belarus,SPAR07,100
2020,Belarus,SPAR10,100
2020,Belarus,SPAR11,100
2020,Belarus,SPAR12,100
2020,Belarus,SPAR13,100
2018,Austria,SPAR07,20
2018,Austria,SPAR08,33
2018,Austria,SPAR09,53
2018,Austria,SPAR10,20
2019,Austria,SPAR11,0
2019,Austria,SPAR12,60
2019,Austria,SPAR13,100
2019,Austria,SPAR09,53
2019,Austria,SPAR10,20
2019,Austria,SPAR04,100
2019,Austria,SPAR01,90
2019,Austria,SPAR02,90
2020,Belarus,SPAR09,100
2020,Belarus,SPAR08,93
2020,Belarus,SPAR06,100
2021,Belarus,SPAR2-C07,100
2021,Belarus,SPAR2-C08,100
2021,Belarus,SPAR2-C09,80
2021,Belarus,SPAR2-C10,100
2021,Belarus,SPAR2-C11,100
2021,Belarus,SPAR2-C15,100
2021,Belarus,SPAR2-C01,60
2021,Belarus,SPAR2-C02,100
2019,Austria,SPAR03,100
2019,Austria,SPAR05,73
2019,Austria,SPAR06,90
2019,Austria,SPAR07,80
2019,Austria,SPAR08,47
2020,Austria,SPAR10,20
2020,Austria,SPAR11,0
2020,Austria,SPAR12,60
2020,Austria,SPAR06,90
2020,Austria,SPAR13,100
2020,Austria,SPAR05,73
2020,Austria,SPAR04,100
2020,Austria,SPAR07,80
2020,Austria,SPAR08,47
2020,Austria,SPAR09,53
2020,Austria,SPAR03,100
2020,Austria,SPAR01,60
2020,Austria,SPAR02,90
2016,Bosnia and Herzegovina,IHR10,44
2016,Bosnia and Herzegovina,IHR06,71
2016,Bosnia and Herzegovina,IHR05,55
2016,Bosnia and Herzegovina,IHR03,75
2017,Bosnia and Herzegovina,IHR04,72
2017,Bosnia and Herzegovina,IHR03,75
2017,Bosnia and Herzegovina,IHR06,71
2017,Bosnia and Herzegovina,IHR07,20
2017,Bosnia and Herzegovina,IHR08,62
