Year,GeoAreaName,Type of renewable technology,Value
2015,Armenia,MULTIPLE,0.1
2015,Armenia,ALL,23.88
2016,Armenia,GEOTHERMAL,0
2016,Armenia,ALL,124.76
2016,Armenia,MULTIPLE,3.29
2016,Armenia,MARINE,0
2016,Armenia,SOLAR,48.25
2016,Armenia,WIND,0
2016,Armenia,HYDROPOWER,73.22
2010,Albania,ALL,6.96
2010,Albania,MARINE,0
2010,Albania,HYDROPOWER,0.08
2010,Albania,BIOENERGY,0
2010,Albania,MULTIPLE,6.88
2021,Azerbaijan,WIND,0
2000,Bosnia and Herzegovina,WIND,0
2000,Bosnia and Herzegovina,ALL,0
2000,Bosnia and Herzegovina,SOLAR,0
2000,Bosnia and Herzegovina,MULTIPLE,0
2016,Armenia,BIOENERGY,0
2017,Armenia,GEOTHERMAL,0
2017,Armenia,HYDROPOWER,1.45
2017,Armenia,MULTIPLE,0.08
2017,Armenia,ALL,1.61
2010,Albania,GEOTHERMAL,0
2010,Albania,WIND,0
2010,Albania,SOLAR,0
2011,Albania,HYDROPOWER,0.3
2011,Albania,WIND,0
2017,Armenia,BIOENERGY,0.08
2017,Armenia,MARINE,0
2017,Armenia,WIND,0
2017,Armenia,SOLAR,0
2018,Armenia,WIND,0
2000,Bosnia and Herzegovina,BIOENERGY,0
2000,Bosnia and Herzegovina,GEOTHERMAL,0
2000,Bosnia and Herzegovina,MARINE,0
2000,Bosnia and Herzegovina,HYDROPOWER,0
2001,Bosnia and Herzegovina,HYDROPOWER,3.03
2018,Armenia,HYDROPOWER,0
2018,Armenia,GEOTHERMAL,0
2018,Armenia,ALL,28.45
2018,Armenia,SOLAR,28.4
2018,Armenia,MULTIPLE,0.05
2018,Armenia,MARINE,0
2018,Armenia,BIOENERGY,0
2019,Armenia,ALL,56.97
2019,Armenia,MULTIPLE,56.93
2019,Armenia,BIOENERGY,0
2011,Albania,SOLAR,0
2011,Albania,MARINE,0
2011,Albania,ALL,0.3
2011,Albania,GEOTHERMAL,0
2011,Albania,MULTIPLE,0
2011,Albania,BIOENERGY,0
2012,Albania,WIND,0
2012,Albania,HYDROPOWER,24.2
2012,Albania,ALL,24.25
2012,Albania,MARINE,0
2001,Bosnia and Herzegovina,ALL,6.73
2001,Bosnia and Herzegovina,WIND,0
2001,Bosnia and Herzegovina,MULTIPLE,3.7
2001,Bosnia and Herzegovina,SOLAR,0
2001,Bosnia and Herzegovina,BIOENERGY,0
2001,Bosnia and Herzegovina,MARINE,0
2001,Bosnia and Herzegovina,GEOTHERMAL,0
2002,Bosnia and Herzegovina,BIOENERGY,0
2002,Bosnia and Herzegovina,SOLAR,0
2002,Bosnia and Herzegovina,HYDROPOWER,0
2019,Armenia,MARINE,0
2019,Armenia,SOLAR,0.04
2019,Armenia,GEOTHERMAL,0
2019,Armenia,HYDROPOWER,0
2019,Armenia,WIND,0
2020,Armenia,SOLAR,9.79
2020,Armenia,MARINE,0
2020,Armenia,ALL,26.31
2020,Armenia,WIND,0
2020,Armenia,HYDROPOWER,0
2002,Bosnia and Herzegovina,MULTIPLE,0.31
2002,Bosnia and Herzegovina,WIND,0
2002,Bosnia and Herzegovina,ALL,0.31
2002,Bosnia and Herzegovina,GEOTHERMAL,0
2002,Bosnia and Herzegovina,MARINE,0
2012,Albania,SOLAR,0
2012,Albania,BIOENERGY,0
2012,Albania,MULTIPLE,0.05
2012,Albania,GEOTHERMAL,0
2013,Albania,SOLAR,0
2020,Armenia,GEOTHERMAL,0
2020,Armenia,BIOENERGY,0
2020,Armenia,MULTIPLE,16.51
2021,Armenia,ALL,49.4
2021,Armenia,GEOTHERMAL,0
2003,Bosnia and Herzegovina,MARINE,0
2003,Bosnia and Herzegovina,GEOTHERMAL,0
2003,Bosnia and Herzegovina,ALL,0
2003,Bosnia and Herzegovina,WIND,0
2003,Bosnia and Herzegovina,MULTIPLE,0
2003,Bosnia and Herzegovina,HYDROPOWER,0
