Year,GeoAreaName,Age,Freq,Location,Sex,Type of speed,Value
2013,Kyrgyzstan,,,,,256KT2MBPS,77877
2013,Kyrgyzstan,,,,,2MT10MBPS,43943
2013,Kyrgyzstan,,,,,10MBPS,14065
2014,Kyrgyzstan,,,,,ANYS,170706
2015,Kyrgyzstan,,,,,ANYS,211521
2015,Kyrgyzstan,,,,,10MBPS,105739
2015,Kyrgyzstan,,,,,2MT10MBPS,59374
2019,Croatia,,,,,10MBPS,892005
2019,Croatia,,,,,2MT10MBPS,247340
2019,Croatia,,,,,256KT2MBPS,15428
2020,Croatia,,,,,ANYS,1030973
2020,Croatia,,,,,10MBPS,848051
2020,Croatia,,,,,2MT10MBPS,172816
2020,Croatia,,,,,256KT2MBPS,10106
2021,Croatia,,,,,ANYS,1048489
2021,Croatia,,,,,10MBPS,904041
2021,Croatia,,,,,2MT10MBPS,135243
2015,Kyrgyzstan,,,,,256KT2MBPS,46408
2016,Kyrgyzstan,,,,,ANYS,240873
2016,Kyrgyzstan,,,,,10MBPS,119374
2016,Kyrgyzstan,,,,,2MT10MBPS,93643
2016,Kyrgyzstan,,,,,256KT2MBPS,27855
2017,Kyrgyzstan,,,,,10MBPS,128799
2017,Kyrgyzstan,,,,,2MT10MBPS,101786
2017,Kyrgyzstan,,,,,256KT2MBPS,27428
2017,Kyrgyzstan,,,,,ANYS,258013
2018,Kyrgyzstan,,,,,ANYS,250612
2021,Slovakia,,,,,256KT2MBPS,21091
2001,Slovenia,,,,,ANYS,5500
2002,Slovenia,,,,,ANYS,56735
2003,Slovenia,,,,,ANYS,57992
2004,Slovenia,,,,,ANYS,115069
2005,Slovenia,,,,,ANYS,196650
2006,Slovenia,,,,,ANYS,279814
2007,Slovenia,,,,,ANYS,344677
2008,Slovenia,,,,,10MBPS,69549
2008,Slovenia,,,,,2MT10MBPS,80571
2008,Slovenia,,,,,ANYS,425294
2018,Kyrgyzstan,,,,,2MT10MBPS,158296
2018,Kyrgyzstan,,,,,10MBPS,69662
2018,Kyrgyzstan,,,,,256KT2MBPS,22654
2019,Kyrgyzstan,,,,,2MT10MBPS,174988
2019,Kyrgyzstan,,,,,ANYS,269091
2019,Kyrgyzstan,,,,,256KT2MBPS,20556
2019,Kyrgyzstan,,,,,10MBPS,73547
2020,Kyrgyzstan,,,,,ANYS,289000
2021,Kyrgyzstan,,,,,ANYS,289000
2000,Latvia,,,,,ANYS,284
2001,Latvia,,,,,ANYS,3235
2008,Slovenia,,,,,256KT2MBPS,260804
2009,Slovenia,,,,,256KT2MBPS,267624
2009,Slovenia,,,,,ANYS,449030
2009,Slovenia,,,,,10MBPS,96351
2009,Slovenia,,,,,2MT10MBPS,85055
2010,Slovenia,,,,,256KT2MBPS,265231
2010,Slovenia,,,,,10MBPS,110506
2010,Slovenia,,,,,2MT10MBPS,93830
2010,Slovenia,,,,,ANYS,470527
2011,Slovenia,,,,,10MBPS,160426
2011,Slovenia,,,,,2MT10MBPS,250363
2021,Croatia,,,,,256KT2MBPS,9205
2001,Cyprus,,,,,ANYS,2500
2002,Cyprus,,,,,ANYS,5879
2003,Cyprus,,,,,ANYS,10033
2004,Cyprus,,,,,ANYS,17070
2005,Cyprus,,,,,ANYS,31856
2006,Cyprus,,,,,ANYS,63084
2007,Cyprus,,,,,ANYS,97613
2008,Cyprus,,,,,ANYS,147276
2009,Cyprus,,,,,ANYS,176024
2009,Cyprus,,,,,2MT10MBPS,44334
2009,Cyprus,,,,,10MBPS,183
2002,Latvia,,,,,ANYS,10000
2003,Latvia,,,,,ANYS,19533
2004,Latvia,,,,,ANYS,49147
2005,Latvia,,,,,ANYS,60770
2006,Latvia,,,,,ANYS,109674
2007,Latvia,,,,,ANYS,338559
2008,Latvia,,,,,ANYS,412108
2009,Latvia,,,,,ANYS,454714
2010,Latvia,,,,,ANYS,434876
2011,Latvia,,,,,ANYS,457422
2012,Latvia,,,,,ANYS,476141
2013,Latvia,,,,,ANYS,496000
2013,Latvia,,,,,10MBPS,302000
2011,Slovenia,,,,,ANYS,494372
2011,Slovenia,,,,,256KT2MBPS,82220
2012,Slovenia,,,,,2MT10MBPS,243589
2012,Slovenia,,,,,ANYS,509336
2012,Slovenia,,,,,256KT2MBPS,84692
2012,Slovenia,,,,,10MBPS,184646
2013,Slovenia,,,,,ANYS,524621
2013,Slovenia,,,,,10MBPS,236435
2013,Slovenia,,,,,2MT10MBPS,236172
2013,Slovenia,,,,,256KT2MBPS,56219
2014,Slovenia,,,,,ANYS,555815
2014,Slovenia,,,,,2MT10MBPS,231386
2014,Slovenia,,,,,256KT2MBPS,38698
2014,Slovenia,,,,,10MBPS,285731
2015,Slovenia,,,,,ANYS,569026
2015,Slovenia,,,,,10MBPS,359273
2015,Slovenia,,,,,2MT10MBPS,177609
2015,Slovenia,,,,,256KT2MBPS,32144
2016,Slovenia,,,,,2MT10MBPS,105403
2016,Slovenia,,,,,10MBPS,465000
2016,Slovenia,,,,,256KT2MBPS,18921
2016,Slovenia,,,,,ANYS,589324
2017,Slovenia,,,,,ANYS,601820
2009,Cyprus,,,,,256KT2MBPS,131507
2010,Cyprus,,,,,ANYS,194455
2010,Cyprus,,,,,256KT2MBPS,118545
2010,Cyprus,,,,,2MT10MBPS,66640
2010,Cyprus,,,,,10MBPS,9270
2011,Cyprus,,,,,ANYS,212149
2011,Cyprus,,,,,2MT10MBPS,175983
2011,Cyprus,,,,,256KT2MBPS,19429
2011,Cyprus,,,,,10MBPS,16737
2012,Cyprus,,,,,2MT10MBPS,193370
2012,Cyprus,,,,,10MBPS,26495
2013,Latvia,,,,,2MT10MBPS,150300
2014,Latvia,,,,,ANYS,505000
2014,Latvia,,,,,10MBPS,355042
2014,Latvia,,,,,2MT10MBPS,133800
2014,Latvia,,,,,256KT2MBPS,11122
2015,Latvia,,,,,10MBPS,390000
2015,Latvia,,,,,2MT10MBPS,104000
2015,Latvia,,,,,256KT2MBPS,8033
2015,Latvia,,,,,ANYS,503503
2016,Latvia,,,,,ANYS,519154
2016,Latvia,,,,,10MBPS,410565
2016,Latvia,,,,,2MT10MBPS,101333
2016,Latvia,,,,,256KT2MBPS,7255
2017,Latvia,,,,,ANYS,526222
2017,Latvia,,,,,10MBPS,411400
2017,Latvia,,,,,2MT10MBPS,108868
2017,Latvia,,,,,256KT2MBPS,5954
2018,Latvia,,,,,10MBPS,421393
2018,Latvia,,,,,2MT10MBPS,100038
2018,Latvia,,,,,256KT2MBPS,4564
2018,Latvia,,,,,ANYS,525995
2019,Latvia,,,,,ANYS,508924
2017,Slovenia,,,,,10MBPS,475228
2017,Slovenia,,,,,2MT10MBPS,116914
2017,Slovenia,,,,,256KT2MBPS,9678
2018,Slovenia,,,,,256KT2MBPS,6257
2018,Slovenia,,,,,ANYS,612745
2018,Slovenia,,,,,10MBPS,536606
2018,Slovenia,,,,,2MT10MBPS,69882
2019,Slovenia,,,,,10MBPS,575257
2019,Slovenia,,,,,2MT10MBPS,48071
2019,Slovenia,,,,,256KT2MBPS,4611
2019,Slovenia,,,,,ANYS,627939
2020,Slovenia,,,,,2MT10MBPS,46487
2012,Cyprus,,,,,256KT2MBPS,717
2012,Cyprus,,,,,ANYS,220580
2013,Cyprus,,,,,ANYS,229195
2013,Cyprus,,,,,2MT10MBPS,206267
2013,Cyprus,,,,,10MBPS,22198
2013,Cyprus,,,,,256KT2MBPS,244
2014,Cyprus,,,,,ANYS,243611
2014,Cyprus,,,,,2MT10MBPS,203718
2014,Cyprus,,,,,10MBPS,39764
2014,Cyprus,,,,,256KT2MBPS,129
2015,Cyprus,,,,,ANYS,260640
2019,Latvia,,,,,10MBPS,415267
2019,Latvia,,,,,2MT10MBPS,89697
2019,Latvia,,,,,256KT2MBPS,3960
2020,Latvia,,,,,ANYS,490569
2020,Latvia,,,,,10MBPS,407703
2020,Latvia,,,,,2MT10MBPS,79127
2020,Latvia,,,,,256KT2MBPS,3739
2021,Latvia,,,,,ANYS,489818
2021,Latvia,,,,,10MBPS,415200
2021,Latvia,,,,,2MT10MBPS,71059
2021,Latvia,,,,,256KT2MBPS,3559
2002,Liechtenstein,,,,,ANYS,1437
2015,Cyprus,,,,,2MT10MBPS,147565
2015,Cyprus,,,,,10MBPS,112955
2015,Cyprus,,,,,256KT2MBPS,120
2016,Cyprus,,,,,ANYS,278483
2016,Cyprus,,,,,2MT10MBPS,161797
2016,Cyprus,,,,,10MBPS,116548
2016,Cyprus,,,,,256KT2MBPS,138
2017,Cyprus,,,,,ANYS,295686
2017,Cyprus,,,,,256KT2MBPS,86
2017,Cyprus,,,,,2MT10MBPS,122981
2017,Cyprus,,,,,10MBPS,172619
2003,Liechtenstein,,,,,ANYS,1500
2004,Liechtenstein,,,,,ANYS,4741
2005,Liechtenstein,,,,,ANYS,8617
2006,Liechtenstein,,,,,ANYS,10000
2007,Liechtenstein,,,,,ANYS,14200
2008,Liechtenstein,,,,,ANYS,15550
2009,Liechtenstein,,,,,ANYS,15983
2010,Liechtenstein,,,,,ANYS,15250
2011,Liechtenstein,,,,,ANYS,13595
2012,Liechtenstein,,,,,ANYS,14416
2013,Liechtenstein,,,,,ANYS,15016
2020,Slovenia,,,,,10MBPS,602847
2020,Slovenia,,,,,256KT2MBPS,2269
2020,Slovenia,,,,,ANYS,651603
2021,Slovenia,,,,,2MT10MBPS,34346
2021,Slovenia,,,,,256KT2MBPS,1140
2021,Slovenia,,,,,ANYS,671498
2021,Slovenia,,,,,10MBPS,636012
2000,Spain,,,,,ANYS,76358
2001,Spain,,,,,ANYS,466600
2002,Spain,,,,,ANYS,1247496
2003,Spain,,,,,ANYS,2121930
2018,Cyprus,,,,,10MBPS,227747
2018,Cyprus,,,,,2MT10MBPS,85673
2018,Cyprus,,,,,256KT2MBPS,42
2018,Cyprus,,,,,ANYS,313667
2019,Cyprus,,,,,ANYS,326565
2019,Cyprus,,,,,10MBPS,241593
2019,Cyprus,,,,,2MT10MBPS,84802
2019,Cyprus,,,,,256KT2MBPS,170
2020,Cyprus,,,,,ANYS,332080
2020,Cyprus,,,,,10MBPS,323653
