Year,GeoAreaName,Age,Name of non-communicable disease,Sex,Value
2010,Croatia,30-70,,FEMALE,12.4
2010,Croatia,30-70,,BOTHSEX,18.8
2015,Croatia,30-70,,MALE,24.1
2015,Croatia,30-70,,FEMALE,11.4
2015,Croatia,30-70,,BOTHSEX,17.6
2019,Croatia,30-70,,MALE,21.8
2019,Croatia,30-70,,FEMALE,10.5
2019,Croatia,30-70,,BOTHSEX,16.1
2000,Cyprus,30-70,,BOTHSEX,13.1
2000,Cyprus,30-70,,MALE,16.7
2000,Cyprus,30-70,,FEMALE,9.5
2005,Cyprus,30-70,,FEMALE,9.1
2005,Cyprus,30-70,,BOTHSEX,12.7
2005,Cyprus,30-70,,MALE,16.2
2010,Cyprus,30-70,,MALE,14
2010,Cyprus,30-70,,FEMALE,7.2
2010,Cyprus,30-70,,BOTHSEX,10.6
2015,Cyprus,30-70,,BOTHSEX,9.7
2015,Cyprus,30-70,,MALE,12.9
2015,Cyprus,30-70,,FEMALE,6.6
2019,Cyprus,30-70,,MALE,10.7
2019,Cyprus,30-70,,FEMALE,5.7
2019,Cyprus,30-70,,BOTHSEX,8.2
2000,Czechia,30-70,,MALE,30.3
2000,Czechia,30-70,,FEMALE,15.2
2000,Czechia,30-70,,BOTHSEX,22.5
2005,Czechia,30-70,,FEMALE,13.5
2005,Czechia,30-70,,BOTHSEX,19.7
2005,Czechia,30-70,,MALE,26.3
2010,Czechia,30-70,,MALE,23.8
2010,Czechia,30-70,,FEMALE,12
2010,Czechia,30-70,,BOTHSEX,17.8
2015,Czechia,30-70,,BOTHSEX,15.6
2015,Czechia,30-70,,MALE,20.7
2015,Czechia,30-70,,FEMALE,10.6
2019,Czechia,30-70,,MALE,18.8
2019,Czechia,30-70,,FEMALE,9.8
2019,Czechia,30-70,,BOTHSEX,14.3
2000,Denmark,30-70,,MALE,21
2000,Denmark,30-70,,FEMALE,15.8
2000,Denmark,30-70,,BOTHSEX,18.4
2005,Denmark,30-70,,FEMALE,12.7
2005,Denmark,30-70,,MALE,17.5
2005,Denmark,30-70,,BOTHSEX,15.1
2010,Denmark,30-70,,MALE,15.6
2010,Denmark,30-70,,FEMALE,11.4
2010,Denmark,30-70,,BOTHSEX,13.5
2015,Denmark,30-70,,MALE,13.8
2015,Denmark,30-70,,FEMALE,10.1
2015,Lithuania,30-70,,BOTHSEX,22.2
2015,Lithuania,30-70,,MALE,32.8
2019,Lithuania,30-70,,BOTHSEX,19.3
2019,Lithuania,30-70,,FEMALE,11.7
2019,Lithuania,30-70,,MALE,28.4
2000,Luxembourg,30-70,,BOTHSEX,15.2
2000,Luxembourg,30-70,,FEMALE,10.9
2000,Luxembourg,30-70,,MALE,19.5
2005,Luxembourg,30-70,,FEMALE,9.7
2005,Luxembourg,30-70,,MALE,17.5
2005,Luxembourg,30-70,,BOTHSEX,13.6
2010,Luxembourg,30-70,,BOTHSEX,11.8
2010,Luxembourg,30-70,,FEMALE,9.1
2010,Luxembourg,30-70,,MALE,14.4
2015,Luxembourg,30-70,,BOTHSEX,9.7
2015,Luxembourg,30-70,,FEMALE,7.4
2015,Luxembourg,30-70,,MALE,11.9
2019,Luxembourg,30-70,,BOTHSEX,9.7
2019,Luxembourg,30-70,,FEMALE,7.4
2019,Luxembourg,30-70,,MALE,12
2000,Malta,30-70,,MALE,20.1
2000,Malta,30-70,,BOTHSEX,15.8
2000,Malta,30-70,,FEMALE,11.9
2005,Malta,30-70,,BOTHSEX,13.2
2005,Malta,30-70,,FEMALE,10.2
2005,Malta,30-70,,MALE,16.5
2010,Malta,30-70,,BOTHSEX,11.8
2010,Malta,30-70,,FEMALE,8.8
2010,Malta,30-70,,MALE,14.8
2015,Malta,30-70,,BOTHSEX,10.7
2015,Malta,30-70,,FEMALE,8.1
2015,Malta,30-70,,MALE,13.4
2019,Malta,30-70,,FEMALE,8.2
2019,Malta,30-70,,MALE,12.9
2019,Malta,30-70,,BOTHSEX,10.5
2000,Republic of Moldova,30-70,,MALE,40.8
2000,Republic of Moldova,30-70,,FEMALE,26.4
2000,Republic of Moldova,30-70,,BOTHSEX,33
2005,Republic of Moldova,30-70,,BOTHSEX,32.3
2005,Republic of Moldova,30-70,,FEMALE,25.1
2015,Denmark,30-70,,BOTHSEX,11.9
2019,Denmark,30-70,,BOTHSEX,10.8
2019,Denmark,30-70,,FEMALE,9
2019,Denmark,30-70,,MALE,12.6
2000,Estonia,30-70,,FEMALE,17.6
2000,Estonia,30-70,,BOTHSEX,27
2000,Estonia,30-70,,MALE,38.2
2005,Estonia,30-70,,MALE,35.1
2005,Estonia,30-70,,FEMALE,14.1
2005,Estonia,30-70,,BOTHSEX,23.7
2010,Estonia,30-70,,BOTHSEX,19.9
2010,Estonia,30-70,,MALE,29
2010,Estonia,30-70,,FEMALE,12.3
2015,Estonia,30-70,,FEMALE,10.5
2015,Estonia,30-70,,MALE,25
2015,Estonia,30-70,,BOTHSEX,17.1
2019,Estonia,30-70,,MALE,22.1
2019,Estonia,30-70,,FEMALE,8.8
2019,Estonia,30-70,,BOTHSEX,14.9
2000,Finland,30-70,,MALE,19.8
2000,Finland,30-70,,FEMALE,9.7
2000,Finland,30-70,,BOTHSEX,14.7
2005,Finland,30-70,,MALE,17.6
2005,Finland,30-70,,FEMALE,8.4
2005,Finland,30-70,,BOTHSEX,13
2010,Finland,30-70,,BOTHSEX,12
2010,Finland,30-70,,MALE,16
2010,Finland,30-70,,FEMALE,8
2015,Finland,30-70,,MALE,14
2015,Finland,30-70,,FEMALE,7.3
2015,Finland,30-70,,BOTHSEX,10.6
2019,Finland,30-70,,MALE,12.4
2019,Finland,30-70,,FEMALE,6.8
2019,Finland,30-70,,BOTHSEX,9.6
2000,France,30-70,,FEMALE,8.7
2000,France,30-70,,BOTHSEX,14.1
2000,France,30-70,,MALE,19.7
2005,France,30-70,,FEMALE,8.2
2005,France,30-70,,MALE,17.4
2005,France,30-70,,BOTHSEX,12.7
2010,France,30-70,,FEMALE,7.8
2010,France,30-70,,BOTHSEX,11.8
2010,France,30-70,,MALE,15.9
2015,France,30-70,,MALE,14.7
2015,France,30-70,,FEMALE,7.5
2015,France,30-70,,BOTHSEX,11
2019,France,30-70,,FEMALE,7.3
2019,France,30-70,,BOTHSEX,10.6
2019,France,30-70,,MALE,14
2000,Georgia,30-70,,FEMALE,21.3
2000,Georgia,30-70,,BOTHSEX,30
2000,Georgia,30-70,,MALE,39.6
2005,Georgia,30-70,,BOTHSEX,26.6
2005,Georgia,30-70,,MALE,34.9
2005,Georgia,30-70,,FEMALE,19.2
2010,Georgia,30-70,,BOTHSEX,27.1
2010,Georgia,30-70,,FEMALE,18.1
2010,Georgia,30-70,,MALE,37
2015,Georgia,30-70,,BOTHSEX,25.5
2015,Georgia,30-70,,MALE,35.5
2015,Georgia,30-70,,FEMALE,16.5
2019,Georgia,30-70,,BOTHSEX,24.9
2019,Georgia,30-70,,FEMALE,15.2
2019,Georgia,30-70,,MALE,35.5
2000,Germany,30-70,,FEMALE,11.2
2000,Germany,30-70,,BOTHSEX,16.1
2000,Germany,30-70,,MALE,21.1
2005,Germany,30-70,,BOTHSEX,14.1
2005,Germany,30-70,,FEMALE,9.9
2005,Germany,30-70,,MALE,18.2
2010,Germany,30-70,,MALE,16.7
2010,Germany,30-70,,BOTHSEX,13
2010,Germany,30-70,,FEMALE,9.3
2015,Germany,30-70,,BOTHSEX,12.6
2015,Germany,30-70,,FEMALE,9.2
2015,Germany,30-70,,MALE,15.9
2019,Germany,30-70,,MALE,15.2
2019,Germany,30-70,,BOTHSEX,12.1
2019,Germany,30-70,,FEMALE,9
2000,Greece,30-70,,BOTHSEX,14.9
2000,Greece,30-70,,FEMALE,9.6
2000,Greece,30-70,,MALE,20.5
2005,Greece,30-70,,BOTHSEX,13.6
2005,Greece,30-70,,FEMALE,8.7
2005,Greece,30-70,,MALE,18.6
2010,Greece,30-70,,BOTHSEX,13.4
2010,Greece,30-70,,FEMALE,8.8
2010,Greece,30-70,,MALE,18.2
2015,Greece,30-70,,MALE,18.2
2015,Greece,30-70,,BOTHSEX,13.1
2015,Greece,30-70,,FEMALE,8.1
2019,Greece,30-70,,BOTHSEX,12.5
2019,Greece,30-70,,FEMALE,8
2019,Greece,30-70,,MALE,17.2
2000,Hungary,30-70,,BOTHSEX,29.1
2000,Hungary,30-70,,FEMALE,19.8
2000,Hungary,30-70,,MALE,39.4
2005,Hungary,30-70,,BOTHSEX,26.7
2005,Hungary,30-70,,MALE,36.7
2005,Hungary,30-70,,FEMALE,17.7
2010,Hungary,30-70,,FEMALE,16.4
2010,Hungary,30-70,,MALE,33.5
2010,Hungary,30-70,,BOTHSEX,24.5
2015,Hungary,30-70,,MALE,30.7
2015,Hungary,30-70,,BOTHSEX,23.2
2015,Hungary,30-70,,FEMALE,16.5
2019,Hungary,30-70,,BOTHSEX,22.1
2019,Hungary,30-70,,FEMALE,15.2
2019,Hungary,30-70,,MALE,29.8
2000,Iceland,30-70,,BOTHSEX,13.3
2000,Iceland,30-70,,FEMALE,11.1
2000,Iceland,30-70,,MALE,15.4
2005,Iceland,30-70,,BOTHSEX,11.4
2005,Iceland,30-70,,FEMALE,9.6
2005,Iceland,30-70,,MALE,13.2
2010,Iceland,30-70,,MALE,11.7
2010,Iceland,30-70,,FEMALE,8.1
2010,Iceland,30-70,,BOTHSEX,9.9
2015,Iceland,30-70,,BOTHSEX,9.2
2015,Iceland,30-70,,FEMALE,7.9
2015,Iceland,30-70,,MALE,10.5
2019,Iceland,30-70,,BOTHSEX,8.7
2019,Iceland,30-70,,FEMALE,7
2019,Iceland,30-70,,MALE,10.2
2000,Ireland,30-70,,FEMALE,13.6
2000,Ireland,30-70,,BOTHSEX,17.7
2000,Ireland,30-70,,MALE,21.7
2005,Ireland,30-70,,BOTHSEX,13.9
2005,Ireland,30-70,,FEMALE,11.1
2005,Ireland,30-70,,MALE,16.6
2010,Ireland,30-70,,FEMALE,9.1
2010,Ireland,30-70,,MALE,13.5
2010,Ireland,30-70,,BOTHSEX,11.3
2015,Ireland,30-70,,BOTHSEX,10.6
2015,Ireland,30-70,,MALE,12.6
2015,Ireland,30-70,,FEMALE,8.7
2019,Ireland,30-70,,BOTHSEX,9.7
2019,Ireland,30-70,,FEMALE,8.1
2019,Ireland,30-70,,MALE,11.2
2000,Italy,30-70,,BOTHSEX,13.6
2000,Italy,30-70,,FEMALE,9.3
2000,Italy,30-70,,MALE,18.1
2005,Italy,30-70,,BOTHSEX,11.8
2005,Italy,30-70,,FEMALE,8.3
