Year,GeoAreaName,Type of renewable technology,Value
2015,Georgia,SOLAR,0
2015,Georgia,ALL,630.58
2015,Georgia,HYDROPOWER,630.58
2015,Georgia,WIND,0
2016,Georgia,WIND,5.303
2016,Georgia,HYDROPOWER,644.373
2016,Georgia,ALL,649.742
2016,Georgia,SOLAR,0.066
2017,Georgia,SOLAR,0.066
2017,Georgia,ALL,727.286
2017,Georgia,HYDROPOWER,721.917
2017,Georgia,WIND,5.302
2018,Georgia,WIND,5.302
2018,Georgia,HYDROPOWER,714.414
2018,Georgia,ALL,719.785
2018,Georgia,SOLAR,0.069
2019,Georgia,SOLAR,0.174
2019,Georgia,ALL,690.742
2019,Georgia,HYDROPOWER,684.999
2019,Georgia,WIND,5.569
2020,Georgia,WIND,5.576
2020,Georgia,HYDROPOWER,724.237
2020,Georgia,ALL,729.987
2020,Georgia,SOLAR,0.174
2021,Georgia,SOLAR,0.175
2021,Georgia,ALL,762.395
2021,Georgia,HYDROPOWER,756.633
2021,Georgia,WIND,5.588
2000,Kazakhstan,ALL,148.33
2000,Kazakhstan,SOLAR,0
2000,Kazakhstan,HYDROPOWER,148.33
2000,Kazakhstan,WIND,0
2000,Kazakhstan,BIOENERGY,0
2001,Kazakhstan,BIOENERGY,0
2001,Kazakhstan,WIND,0
2001,Kazakhstan,HYDROPOWER,147.893
2001,Kazakhstan,SOLAR,0
2001,Kazakhstan,ALL,147.893
2002,Kazakhstan,ALL,147.337
2002,Kazakhstan,SOLAR,0
2002,Kazakhstan,HYDROPOWER,147.337
2002,Kazakhstan,WIND,0
2002,Kazakhstan,BIOENERGY,0
2003,Kazakhstan,BIOENERGY,0
2003,Kazakhstan,WIND,0
2003,Kazakhstan,HYDROPOWER,146.594
2003,Kazakhstan,SOLAR,0
2003,Kazakhstan,ALL,146.594
2004,Kazakhstan,ALL,145.794
2004,Kazakhstan,SOLAR,0
2004,Kazakhstan,HYDROPOWER,145.794
2004,Kazakhstan,WIND,0
2004,Kazakhstan,BIOENERGY,0
2005,Kazakhstan,BIOENERGY,0
2005,Kazakhstan,WIND,0
2005,Kazakhstan,HYDROPOWER,143.649
2005,Kazakhstan,SOLAR,0.004
2005,Kazakhstan,ALL,143.653
2006,Kazakhstan,ALL,142.269
2006,Kazakhstan,SOLAR,0.005
2006,Kazakhstan,HYDROPOWER,142.264
2006,Kazakhstan,WIND,0
2006,Kazakhstan,BIOENERGY,0
2007,Kazakhstan,BIOENERGY,0
2007,Kazakhstan,WIND,0
2007,Kazakhstan,HYDROPOWER,140.634
2007,Kazakhstan,SOLAR,0.037
2007,Kazakhstan,ALL,140.671
2008,Kazakhstan,BIOENERGY,0
2008,Kazakhstan,ALL,139.745
2008,Kazakhstan,SOLAR,0.024
2008,Kazakhstan,HYDROPOWER,139.721
2008,Kazakhstan,WIND,0
2009,Kazakhstan,BIOENERGY,0
2009,Kazakhstan,WIND,0
2009,Kazakhstan,HYDROPOWER,138.09
2009,Kazakhstan,SOLAR,0.012
2009,Kazakhstan,ALL,138.102
2010,Kazakhstan,ALL,136.775
2010,Kazakhstan,SOLAR,0.076
2010,Kazakhstan,HYDROPOWER,136.698
2010,Kazakhstan,WIND,0
2010,Kazakhstan,BIOENERGY,0
2011,Kazakhstan,BIOENERGY,0
2011,Kazakhstan,WIND,0
2011,Kazakhstan,HYDROPOWER,134.836
2011,Kazakhstan,SOLAR,0.059
2011,Kazakhstan,ALL,134.895
2012,Kazakhstan,ALL,150.731
2012,Kazakhstan,SOLAR,0.142
2012,Kazakhstan,HYDROPOWER,150.501
2012,Kazakhstan,WIND,0.088
2012,Kazakhstan,BIOENERGY,0
2013,Kazakhstan,BIOENERGY,0.017
2013,Kazakhstan,WIND,0.231
2013,Kazakhstan,SOLAR,0.909
2013,Kazakhstan,HYDROPOWER,149.201
2013,Kazakhstan,ALL,150.358
2014,Kazakhstan,ALL,159.437
2014,Kazakhstan,HYDROPOWER,152.078
2014,Kazakhstan,SOLAR,4.337
2014,Kazakhstan,WIND,3.002
2014,Kazakhstan,BIOENERGY,0.02
2015,Kazakhstan,BIOENERGY,0.02
2015,Kazakhstan,WIND,4.023
2015,Kazakhstan,SOLAR,8.05
2015,Kazakhstan,HYDROPOWER,150.121
2015,Kazakhstan,ALL,162.214
2016,Kazakhstan,ALL,163.236
2016,Kazakhstan,HYDROPOWER,149.104
2016,Kazakhstan,SOLAR,8.684
2016,Kazakhstan,WIND,5.43
2016,Kazakhstan,BIOENERGY,0.019
2017,Kazakhstan,BIOENERGY,0.044
2017,Kazakhstan,WIND,6.137
2017,Kazakhstan,SOLAR,9.58
2017,Kazakhstan,HYDROPOWER,148.867
2017,Kazakhstan,ALL,164.628
2018,Kazakhstan,ALL,181.72
2018,Kazakhstan,HYDROPOWER,148.663
2018,Kazakhstan,SOLAR,26.435
2018,Kazakhstan,WIND,6.551
2018,Kazakhstan,BIOENERGY,0.07
2019,Kazakhstan,ALL,224.685
2019,Kazakhstan,BIOENERGY,0.129
2019,Kazakhstan,WIND,15.133
2019,Kazakhstan,SOLAR,61.303
2019,Kazakhstan,HYDROPOWER,148.12
2020,Kazakhstan,ALL,263.311
2020,Kazakhstan,HYDROPOWER,146.725
2020,Kazakhstan,SOLAR,90.552
2020,Kazakhstan,WIND,25.623
2020,Kazakhstan,BIOENERGY,0.412
2021,Kazakhstan,BIOENERGY,0.815
2021,Kazakhstan,WIND,60.962
2021,Kazakhstan,SOLAR,147.656
2021,Kazakhstan,HYDROPOWER,159.701
2021,Kazakhstan,ALL,369.133
2000,Kyrgyzstan,ALL,596.412
2000,Kyrgyzstan,HYDROPOWER,596.412
2001,Kyrgyzstan,HYDROPOWER,590.873
2001,Kyrgyzstan,ALL,590.873
2002,Kyrgyzstan,ALL,585.56
2002,Kyrgyzstan,HYDROPOWER,585.56
2003,Kyrgyzstan,HYDROPOWER,579.606
2003,Kyrgyzstan,ALL,579.606
2004,Kyrgyzstan,ALL,572.976
2004,Kyrgyzstan,HYDROPOWER,572.976
2005,Kyrgyzstan,HYDROPOWER,566.789
2005,Kyrgyzstan,ALL,566.789
2006,Kyrgyzstan,ALL,560.991
2006,Kyrgyzstan,HYDROPOWER,560.991
2007,Kyrgyzstan,HYDROPOWER,556.059
2007,Kyrgyzstan,ALL,556.059
2008,Kyrgyzstan,ALL,550.79
2008,Kyrgyzstan,HYDROPOWER,550.79
2009,Kyrgyzstan,HYDROPOWER,543.804
2009,Kyrgyzstan,ALL,543.804
2010,Kyrgyzstan,ALL,558.776
2010,Kyrgyzstan,HYDROPOWER,558.776
2011,Kyrgyzstan,HYDROPOWER,553.191
2011,Kyrgyzstan,ALL,553.191
2012,Kyrgyzstan,ALL,545.371
2012,Kyrgyzstan,HYDROPOWER,545.371
2013,Kyrgyzstan,HYDROPOWER,624.436
2013,Kyrgyzstan,ALL,624.436
2014,Kyrgyzstan,ALL,631.344
2014,Kyrgyzstan,HYDROPOWER,631.344
2015,Kyrgyzstan,HYDROPOWER,621.557
2015,Kyrgyzstan,ALL,621.557
2016,Kyrgyzstan,ALL,610.933
2016,Kyrgyzstan,HYDROPOWER,610.933
2017,Kyrgyzstan,HYDROPOWER,602.588
2017,Kyrgyzstan,ALL,602.588
2018,Kyrgyzstan,ALL,590.199
2018,Kyrgyzstan,HYDROPOWER,590.199
2019,Kyrgyzstan,HYDROPOWER,580.852
2019,Kyrgyzstan,ALL,580.852
2020,Kyrgyzstan,ALL,572.323
2020,Kyrgyzstan,HYDROPOWER,572.323
2021,Kyrgyzstan,HYDROPOWER,564.284
2021,Kyrgyzstan,ALL,564.284
2000,Tajikistan,HYDROPOWER,647.378
2000,Tajikistan,ALL,647.378
2001,Tajikistan,ALL,633.659
2001,Tajikistan,HYDROPOWER,633.659
2002,Tajikistan,HYDROPOWER,620.781
2002,Tajikistan,ALL,620.781
2003,Tajikistan,ALL,608.618
2003,Tajikistan,HYDROPOWER,608.618
2004,Tajikistan,HYDROPOWER,597.1
2004,Tajikistan,ALL,597.1
2005,Tajikistan,ALL,594.042
2005,Tajikistan,HYDROPOWER,594.042
2006,Tajikistan,HYDROPOWER,583.245
2006,Tajikistan,ALL,583.245
2007,Tajikistan,ALL,572.618
2007,Tajikistan,HYDROPOWER,572.618
2008,Tajikistan,HYDROPOWER,561.967
2008,Tajikistan,ALL,561.967
2009,Tajikistan,ALL,643.037
2009,Tajikistan,HYDROPOWER,643.037
2010,Tajikistan,HYDROPOWER,630.048
2010,Tajikistan,ALL,630.048
2011,Tajikistan,ALL,617.803
2011,Tajikistan,HYDROPOWER,617.803
2012,Tajikistan,HYDROPOWER,604.723
2012,Tajikistan,ALL,604.723
2013,Tajikistan,ALL,591.702
2013,Tajikistan,HYDROPOWER,591.702
2014,Tajikistan,HYDROPOWER,604.665
2014,Tajikistan,ALL,604.665
2015,Tajikistan,ALL,590.453
2015,Tajikistan,HYDROPOWER,590.453
2016,Tajikistan,HYDROPOWER,577.487
2016,Tajikistan,ALL,577.487
2017,Tajikistan,ALL,564.534
2017,Tajikistan,HYDROPOWER,564.534
