Year,GeoAreaName,Age,Freq,Location,Sex,Value
2017,Hungary,15+,,,FEMALE,<100
2017,Hungary,15+,,,MALE,<100
2018,Armenia,ALLAGE,,,BOTHSEX,<100
2018,Armenia,15+,,,FEMALE,<100
2019,Armenia,15+,,,MALE,<100
2019,Armenia,ALLAGE,,,BOTHSEX,<100
2019,Armenia,15+,,,FEMALE,<100
2020,Armenia,15+,,,MALE,<100
2020,Armenia,ALLAGE,,,BOTHSEX,<100
2020,Armenia,15+,,,FEMALE,<100
2018,Hungary,15+,,,MALE,<100
2018,Hungary,ALLAGE,,,BOTHSEX,<100
2018,Hungary,15+,,,FEMALE,<100
2019,Hungary,ALLAGE,,,BOTHSEX,132.8
2019,Hungary,15+,,,FEMALE,<100
2019,Hungary,15+,,,MALE,<100
2020,Hungary,15+,,,FEMALE,113
2020,Hungary,15+,,,MALE,<100
2020,Hungary,ALLAGE,,,BOTHSEX,200.8
2015,Iceland,15+,,,FEMALE,<100
2015,Iceland,15+,,,MALE,<100
2015,Iceland,ALLAGE,,,BOTHSEX,<100
2016,Iceland,15+,,,FEMALE,<100
2016,Iceland,ALLAGE,,,BOTHSEX,<100
2016,Iceland,15+,,,MALE,<100
2017,Iceland,15+,,,MALE,<100
2017,Iceland,15+,,,FEMALE,<100
2017,Iceland,ALLAGE,,,BOTHSEX,<100
2015,Belgium,15+,,,FEMALE,NaN
2015,Belgium,ALLAGE,,,BOTHSEX,NaN
2015,Belgium,15+,,,MALE,NaN
2016,Belgium,ALLAGE,,,BOTHSEX,NaN
2016,Belgium,15+,,,FEMALE,NaN
2016,Belgium,15+,,,MALE,NaN
2017,Belgium,ALLAGE,,,BOTHSEX,NaN
2017,Belgium,15+,,,MALE,NaN
2017,Belgium,15+,,,FEMALE,NaN
2018,Belgium,15+,,,MALE,NaN
2018,Belgium,ALLAGE,,,BOTHSEX,NaN
2018,Iceland,15+,,,MALE,<100
2018,Iceland,15+,,,FEMALE,<100
2018,Iceland,ALLAGE,,,BOTHSEX,<100
2019,Iceland,ALLAGE,,,BOTHSEX,<100
2019,Iceland,15+,,,FEMALE,<100
2019,Iceland,15+,,,MALE,<100
2020,Iceland,15+,,,MALE,<100
2020,Iceland,ALLAGE,,,BOTHSEX,<100
2020,Iceland,15+,,,FEMALE,<100
2015,Ireland,15+,,,MALE,<100
2015,Ireland,ALLAGE,,,BOTHSEX,160.6
2015,Ireland,15+,,,FEMALE,<100
2016,Ireland,15+,,,MALE,<100
2016,Ireland,ALLAGE,,,BOTHSEX,130.4
2016,Ireland,15+,,,FEMALE,<100
2017,Ireland,15+,,,MALE,<100
2017,Ireland,ALLAGE,,,BOTHSEX,137.1
2017,Ireland,15+,,,FEMALE,<100
2018,Ireland,ALLAGE,,,BOTHSEX,169.6
2018,Ireland,15+,,,MALE,<100
2018,Ireland,15+,,,FEMALE,<100
2019,Ireland,15+,,,FEMALE,<100
2019,Ireland,15+,,,MALE,<100
2019,Ireland,ALLAGE,,,BOTHSEX,208.4
2020,Ireland,15+,,,MALE,<100
2020,Ireland,15+,,,FEMALE,<100
2020,Ireland,ALLAGE,,,BOTHSEX,158.2
2018,Belgium,15+,,,FEMALE,NaN
2019,Belgium,ALLAGE,,,BOTHSEX,130.9
2019,Belgium,15+,,,FEMALE,<100
2019,Belgium,15+,,,MALE,<100
