Year,GeoAreaName,Age,Freq,Sex,Value
2019,Belgium,15+,,FEMALE,148.7
2020,Belgium,15+,,MALE,230.2
2020,Belgium,15+,,FEMALE,181.8
2020,Belgium,ALLAGE,,BOTHSEX,554.8
2015,Bosnia and Herzegovina,15+,,MALE,130.2
2015,Bosnia and Herzegovina,15+,,FEMALE,143.9
2020,North Macedonia,15+,,MALE,163.5
2020,North Macedonia,ALLAGE,,BOTHSEX,436.3
2015,Uzbekistan,15+,,FEMALE,1376.1
2015,Uzbekistan,ALLAGE,,BOTHSEX,3454.5
2015,Uzbekistan,15+,,MALE,1066.1
2016,Uzbekistan,15+,,FEMALE,1591
2016,Uzbekistan,ALLAGE,,BOTHSEX,4211.2
2016,Uzbekistan,15+,,MALE,1397.1
2017,Uzbekistan,15+,,MALE,1610.8
2015,Bosnia and Herzegovina,ALLAGE,,BOTHSEX,329.3
2016,Bosnia and Herzegovina,ALLAGE,,BOTHSEX,348
2016,Bosnia and Herzegovina,15+,,FEMALE,134.2
2016,Bosnia and Herzegovina,15+,,MALE,153.6
2017,Bosnia and Herzegovina,ALLAGE,,BOTHSEX,291.2
2017,Bosnia and Herzegovina,15+,,MALE,127.8
2017,Bosnia and Herzegovina,15+,,FEMALE,114.3
2018,Bosnia and Herzegovina,15+,,FEMALE,119.1
2018,Bosnia and Herzegovina,ALLAGE,,BOTHSEX,305.5
2018,Bosnia and Herzegovina,15+,,MALE,132.5
2019,Bosnia and Herzegovina,15+,,FEMALE,153.9
2019,Bosnia and Herzegovina,15+,,MALE,134.8
2019,Bosnia and Herzegovina,ALLAGE,,BOTHSEX,331.8
2020,Bosnia and Herzegovina,ALLAGE,,BOTHSEX,413.2
2020,Bosnia and Herzegovina,15+,,MALE,150.6
2020,Bosnia and Herzegovina,15+,,FEMALE,198.4
2017,Uzbekistan,ALLAGE,,BOTHSEX,4775.9
2017,Uzbekistan,15+,,FEMALE,1717.1
2018,Uzbekistan,15+,,FEMALE,1986.5
2018,Uzbekistan,15+,,MALE,1866.9
2018,Uzbekistan,ALLAGE,,BOTHSEX,5590.9
2019,Uzbekistan,ALLAGE,,BOTHSEX,6507.3
2019,Uzbekistan,15+,,MALE,2046.9
2019,Uzbekistan,15+,,FEMALE,2470.2
2015,Bulgaria,15+,,MALE,376.5
2015,Bulgaria,ALLAGE,,BOTHSEX,1072.6
2015,Bulgaria,15+,,FEMALE,473.7
2016,Bulgaria,15+,,MALE,348.2
2016,Bulgaria,ALLAGE,,BOTHSEX,969.8
2016,Bulgaria,15+,,FEMALE,427.5
2017,Bulgaria,15+,,FEMALE,405.5
2017,Bulgaria,15+,,MALE,297.7
2017,Bulgaria,ALLAGE,,BOTHSEX,855.2
2018,Bulgaria,15+,,MALE,295.7
2018,Bulgaria,ALLAGE,,BOTHSEX,881
2018,Bulgaria,15+,,FEMALE,426.4
2019,Bulgaria,ALLAGE,,BOTHSEX,920.9
2019,Bulgaria,15+,,FEMALE,421.3
2019,Bulgaria,15+,,MALE,351.2
2020,Bulgaria,15+,,FEMALE,505.3
2020,Bulgaria,15+,,MALE,383.7
2020,Bulgaria,ALLAGE,,BOTHSEX,1077.4
2015,Latvia,ALLAGE,,BOTHSEX,197.5
2015,Latvia,15+,,FEMALE,101.4
2015,Latvia,15+,,MALE,<100
2016,Latvia,ALLAGE,,BOTHSEX,187.4
2016,Latvia,15+,,FEMALE,<100
2016,Latvia,15+,,MALE,<100
2017,Latvia,15+,,MALE,<100
2017,Latvia,ALLAGE,,BOTHSEX,183
2017,Latvia,15+,,FEMALE,<100
2015,Belarus,15+,,FEMALE,NaN
2015,Belarus,15+,,MALE,NaN
2015,Belarus,ALLAGE,,BOTHSEX,NaN
2016,Belarus,15+,,FEMALE,NaN
2016,Belarus,ALLAGE,,BOTHSEX,NaN
2016,Belarus,15+,,MALE,NaN
2017,Belarus,15+,,FEMALE,NaN
2017,Belarus,15+,,MALE,NaN
2017,Belarus,ALLAGE,,BOTHSEX,NaN
2018,Belarus,15+,,FEMALE,NaN
2018,Latvia,ALLAGE,,BOTHSEX,182.7
2018,Latvia,15+,,MALE,<100
2018,Latvia,15+,,FEMALE,<100
2019,Latvia,15+,,FEMALE,<100
2019,Latvia,ALLAGE,,BOTHSEX,194.4
2019,Latvia,15+,,MALE,<100
2020,Latvia,ALLAGE,,BOTHSEX,177.1
2020,Latvia,15+,,FEMALE,<100
2020,Latvia,15+,,MALE,<100
2018,Belarus,ALLAGE,,BOTHSEX,NaN
2018,Belarus,15+,,MALE,NaN
2019,Belarus,15+,,MALE,NaN
2019,Belarus,15+,,FEMALE,NaN
2019,Belarus,ALLAGE,,BOTHSEX,NaN
2020,Belarus,ALLAGE,,BOTHSEX,NaN
2020,Belarus,15+,,FEMALE,NaN
2020,Belarus,15+,,MALE,NaN
2015,Croatia,15+,,FEMALE,135.7
2015,Croatia,ALLAGE,,BOTHSEX,273.8
2015,Croatia,15+,,MALE,115
2016,Croatia,15+,,FEMALE,158.3
2016,Croatia,ALLAGE,,BOTHSEX,291.1
2016,Croatia,15+,,MALE,110
2017,Croatia,ALLAGE,,BOTHSEX,325.3
2017,Croatia,15+,,FEMALE,172.2
2017,Croatia,15+,,MALE,124.5
2018,Croatia,15+,,FEMALE,204.2
2018,Croatia,15+,,MALE,155.4
2018,Croatia,ALLAGE,,BOTHSEX,416.1
2019,Croatia,15+,,MALE,149.8
2019,Croatia,15+,,FEMALE,230.1
2019,Croatia,ALLAGE,,BOTHSEX,456
2020,Croatia,ALLAGE,,BOTHSEX,467.9
2020,Croatia,15+,,FEMALE,246
2020,Croatia,15+,,MALE,144.1
2015,Cyprus,15+,,FEMALE,NaN
2015,Cyprus,ALLAGE,,BOTHSEX,NaN
2015,Cyprus,15+,,MALE,NaN
2016,Cyprus,ALLAGE,,BOTHSEX,NaN
2016,Cyprus,15+,,MALE,NaN
2016,Cyprus,15+,,FEMALE,NaN
2017,Cyprus,15+,,FEMALE,NaN
2017,Cyprus,15+,,MALE,NaN
2017,Cyprus,ALLAGE,,BOTHSEX,NaN
2018,Cyprus,15+,,MALE,NaN
2018,Cyprus,15+,,FEMALE,NaN
2015,Liechtenstein,15+,,MALE,NaN
2015,Liechtenstein,ALLAGE,,BOTHSEX,NaN
2015,Liechtenstein,15+,,FEMALE,NaN
2016,Liechtenstein,15+,,MALE,NaN
2016,Liechtenstein,ALLAGE,,BOTHSEX,NaN
2016,Liechtenstein,15+,,FEMALE,NaN
2017,Liechtenstein,ALLAGE,,BOTHSEX,NaN
2017,Liechtenstein,15+,,MALE,NaN
2017,Liechtenstein,15+,,FEMALE,NaN
2018,Liechtenstein,15+,,MALE,NaN
2018,Liechtenstein,15+,,FEMALE,NaN
2018,Cyprus,ALLAGE,,BOTHSEX,NaN
2019,Cyprus,15+,,MALE,NaN
2019,Cyprus,ALLAGE,,BOTHSEX,NaN
2019,Cyprus,15+,,FEMALE,NaN
2020,Cyprus,ALLAGE,,BOTHSEX,NaN
2020,Cyprus,15+,,MALE,NaN
2020,Cyprus,15+,,FEMALE,NaN
2015,Czechia,ALLAGE,,BOTHSEX,616.9
2015,Czechia,15+,,FEMALE,274.6
2015,Czechia,15+,,MALE,215.4
2016,Czechia,15+,,MALE,180.2
2016,Czechia,ALLAGE,,BOTHSEX,540.7
2016,Czechia,15+,,FEMALE,242.5
2017,Czechia,ALLAGE,,BOTHSEX,411.3
2017,Czechia,15+,,MALE,112.4
2017,Czechia,15+,,FEMALE,205.8
2018,Czechia,ALLAGE,,BOTHSEX,404.1
2018,Czechia,15+,,FEMALE,227.7
2018,Czechia,15+,,MALE,103.2
2019,Czechia,15+,,MALE,149.4
2019,Czechia,ALLAGE,,BOTHSEX,445.2
2019,Czechia,15+,,FEMALE,224
2020,Czechia,15+,,FEMALE,265.1
2020,Czechia,15+,,MALE,218.9
2020,Czechia,ALLAGE,,BOTHSEX,616.9
2015,Denmark,ALLAGE,,BOTHSEX,333.9
2015,Denmark,15+,,FEMALE,143.6
2015,Denmark,15+,,MALE,109.5
2016,Denmark,15+,,FEMALE,151.6
2016,Denmark,ALLAGE,,BOTHSEX,333
2016,Denmark,15+,,MALE,109.3
2017,Denmark,15+,,FEMALE,160.2
2017,Denmark,ALLAGE,,BOTHSEX,312
2017,Denmark,15+,,MALE,<100
2018,Denmark,15+,,FEMALE,145.4
2018,Denmark,ALLAGE,,BOTHSEX,299.9
2018,Denmark,15+,,MALE,104.1
2019,Denmark,15+,,MALE,111.2
2019,Denmark,ALLAGE,,BOTHSEX,290.6
2019,Denmark,15+,,FEMALE,140
2020,Denmark,15+,,MALE,118.4
2020,Denmark,ALLAGE,,BOTHSEX,317.6
2020,Denmark,15+,,FEMALE,151.6
2015,Estonia,15+,,MALE,<100
2015,Estonia,15+,,FEMALE,<100
2015,Estonia,ALLAGE,,BOTHSEX,124.5
2016,Estonia,15+,,MALE,<100
2016,Estonia,15+,,FEMALE,<100
2016,Estonia,ALLAGE,,BOTHSEX,109.1
2017,Estonia,15+,,FEMALE,<100
2017,Estonia,ALLAGE,,BOTHSEX,108.7
2017,Estonia,15+,,MALE,<100
2018,Estonia,15+,,FEMALE,<100
2018,Estonia,15+,,MALE,<100
2018,Liechtenstein,ALLAGE,,BOTHSEX,NaN
2019,Liechtenstein,ALLAGE,,BOTHSEX,NaN
2019,Liechtenstein,15+,,MALE,NaN
2019,Liechtenstein,15+,,FEMALE,NaN
2020,Liechtenstein,ALLAGE,,BOTHSEX,NaN
2020,Liechtenstein,15+,,MALE,NaN
2020,Liechtenstein,15+,,FEMALE,NaN
2015,Lithuania,ALLAGE,,BOTHSEX,449.4
2015,Lithuania,15+,,FEMALE,210.7
2015,Lithuania,15+,,MALE,158.4
2018,Estonia,ALLAGE,,BOTHSEX,<100
2019,Estonia,15+,,FEMALE,<100
2019,Estonia,15+,,MALE,<100
2019,Estonia,ALLAGE,,BOTHSEX,104.8
2020,Estonia,15+,,MALE,<100
2020,Estonia,15+,,FEMALE,<100
