Year,GeoAreaName,Age,Parliamentary committees,Sex,Value
2022,Uzbekistan,46+,DEFENCE,MALE,1
2022,Uzbekistan,46+,HUM_RIGH,MALE,1
2022,Uzbekistan,46+,GEN_EQU,FEMALE,1
2023,Uzbekistan,46+,HUM_RIGH,MALE,1
2021,Bulgaria,46+,DEFENCE,MALE,1
2021,Bulgaria,<=45Y,FOR_AFF,FEMALE,1
2022,Bulgaria,_X,GEN_EQU,_X,0
2022,Bulgaria,46+,FINANCE,MALE,1
2022,Bulgaria,46+,DEFENCE,MALE,1
2022,Bulgaria,46+,HUM_RIGH,MALE,1
2022,Bulgaria,<=45Y,FOR_AFF,FEMALE,1
2022,Bulgaria,<=45Y,HUM_RIGH,MALE,1
2023,Netherlands,_X,GEN_EQU,_X,0
2023,Netherlands,46+,FOR_AFF,FEMALE,1
2023,Netherlands,46+,FINANCE,MALE,1
2023,Netherlands,46+,DEFENCE,FEMALE,1
2021,Norway,46+,FAFF_DEF,FEMALE,1
2021,Norway,_X,GEN_EQU,_X,0
2021,Norway,<=45Y,FINANCE,MALE,1
2021,Norway,_U,HUM_RIGH,_U,1
2022,Norway,<=45Y,FINANCE,MALE,1
2022,Norway,46+,HUM_RIGH,MALE,1
2022,Norway,<=45Y,FAFF_DEF,FEMALE,1
2022,Norway,<=45Y,GEN_EQU,MALE,1
2023,Norway,46+,HUM_RIGH,MALE,1
2023,Norway,<=45Y,GEN_EQU,MALE,1
2023,Norway,46+,FAFF_DEF,FEMALE,1
2023,Norway,<=45Y,FINANCE,MALE,1
2023,Bulgaria,46+,FOR_AFF,FEMALE,1
2023,Bulgaria,<=45Y,DEFENCE,MALE,1
2023,Bulgaria,<=45Y,HUM_RIGH,MALE,1
2023,Bulgaria,46+,FINANCE,MALE,1
2023,Bulgaria,_X,GEN_EQU,_X,0
2021,Belarus,46+,FOR_AFF,MALE,1
2021,Belarus,_X,GEN_EQU,_X,0
2021,Belarus,46+,FINANCE,FEMALE,1
2021,Poland,46+,HUM_RIGH,MALE,1
2021,Poland,46+,DEFENCE,MALE,1
2021,Poland,46+,FOR_AFF,MALE,1
2021,Poland,46+,FINANCE,MALE,1
2021,Poland,<=45Y,GEN_EQU,FEMALE,1
2022,Poland,<=45Y,GEN_EQU,FEMALE,1
2022,Poland,46+,HUM_RIGH,MALE,1
2022,Poland,46+,DEFENCE,MALE,1
2022,Poland,46+,FINANCE,MALE,1
2022,Poland,46+,FOR_AFF,MALE,1
2023,Poland,46+,HUM_RIGH,MALE,1
2023,Poland,46+,GEN_EQU,FEMALE,1
2023,Poland,46+,FOR_AFF,MALE,1
2023,Poland,46+,FINANCE,MALE,1
2023,Poland,46+,DEFENCE,MALE,1
2021,Portugal,46+,GEN_EQU,FEMALE,1
2021,Portugal,46+,HUM_RIGH,MALE,1
2021,Portugal,46+,FINANCE,MALE,1
2021,Portugal,46+,FOR_AFF,MALE,1
2021,Portugal,46+,DEFENCE,MALE,1
2022,Portugal,46+,FINANCE,MALE,1
2022,Portugal,46+,FOR_AFF,MALE,1
2022,Portugal,46+,DEFENCE,MALE,1
2022,Portugal,46+,HUM_RIGH,MALE,1
2021,Belarus,46+,DEFENCE,MALE,1
2021,Belarus,46+,HUM_RIGH,MALE,1
2022,Belarus,46+,FINANCE,FEMALE,1
2022,Belarus,46+,DEFENCE,MALE,1
2022,Belarus,46+,FOR_AFF,MALE,1
2022,Belarus,_X,GEN_EQU,_X,0
2022,Belarus,46+,HUM_RIGH,MALE,1
2023,Belarus,_X,GEN_EQU,_X,0
2022,Portugal,46+,GEN_EQU,FEMALE,1
2023,Portugal,46+,FOR_AFF,MALE,1
2023,Portugal,46+,GEN_EQU,FEMALE,1
2023,Portugal,46+,FINANCE,MALE,1
2023,Portugal,46+,DEFENCE,MALE,1
2023,Portugal,46+,HUM_RIGH,MALE,1
2021,Romania,46+,HUM_RIGH,MALE,1
2021,Romania,46+,GEN_EQU,FEMALE,1
2021,Romania,46+,FOR_AFF,FEMALE,1
2021,Romania,46+,DEFENCE,MALE,1
2021,Romania,46+,FINANCE,MALE,1
2022,Romania,<=45Y,GEN_EQU,MALE,1
2022,Romania,46+,HUM_RIGH,MALE,1
2022,Romania,46+,DEFENCE,MALE,1
2022,Romania,46+,FOR_AFF,FEMALE,1
2022,Romania,46+,FINANCE,MALE,1
2023,Belarus,46+,HUM_RIGH,MALE,1
2023,Belarus,46+,FOR_AFF,MALE,1
2023,Belarus,46+,FINANCE,FEMALE,1
2023,Belarus,46+,DEFENCE,MALE,1
2021,Croatia,<=45Y,GEN_EQU,FEMALE,1
2021,Croatia,46+,HUM_RIGH,MALE,1
2021,Croatia,46+,FOR_AFF,MALE,1
2021,Croatia,46+,DEFENCE,MALE,1
2023,Romania,46+,DEFENCE,MALE,1
2023,Romania,46+,HUM_RIGH,MALE,1
2023,Romania,<=45Y,GEN_EQU,MALE,1
2023,Romania,46+,FOR_AFF,FEMALE,1
2023,Romania,46+,FINANCE,MALE,1
2021,Serbia,46+,FINANCE,FEMALE,1
2021,Serbia,46+,DEFENCE,FEMALE,1
2021,Serbia,46+,HUM_RIGH,FEMALE,1
2021,Croatia,46+,FINANCE,FEMALE,1
2022,Croatia,46+,DEFENCE,MALE,1
2022,Croatia,<=45Y,GEN_EQU,FEMALE,1
2022,Croatia,46+,FOR_AFF,MALE,1
2022,Croatia,46+,FINANCE,FEMALE,1
2022,Croatia,46+,HUM_RIGH,MALE,1
2023,Croatia,46+,FINANCE,FEMALE,1
2023,Croatia,46+,DEFENCE,MALE,1
2021,Serbia,46+,FOR_AFF,MALE,1
2021,Serbia,46+,GEN_EQU,FEMALE,1
2022,Serbia,46+,FOR_AFF,MALE,1
2022,Serbia,46+,DEFENCE,FEMALE,1
2022,Serbia,46+,HUM_RIGH,FEMALE,1
2022,Serbia,46+,GEN_EQU,FEMALE,1
2022,Serbia,46+,FINANCE,FEMALE,1
2023,Serbia,<=45Y,HUM_RIGH,MALE,1
2023,Croatia,46+,FOR_AFF,MALE,1
2023,Croatia,46+,HUM_RIGH,MALE,1
2023,Croatia,<=45Y,GEN_EQU,FEMALE,1
2021,Cyprus,46+,FOR_AFF,MALE,1
2021,Cyprus,46+,DEFENCE,MALE,1
2021,Cyprus,46+,FINANCE,MALE,1
2021,Cyprus,<=45Y,GEN_EQU,FEMALE,1
2021,Cyprus,<=45Y,HUM_RIGH,FEMALE,1
2023,Serbia,<=45Y,GEN_EQU,MALE,1
2023,Serbia,46+,FOR_AFF,MALE,1
2023,Serbia,46+,FINANCE,MALE,1
2023,Serbia,46+,DEFENCE,MALE,1
2021,Slovakia,46+,FOR_AFF,MALE,1
2021,Slovakia,_X,GEN_EQU,_X,0
2021,Slovakia,<=45Y,FINANCE,FEMALE,1
2021,Slovakia,_U,HUM_RIGH,_U,1
2021,Slovakia,<=45Y,DEFENCE,MALE,1
2022,Slovakia,46+,FOR_AFF,MALE,1
2022,Slovakia,<=45Y,DEFENCE,MALE,1
2022,Slovakia,<=45Y,HUM_RIGH,MALE,1
2022,Slovakia,_X,GEN_EQU,_X,0
2022,Slovakia,<=45Y,FINANCE,FEMALE,1
2023,Slovakia,_X,GEN_EQU,_X,0
2023,Slovakia,<=45Y,HUM_RIGH,MALE,1
2023,Slovakia,<=45Y,FOR_AFF,MALE,1
2023,Slovakia,<=45Y,FINANCE,FEMALE,1
2023,Slovakia,46+,DEFENCE,MALE,1
2021,Slovenia,46+,DEFENCE,MALE,1
2021,Slovenia,46+,FINANCE,MALE,1
2021,Slovenia,46+,FOR_AFF,FEMALE,1
2021,Slovenia,46+,GEN_EQU,FEMALE,1
2021,Slovenia,46+,HUM_RIGH,FEMALE,1
2022,Slovenia,46+,DEFENCE,MALE,1
2022,Slovenia,46+,GEN_EQU,FEMALE,1
2022,Slovenia,46+,FOR_AFF,FEMALE,1
2022,Slovenia,46+,HUM_RIGH,FEMALE,1
2022,Slovenia,46+,FINANCE,MALE,1
2023,Slovenia,46+,HUM_RIGH,FEMALE,1
2023,Slovenia,46+,GEN_EQU,FEMALE,1
2023,Slovenia,46+,FOR_AFF,MALE,1
2022,Cyprus,46+,FINANCE,FEMALE,1
2022,Cyprus,46+,HR_GEQU,FEMALE,1
2022,Cyprus,46+,DEFENCE,MALE,1
2022,Cyprus,46+,FOR_AFF,MALE,1
2023,Cyprus,46+,HUM_RIGH,FEMALE,1
2023,Cyprus,46+,GEN_EQU,FEMALE,1
2023,Cyprus,46+,FOR_AFF,MALE,1
2023,Cyprus,46+,FINANCE,FEMALE,1
2023,Slovenia,46+,FINANCE,FEMALE,1
2023,Slovenia,46+,DEFENCE,MALE,1
2021,Spain,46+,GEN_EQU,FEMALE,1
2021,Spain,46+,FINANCE,FEMALE,1
2021,Spain,46+,DEFENCE,MALE,1
2021,Spain,<=45Y,GEN_EQU,FEMALE,1
2021,Spain,_U,HUM_RIGH,_U,1
2021,Spain,46+,FOR_AFF,MALE,1
2021,Spain,<=45Y,GEN_EQU,MALE,1
2021,Spain,46+,HUM_RIGH,MALE,2
2021,Spain,<=45Y,HUM_RIGH,FEMALE,1
2022,Spain,46+,FINANCE,FEMALE,1
2022,Spain,46+,FOR_AFF,MALE,1
2022,Spain,<=45Y,GEN_EQU,MALE,1
2022,Spain,<=45Y,HUM_RIGH,FEMALE,1
2022,Spain,46+,HUM_RIGH,MALE,2
2023,Cyprus,46+,DEFENCE,MALE,1
2021,Czechia,46+,DEFENCE,FEMALE,1
2021,Czechia,<=45Y,FOR_AFF,MALE,1
2021,Czechia,46+,HUM_RIGH,FEMALE,1
2021,Czechia,46+,GEN_EQU,FEMALE,1
2021,Czechia,46+,FINANCE,FEMALE,1
2022,Czechia,46+,DEFENCE,MALE,1
2022,Czechia,<=45Y,GEN_EQU,FEMALE,1
2022,Spain,46+,GEN_EQU,FEMALE,2
2022,Spain,_U,HUM_RIGH,_U,1
2022,Spain,46+,DEFENCE,MALE,1
2023,Spain,46+,FOR_AFF,MALE,1
