Year,GeoAreaName,Disability status,Sex,Value
2005,Sweden,_T,FEMALE,7.4
2005,Sweden,PD,MALE,16.81
2005,Sweden,PWD,FEMALE,7.3
2008,Estonia,_T,FEMALE,2.62
2008,Estonia,PD,MALE,23.87
2008,Estonia,PWD,MALE,7.42
2008,Estonia,_T,MALE,7.63
2008,Estonia,PWD,BOTHSEX,5.05
2008,Estonia,PD,BOTHSEX,14.56
2009,Estonia,PWD,FEMALE,7.46
2009,Estonia,PD,BOTHSEX,14.31
2009,Estonia,_T,FEMALE,7.48
2005,Sweden,_T,BOTHSEX,6.77
2005,Sweden,_T,MALE,6.19
2005,Sweden,PD,FEMALE,10.36
2005,Sweden,PWD,BOTHSEX,6.6
2005,Sweden,PWD,MALE,5.97
2005,Sweden,PD,BOTHSEX,13.09
2006,Sweden,PD,MALE,9.97
2006,Sweden,PWD,MALE,4.69
2006,Sweden,PD,BOTHSEX,10.54
2006,Sweden,PWD,BOTHSEX,5.03
2006,Sweden,_T,MALE,4.82
2006,Sweden,_T,BOTHSEX,5.18
2006,Sweden,PD,FEMALE,11
2006,Sweden,_T,FEMALE,5.56
2006,Sweden,PWD,FEMALE,5.39
2007,Sweden,PWD,BOTHSEX,4.22
2007,Sweden,_T,BOTHSEX,4.4
2007,Sweden,_T,MALE,3.94
2009,Estonia,PWD,MALE,16.94
2009,Estonia,_T,MALE,16.97
2009,Estonia,_T,BOTHSEX,12.27
2009,Estonia,PWD,BOTHSEX,12.23
2009,Estonia,PD,MALE,18.39
2010,Estonia,PD,FEMALE,24.37
2010,Estonia,_T,FEMALE,13.35
2010,Estonia,PD,MALE,26.45
2010,Estonia,_T,MALE,21.15
2012,Albania,_T,MALE,22.24
2012,Albania,PD,MALE,20.51
2012,Albania,_T,BOTHSEX,22.03
2012,Albania,PWD,BOTHSEX,22.06
2012,Albania,PWD,MALE,22.27
2012,Albania,PWD,FEMALE,21.65
2004,Austria,_T,FEMALE,6.86
2004,Austria,_T,BOTHSEX,6.88
2004,Austria,_T,MALE,6.9
2004,Austria,PWD,MALE,6.1
2005,Luxembourg,PWD,FEMALE,3.98
2005,Luxembourg,_T,MALE,4.23
2005,Luxembourg,_T,BOTHSEX,4.23
2005,Luxembourg,PWD,BOTHSEX,4.03
2005,Luxembourg,PD,MALE,11.25
2005,Luxembourg,PD,BOTHSEX,11.56
2005,Luxembourg,_T,FEMALE,4.24
2006,Luxembourg,PWD,BOTHSEX,4.3
2006,Luxembourg,PWD,MALE,3.88
2007,Sweden,PD,FEMALE,9.7
2007,Sweden,_T,FEMALE,4.9
2007,Sweden,PD,MALE,11.88
2007,Sweden,PD,BOTHSEX,10.66
2007,Sweden,PWD,MALE,3.74
2007,Sweden,PWD,FEMALE,4.74
2008,Sweden,PWD,FEMALE,5.68
2008,Sweden,PWD,MALE,6.13
2008,Sweden,_T,BOTHSEX,6.32
2010,Estonia,_T,BOTHSEX,17.24
2010,Estonia,PD,BOTHSEX,25.52
2010,Estonia,PWD,BOTHSEX,17.1
2010,Estonia,PWD,MALE,21.05
2010,Estonia,PWD,FEMALE,13.18
2011,Estonia,PD,BOTHSEX,18.98
2011,Estonia,_T,BOTHSEX,12.3
2011,Estonia,PWD,FEMALE,9.61
2011,Estonia,PWD,BOTHSEX,12.18
2011,Estonia,_T,FEMALE,9.82
2011,Estonia,PD,FEMALE,20.84
2011,Estonia,_T,MALE,14.83
2011,Estonia,PD,MALE,16.94
