Year,GeoAreaName,Migratory status,Sex,Value
2006,Poland,_T,BOTHSEX,4.6
2007,Poland,_T,BOTHSEX,4.3
2008,Poland,_T,BOTHSEX,4.5
2009,Poland,NONMIG,MALE,7.23
2009,Poland,_T,MALE,7.62
2009,Poland,_T,BOTHSEX,4.65
2009,Poland,NONMIG,BOTHSEX,4.43
2009,Poland,_T,FEMALE,0.52
2009,Poland,NONMIG,FEMALE,0.52
2010,Poland,NONMIG,MALE,5.74
2010,Poland,_T,FEMALE,0.33
2010,Poland,_T,MALE,6.04
2012,Cyprus,_T,BOTHSEX,3.05
2012,Cyprus,NONMIG,FEMALE,0.0
2012,Cyprus,_T,MALE,4.99
2012,Cyprus,NONMIG,BOTHSEX,1.58
2012,Cyprus,NONMIG,MALE,3.06
2013,Cyprus,_T,MALE,4.73
2013,Cyprus,_T,FEMALE,1.14
2013,Cyprus,NONMIG,MALE,4.39
2010,Poland,_T,BOTHSEX,3.33
2010,Poland,NONMIG,BOTHSEX,3.17
2010,Poland,NONMIG,FEMALE,0.33
2011,Poland,_T,FEMALE,0.22
2011,Poland,NONMIG,FEMALE,0.22
2011,Poland,NONMIG,MALE,4.04
2011,Poland,NONMIG,BOTHSEX,2.33
2013,Cyprus,NONMIG,FEMALE,0.0
2013,Cyprus,_T,BOTHSEX,3.01
2013,Cyprus,NONMIG,BOTHSEX,2.43
2014,Cyprus,_T,BOTHSEX,2.08
2014,Cyprus,_T,MALE,4.42
2014,Cyprus,NONMIG,MALE,1.73
2014,Cyprus,NONMIG,FEMALE,0.0
2014,Cyprus,NONMIG,BOTHSEX,0.86
2014,Cyprus,_T,FEMALE,0.0
2015,Cyprus,_T,FEMALE,1.28
2015,Cyprus,_T,BOTHSEX,1.94
2015,Cyprus,NONMIG,BOTHSEX,0.8
2015,Cyprus,NONMIG,FEMALE,0.0
2015,Cyprus,_T,MALE,2.62
2015,Cyprus,NONMIG,MALE,1.56
2016,Cyprus,_T,BOTHSEX,1.4
2011,Poland,_T,MALE,4.36
2011,Poland,_T,BOTHSEX,2.5
2012,Poland,_T,MALE,3.91
2012,Poland,NONMIG,MALE,3.65
2012,Poland,NONMIG,FEMALE,0.32
2012,Poland,NONMIG,BOTHSEX,2.15
2012,Poland,_T,BOTHSEX,2.3
2017,Cyprus,_T,BOTHSEX,0.54
2018,Cyprus,_T,BOTHSEX,2.29
2019,Cyprus,_T,BOTHSEX,2.45
2020,Cyprus,NONMIG,MALE,3.94
2020,Cyprus,MIGPER,MALE,4.03
2020,Cyprus,_T,MALE,8.47
