Year,GeoAreaName,Education level,Sex,Type of skill,Value
2019,Lithuania,PRIMAR,BOTHSEX,SKILL_MATH,81.42223
2019,Lithuania,PRIMAR,MALE,SKILL_MATH,81.88493
2019,Lithuania,PRIMAR,FEMALE,SKILL_MATH,80.69737
2000,Luxembourg,LOWSEC,FEMALE,SKILL_MATH,61.27
2000,Luxembourg,LOWSEC,BOTHSEX,SKILL_MATH,63.29323
2009,Albania,LOWSEC,FEMALE,SKILL_READ,56.36
2009,Albania,LOWSEC,MALE,SKILL_MATH,30.93
2009,Albania,LOWSEC,BOTHSEX,SKILL_READ,43.33176
2009,Albania,LOWSEC,BOTHSEX,SKILL_MATH,32.26541
2009,Albania,LOWSEC,MALE,SKILL_READ,30.95
2012,Albania,LOWSEC,MALE,SKILL_MATH,38.99
2012,Albania,LOWSEC,FEMALE,SKILL_MATH,39.7
2000,Luxembourg,LOWSEC,MALE,SKILL_MATH,66.84
2000,Luxembourg,LOWSEC,MALE,SKILL_READ,59.88
2000,Luxembourg,LOWSEC,FEMALE,SKILL_READ,70.94
2000,Luxembourg,LOWSEC,BOTHSEX,SKILL_READ,65.0
2003,Luxembourg,LOWSEC,MALE,SKILL_MATH,80.0
2003,Luxembourg,LOWSEC,MALE,SKILL_READ,71.46
2003,Luxembourg,LOWSEC,BOTHSEX,SKILL_MATH,78.28699
2012,Albania,LOWSEC,MALE,SKILL_READ,44.8
2012,Albania,LOWSEC,BOTHSEX,SKILL_MATH,39.33503
2012,Albania,LOWSEC,BOTHSEX,SKILL_READ,47.66456
2012,Albania,LOWSEC,FEMALE,SKILL_READ,50.72
2015,Albania,LOWSEC,FEMALE,SKILL_MATH,48.80595
2015,Albania,LOWSEC,MALE,SKILL_MATH,44.61966
2015,Albania,LOWSEC,BOTHSEX,SKILL_READ,49.72273
2003,Luxembourg,LOWSEC,FEMALE,SKILL_MATH,76.63
2003,Luxembourg,LOWSEC,BOTHSEX,SKILL_READ,77.25525
2003,Luxembourg,LOWSEC,FEMALE,SKILL_READ,82.87
2006,Luxembourg,LOWSEC,MALE,SKILL_READ,71.8
2006,Luxembourg,LOWSEC,MALE,SKILL_MATH,78.88
2006,Luxembourg,LOWSEC,FEMALE,SKILL_READ,82.63
2006,Luxembourg,LOWSEC,BOTHSEX,SKILL_READ,77.14608
2015,Cyprus,PRIMAR,BOTHSEX,SKILL_MATH,73.75824
2015,Cyprus,LOWSEC,BOTHSEX,SKILL_READ,64.37147
2015,Cyprus,PRIMAR,FEMALE,SKILL_MATH,73.29376
2015,Cyprus,PRIMAR,MALE,SKILL_MATH,74.20765
2018,Cyprus,LOWSEC,BOTHSEX,SKILL_MATH,63.14465
2018,Cyprus,LOWSEC,MALE,SKILL_READ,45.73983
2018,Cyprus,LOWSEC,BOTHSEX,SKILL_READ,56.2921
2006,Luxembourg,LOWSEC,FEMALE,SKILL_MATH,75.49
2006,Luxembourg,PRIMAR,BOTHSEX,SKILL_READ,98.77215
2006,Luxembourg,PRIMAR,MALE,SKILL_READ,98.42614
2006,Luxembourg,PRIMAR,FEMALE,SKILL_READ,99.14536
2006,Luxembourg,LOWSEC,BOTHSEX,SKILL_MATH,77.20813
2009,Luxembourg,LOWSEC,FEMALE,SKILL_MATH,74.29
2009,Luxembourg,LOWSEC,BOTHSEX,SKILL_READ,73.9592
2015,Albania,LOWSEC,BOTHSEX,SKILL_MATH,46.71703
2018,Albania,LOWSEC,MALE,SKILL_MATH,55.90192
2018,Albania,LOWSEC,FEMALE,SKILL_READ,58.04195
2018,Albania,LOWSEC,FEMALE,SKILL_MATH,59.42498
2018,Albania,LOWSEC,BOTHSEX,SKILL_MATH,57.62715
2018,Albania,LOWSEC,BOTHSEX,SKILL_READ,47.76432
2018,Albania,LOWSEC,MALE,SKILL_READ,37.90172
2009,Luxembourg,LOWSEC,FEMALE,SKILL_READ,80.94
2009,Luxembourg,LOWSEC,MALE,SKILL_READ,67.16
