Year,GeoAreaName,Age,Location,Sex,Value
2020,Austria,15+,,FEMALE,25.0
2020,Austria,15+,,BOTHSEX,26.4
2020,Austria,15+,,MALE,27.7
2000,Armenia,15+,,FEMALE,2.2
2020,Finland,15+,,MALE,26.9
2020,Finland,15+,,FEMALE,16.3
2000,France,15+,,BOTHSEX,34.2
2000,France,15+,,MALE,38.5
2000,France,15+,,FEMALE,29.8
2005,France,15+,,BOTHSEX,34.1
2005,France,15+,,FEMALE,30.5
2005,France,15+,,MALE,37.7
2000,Armenia,15+,,BOTHSEX,32.0
2000,Armenia,15+,,MALE,61.7
2005,Armenia,15+,,MALE,58.5
2005,Armenia,15+,,FEMALE,2.0
2005,Armenia,15+,,BOTHSEX,30.3
2010,Armenia,15+,,MALE,55.4
2010,Armenia,15+,,FEMALE,1.8
2010,Armenia,15+,,BOTHSEX,28.6
2020,Switzerland,15+,,FEMALE,22.9
2020,Switzerland,15+,,BOTHSEX,25.5
2020,Switzerland,15+,,MALE,28.1
2000,Türkiye,15+,,MALE,51.2
2000,Türkiye,15+,,FEMALE,14.5
2000,Türkiye,15+,,BOTHSEX,32.9
2005,Türkiye,15+,,FEMALE,15.6
2005,Türkiye,15+,,BOTHSEX,32.2
2015,Armenia,15+,,BOTHSEX,26.9
2015,Armenia,15+,,MALE,52.0
2015,Armenia,15+,,FEMALE,1.7
2018,Armenia,15+,,MALE,50.5
2018,Armenia,15+,,FEMALE,1.6
2018,Armenia,15+,,BOTHSEX,25.8
2019,Armenia,15+,,MALE,50.0
2019,Armenia,15+,,BOTHSEX,25.8
2005,Türkiye,15+,,MALE,48.7
2010,Türkiye,15+,,MALE,46.6
2010,Türkiye,15+,,FEMALE,16.7
2010,Türkiye,15+,,BOTHSEX,31.7
2015,Türkiye,15+,,MALE,44.3
2015,Türkiye,15+,,FEMALE,17.9
2015,Türkiye,15+,,BOTHSEX,31.1
2018,Türkiye,15+,,BOTHSEX,30.9
2019,Armenia,15+,,FEMALE,1.5
2020,Armenia,15+,,MALE,49.4
2020,Armenia,15+,,FEMALE,1.5
2020,Armenia,15+,,BOTHSEX,25.5
2000,Belgium,15+,,BOTHSEX,33.4
2000,Belgium,15+,,MALE,39.0
2000,Belgium,15+,,FEMALE,27.7
2005,Belgium,15+,,MALE,35.1
2018,Türkiye,15+,,FEMALE,18.6
2018,Türkiye,15+,,MALE,43.0
2019,Türkiye,15+,,BOTHSEX,30.9
2019,Türkiye,15+,,FEMALE,18.9
2019,Türkiye,15+,,MALE,42.9
2020,Türkiye,15+,,MALE,42.1
2020,Türkiye,15+,,BOTHSEX,30.7
2020,Türkiye,15+,,FEMALE,19.2
2000,Turkmenistan,15+,,MALE,23.3
2000,Turkmenistan,15+,,FEMALE,0.7
2000,Turkmenistan,15+,,BOTHSEX,12.0
2005,Turkmenistan,15+,,BOTHSEX,9.9
