Year,GeoAreaName,Education level,Value
2018,Netherlands,UPPSEC,100.0
2018,Netherlands,SECOND,100.0
2018,Netherlands,PRIMAR,100.0
2018,Netherlands,LOWSEC,100.0
2019,Netherlands,LOWSEC,100.0
2019,Netherlands,PRIMAR,100.0
2019,Netherlands,SECOND,100.0
2019,Netherlands,UPPSEC,100.0
2000,Norway,LOWSEC,100.0
2019,Azerbaijan,PRIMAR,54.49426
2019,Azerbaijan,LOWSEC,58.52356
2019,Azerbaijan,SECOND,62.64283
2020,Azerbaijan,SECOND,68.28253
2020,Azerbaijan,LOWSEC,64.61875
2020,Azerbaijan,PRIMAR,60.36544
2020,Azerbaijan,UPPSEC,72.81466
2021,Azerbaijan,UPPSEC,76.31579
2021,Azerbaijan,PRIMAR,64.31957
2021,Azerbaijan,LOWSEC,68.80311
2021,Azerbaijan,SECOND,72.16937
2015,Austria,SECOND,99.84105
2018,Austria,SECOND,98.47268
2018,Armenia,SECOND,100.0
2018,Armenia,UPPSEC,100.0
2018,Armenia,PRIMAR,100.0
2018,Armenia,LOWSEC,100.0
2019,Armenia,SECOND,100.0
2019,Armenia,LOWSEC,100.0
2019,Armenia,PRIMAR,100.0
2019,Armenia,UPPSEC,100.0
2020,Armenia,UPPSEC,100.0
2020,Armenia,PRIMAR,100.0
2020,Armenia,LOWSEC,100.0
2020,Armenia,SECOND,100.0
2021,Armenia,SECOND,100.0
2021,Armenia,LOWSEC,100.0
2021,Armenia,PRIMAR,100.0
2021,Armenia,UPPSEC,100.0
2012,Belgium,LOWSEC,100.0
2012,Belgium,SECOND,100.0
2012,Belgium,UPPSEC,100.0
2012,Belgium,PRIMAR,100.0
2013,Belgium,PRIMAR,100.0
2013,Belgium,UPPSEC,100.0
2013,Belgium,SECOND,100.0
2013,Belgium,LOWSEC,100.0
2014,Belgium,LOWSEC,100.0
2014,Belgium,SECOND,100.0
2014,Belgium,UPPSEC,100.0
2014,Belgium,PRIMAR,100.0
2015,Belgium,PRIMAR,100.0
2015,Belgium,UPPSEC,100.0
2015,Belgium,SECOND,100.0
2015,Belgium,LOWSEC,100.0
2016,Belgium,LOWSEC,100.0
2016,Belgium,SECOND,100.0
2016,Belgium,UPPSEC,100.0
2016,Belgium,PRIMAR,100.0
2017,Belgium,PRIMAR,100.0
2017,Belgium,UPPSEC,100.0
2017,Belgium,SECOND,100.0
2017,Belgium,LOWSEC,100.0
2018,Belgium,LOWSEC,100.0
2018,Belgium,SECOND,100.0
2018,Belgium,PRIMAR,100.0
2018,Belgium,UPPSEC,100.0
2018,Bosnia and Herzegovina,SECOND,93.5772
2015,Bulgaria,SECOND,90.59462
2018,Bulgaria,SECOND,99.57258
2016,Belarus,LOWSEC,85.48993
2016,Belarus,PRIMAR,80.93287
2016,Belarus,UPPSEC,86.57611
2016,Belarus,SECOND,85.99043
2017,Belarus,SECOND,89.30381
2017,Belarus,UPPSEC,89.84153
2017,Belarus,PRIMAR,84.77141
2017,Belarus,LOWSEC,88.8424
2018,Belarus,LOWSEC,90.74874
2018,Belarus,SECOND,91.33462
2018,Belarus,PRIMAR,87.00696
2018,Belarus,UPPSEC,92.01505
2019,Belarus,UPPSEC,99.36521
2019,Belarus,PRIMAR,99.4929
2019,Belarus,SECOND,99.42824
2019,Belarus,LOWSEC,99.47989
2020,Belarus,LOWSEC,99.61336
2020,Belarus,SECOND,99.57364
2020,Belarus,PRIMAR,99.58749
2020,Belarus,UPPSEC,99.52484
2021,Belarus,UPPSEC,99.91361
2021,Belarus,PRIMAR,99.62406
2021,Belarus,SECOND,99.82619
2021,Belarus,LOWSEC,99.7555
2015,Croatia,SECOND,96.65621
2018,Croatia,SECOND,100.0
2015,Czechia,SECOND,100.0
2018,Czechia,SECOND,100.0
2001,Denmark,PRIMAR,100.0
2001,Denmark,LOWSEC,100.0
2002,Denmark,LOWSEC,100.0
2002,Denmark,PRIMAR,100.0
2003,Denmark,PRIMAR,100.0
2003,Denmark,LOWSEC,100.0
2004,Denmark,LOWSEC,100.0
2004,Denmark,PRIMAR,100.0
2005,Denmark,PRIMAR,100.0
2005,Denmark,LOWSEC,100.0
2006,Denmark,LOWSEC,100.0
2006,Denmark,PRIMAR,100.0
2007,Denmark,PRIMAR,100.0
2007,Denmark,LOWSEC,100.0
2008,Denmark,LOWSEC,100.0
