Year,GeoAreaName,Counterpart,Value
2016,Germany,HR,7.20372
2016,Germany,GH,11.70836
2016,Germany,KG,12.71431
2016,Germany,TH,11.90553
2016,Germany,MK,9.1763
2016,Germany,AL,10.28588
2016,Germany,UA,7.98608
2016,Germany,TG,9.90021
2016,Germany,TR,8.27917
2016,Germany,VN,11.79639
2016,Germany,AF,10.47546
2016,Germany,RS,8.59944
2017,Germany,IN,1.75573
2017,Germany,VN,10.13802
2017,Germany,UA,4.86604
2017,Germany,AF,12.23877
2017,Germany,TR,2.91244
2017,Germany,TG,8.40476
2017,Germany,LB,12.82083
2017,Germany,CN,3.78277
2017,Germany,MA,6.46885
2017,Germany,BA,3.57143
2017,Germany,MK,10.24113
2017,Germany,RS,2.61161
2017,Germany,AL,8.02633
2017,Germany,TJ,11.805
2017,Germany,TH,5.56409
2017,Germany,MD,7.14286
2017,Germany,HU,3.34722
2017,Germany,KG,11.09833
2017,Germany,XK,6.19048
2017,Germany,GH,5.25578
2017,Germany,RO,0.0
2017,Germany,BG,1.56147
2017,Germany,NG,8.40371
2017,Germany,HR,0.0
2018,Germany,TJ,4.42619
2018,Germany,MA,6.83042
2018,Germany,RS,2.7119
2018,Germany,MD,1.9907
2018,Germany,MK,7.73571
2018,Germany,GH,1.75949
2018,Germany,BA,3.62028
2018,Germany,TR,-0.2422
2018,Germany,IN,1.58003
2018,Germany,AL,7.41918
2018,Germany,HR,0.0
2018,Germany,HU,3.35034
2018,Germany,XK,5.33333
2018,Germany,CN,4.64544
2018,Germany,BG,0.84244
2018,Germany,AF,12.05461
2018,Germany,TG,5.62327
2018,Germany,TH,3.88092
2018,Germany,VN,4.86481
2018,Germany,UA,3.34754
2018,Germany,LB,9.63688
2018,Germany,RO,0.0
2018,Germany,KG,6.28246
2018,Germany,NG,8.34382
2019,Germany,GH,4.13205
2019,Germany,RO,0.0
2019,Germany,HR,0.0
2019,Germany,TR,3.25666
2019,Germany,TG,3.76008
2019,Germany,HU,2.48119
2019,Germany,TJ,2.95476
2019,Germany,BA,3.20113
2019,Germany,AF,12.80049
2019,Germany,VN,5.06416
2019,Germany,MK,7.04957
2019,Germany,AL,6.39778
2019,Germany,NG,7.51063
2019,Germany,XK,3.54524
2019,Germany,MD,4.56964
2019,Germany,KG,5.93283
2019,Germany,LB,8.50296
2019,Germany,TH,4.64435
2019,Germany,MA,5.18638
2019,Germany,BG,1.19196
2019,Germany,UA,2.07203
2019,Germany,CN,6.07923
2019,Germany,RS,2.01905
2019,Germany,IN,0.81144
2020,Germany,IN,1.18371
2020,Germany,RS,1.99762
2020,Germany,AF,11.26441
2020,Germany,BA,2.96303
2020,Germany,LB,8.30215
2020,Germany,MK,3.75952
2020,Germany,VN,5.27046
2020,Germany,TJ,3.96863
2020,Germany,RO,0.0
2020,Germany,BG,1.10625
2020,Germany,GH,5.50374
2020,Germany,HU,2.80077
2020,Germany,AL,6.16639
2020,Germany,UA,2.56705
2020,Germany,XK,3.30714
2020,Germany,MA,4.54428
2020,Germany,KG,6.34945
2020,Germany,MD,4.56964
2020,Germany,TH,3.87928
2020,Germany,NG,6.91884
2020,Germany,TR,3.13739
2020,Germany,HR,0.0
2020,Germany,CN,4.97192
2020,Germany,TG,3.5225
2021,Germany,BA,2.98667
2021,Germany,AL,4.90333
2021,Germany,AF,12.28
2021,Germany,TJ,4.29667
2021,Germany,UA,1.86333
2021,Germany,CN,5.41667
2021,Germany,TG,2.29333
2021,Germany,TR,3.09667
2021,Germany,HR,5.68333
2021,Germany,TH,2.76
2021,Germany,LB,6.33333
2021,Germany,KG,5.74667
2021,Germany,MD,3.23667
2021,Germany,XK,3.52333
2021,Germany,MA,3.21333
2021,Germany,MK,3.28333
2021,Germany,VN,3.14
2021,Germany,RO,1.99
2021,Germany,GH,4.08667
2021,Germany,HU,2.85333
2021,Germany,NG,3.09333
2021,Germany,IN,0.92333
2021,Germany,RS,2.81
2021,Germany,BG,1.25333
2016,Italy,XK,7.09524
2016,Italy,AL,8.72815
2016,Italy,MA,6.83062
2016,Italy,RO,4.94548
2016,Italy,LK,4.26928
2016,Italy,ET,9.22267
2016,Italy,CN,9.8461
2016,Italy,EC,3.43979
2016,Italy,TN,10.54584
2016,Italy,EG,8.35079
2016,Italy,BR,8.36002
2016,Italy,IN,4.70367
2016,Italy,MD,6.56161
2016,Italy,RS,7.75
2016,Italy,PH,6.59074
2016,Italy,UA,5.99615
2016,Italy,NG,9.65027
2016,Italy,SN,5.61429
2017,Italy,EG,7.84687
2017,Italy,AL,8.60557
2017,Italy,UA,3.97444
2017,Italy,RS,6.80952
2017,Italy,XK,7.09524
2017,Italy,BR,7.07112
2017,Italy,CN,6.3554
2017,Italy,NG,7.52497
2017,Italy,LK,3.81426
2017,Italy,IN,1.92173
2017,Italy,MD,6.30952
2017,Italy,PH,4.12029
2017,Italy,MA,6.94885
2017,Italy,ET,9.89321
2017,Italy,SN,4.71429
2017,Italy,RO,2.2381
2018,Italy,UA,2.80136
2018,Italy,TN,7.59206
2018,Italy,EG,5.92495
2018,Italy,EC,2.23326
2018,Italy,IN,0.38324
2018,Italy,XK,6.66071
2018,Italy,CN,4.58911
2018,Italy,RO,0.46242
2018,Italy,PH,2.29305
2018,Italy,MD,3.2119
2018,Italy,NG,6.59119
2018,Italy,LK,2.60738
2018,Italy,BR,3.19559
2018,Italy,SN,2.7119
2018,Italy,AL,8.07946
2018,Italy,MA,4.0796
2018,Italy,RS,6.80952
2018,Italy,ET,7.5798
2019,Italy,XK,7.09524
2019,Italy,MA,7.87765
2019,Italy,SN,5.30952
2019,Italy,MD,6.07143
2019,Italy,RO,3.45238
2019,Italy,PH,4.17505
2019,Italy,AL,6.66667
2019,Italy,CN,6.60965
2019,Italy,BR,7.9932
2019,Italy,IN,1.56958
2019,Italy,ET,10.3522
2019,Italy,LK,3.45179
2019,Italy,EG,8.02593
2019,Italy,UA,4.2495
2019,Italy,RS,3.21429
2019,Italy,NG,9.95894
2019,Italy,EC,3.37982
2019,Italy,TN,10.0082
2019,Italy,BD,2.28163
2020,Italy,ET,12.6061
2020,Italy,IN,2.74803
2020,Italy,BD,3.06394
2020,Italy,BR,5.65919
2020,Italy,XK,7.09524
2020,Italy,PH,5.98308
2020,Italy,RO,3.45238
2020,Italy,MA,6.9679
2020,Italy,MD,5.95238
2020,Italy,NG,11.38869
2020,Italy,SN,5.30952
2020,Italy,CN,6.71799
2020,Italy,TN,9.03479
2020,Italy,EC,3.54661
2020,Italy,EG,5.85917
2020,Italy,LK,3.43081
2020,Italy,AL,6.66667
2020,Italy,UA,4.6278
2020,Italy,RS,3.21429
2021,Italy,BD,1.06735
2021,Italy,TN,11.34895
2021,Italy,EC,3.56667
2021,Italy,BR,3.52667
2021,Italy,CN,7.83639
2021,Italy,AL,6.66762
2021,Italy,UA,4.53519
2021,Italy,EG,3.24502
2021,Italy,MA,6.16801
2021,Italy,NG,8.225
2021,Italy,XK,6.5
2021,Italy,ET,12.71333
2021,Italy,LK,2.80537
2021,Italy,IN,3.19123
2021,Italy,RS,2.88333
2021,Italy,PH,4.71729
2021,Italy,RO,3.51333
2021,Italy,MD,5.71333
2021,Italy,SN,4.94333
2016,Netherlands,DO,10.38585
2016,Netherlands,GH,9.30935
2016,Netherlands,ID,11.48539
2016,Netherlands,MA,6.74887
2016,Netherlands,SR,9.07852
2016,Netherlands,SO,6.67451
2016,Netherlands,NG,7.49331
2016,Netherlands,TR,9.45522
2017,Netherlands,GH,4.70685
2017,Netherlands,ID,9.48172
2017,Netherlands,SR,4.83512
2017,Netherlands,TR,4.44023
2017,Netherlands,DO,7.70133
2017,Netherlands,NG,16.15572
2017,Netherlands,MA,8.44993
2017,Netherlands,SO,7.38412
2018,Netherlands,NG,7.80984
2018,Netherlands,GH,6.07115
2018,Netherlands,MA,6.13762
2018,Netherlands,SO,7.20151
2018,Netherlands,ID,6.34319
2018,Netherlands,DO,6.98399
2018,Netherlands,TR,4.13309
2019,Netherlands,SO,11.1247
2019,Netherlands,TR,2.68043
2019,Netherlands,NG,5.64386
2019,Netherlands,MA,3.48751
2019,Netherlands,DO,2.60617
2019,Netherlands,ID,4.76367
2019,Netherlands,GH,5.13793
2020,Netherlands,DO,3.50701
2020,Netherlands,SO,8.16557
2020,Netherlands,ID,7.15867
2020,Netherlands,NG,7.83249
2020,Netherlands,TR,2.55071
2020,Netherlands,GH,2.76126
2020,Netherlands,MA,4.6834
2021,Netherlands,DO,0.69
2021,Netherlands,MA,4.18333
2021,Netherlands,TR,1.87
2021,Netherlands,SO,6.73333
2021,Netherlands,ID,2.66333
2021,Netherlands,GH,2.58667
2021,Netherlands,NG,3.55667
2016,Norway,PL,9.72295
2016,Norway,PK,10.65818
2017,Norway,PL,1.77004
