Year,GeoAreaName,Type of waste treatment,Value
2007,Czechia,INCINRT,2000.0
2007,Czechia,INCINRT_EGY,390000.0
2008,Czechia,INCINRT,2000.0
2008,Czechia,INCINRT_EGY,369000.0
2009,Czechia,INCINRT,2000.0
2009,Czechia,INCINRT_EGY,372000.0
2010,Czechia,INCINRT,2000.0
2010,Czechia,INCINRT_EGY,497000.0
2011,Czechia,INCINRT_EGY,610000.0
2020,Azerbaijan,INCINRT,591000.0
2020,Azerbaijan,COMPOST,0.0
2020,Azerbaijan,LANDFIL,1764000.0
2021,Azerbaijan,LANDFIL,2014000.0
2021,Azerbaijan,COMPOST,0.0
2021,Azerbaijan,INCINRT_EGY,503000.0
2021,Azerbaijan,LANDFILCTL,272000.0
2021,Azerbaijan,INCINRT,549000.0
2000,Austria,INCINRT_EGY,522000.0
2000,Austria,INCINRT,0.0
2001,Austria,INCINRT_EGY,521000.0
2001,Austria,INCINRT,0.0
2011,Czechia,INCINRT,3000.0
2012,Czechia,INCINRT_EGY,654000.0
2012,Czechia,INCINRT,3000.0
2013,Czechia,INCINRT_EGY,631000.0
2013,Czechia,INCINRT,3000.0
2014,Czechia,INCINRT,4000.0
2014,Czechia,INCINRT_EGY,604000.0
2015,Czechia,INCINRT,4000.0
2015,Czechia,INCINRT_EGY,590000.0
2016,Czechia,INCINRT_EGY,588000.0
2016,Czechia,INCINRT,4000.0
2017,Czechia,INCINRT,4000.0
2017,Czechia,INCINRT_EGY,905000.0
2002,Austria,INCINRT,0.0
2002,Austria,INCINRT_EGY,530000.0
2003,Austria,INCINRT,0.0
2003,Austria,INCINRT_EGY,592000.0
2004,Austria,INCINRT,0.0
2004,Austria,INCINRT_EGY,1380000.0
2005,Austria,INCINRT,0.0
2005,Austria,INCINRT_EGY,1310000.0
2006,Austria,INCINRT,0.0
2006,Austria,INCINRT_EGY,1430000.0
2007,Austria,INCINRT,0.0
2007,Austria,INCINRT_EGY,1453000.0
2008,Austria,INCINRT,0.0
2009,Serbia,LANDFIL,1580000.0
2009,Serbia,COMPOST,0.0
2009,Serbia,INCINRT,0.0
2010,Serbia,LANDFIL,1890000.0
2010,Serbia,LANDFILCTL,1890000.0
2010,Serbia,INCINRT,0.0
2010,Serbia,INCINRT_EGY,0.0
2010,Serbia,OTHERWM,1890000.0
2010,Serbia,COMPOST,0.0
2011,Serbia,INCINRT_EGY,0.0
2011,Serbia,OTHERWM,2090000.0
2011,Serbia,LANDFILCTL,2090000.0
2011,Serbia,COMPOST,0.0
2008,Austria,INCINRT_EGY,1357000.0
2009,Austria,INCINRT,0.0
2009,Austria,INCINRT_EGY,1440000.0
2010,Austria,INCINRT,0.0
2010,Austria,INCINRT_EGY,1636000.0
2011,Austria,INCINRT_EGY,1678000.0
2011,Austria,INCINRT,0.0
2012,Austria,INCINRT,0.0
2012,Austria,INCINRT_EGY,1693000.0
2013,Austria,INCINRT_EGY,1716000.0
2013,Austria,INCINRT,0.0
2014,Austria,INCINRT_EGY,1756000.0
2014,Austria,INCINRT,0.0
2018,Czechia,INCINRT_EGY,879000.0
2018,Czechia,INCINRT,5000.0
2019,Czechia,INCINRT,4000.0
2019,Czechia,INCINRT_EGY,873000.0
2020,Czechia,INCINRT_EGY,737000.0
2020,Czechia,INCINRT,5000.0
2021,Czechia,INCINRT,4000.0
2021,Czechia,INCINRT_EGY,726000.0
2000,Denmark,INCINRT_EGY,1876000.0
2000,Denmark,INCINRT,0.0
2001,Denmark,INCINRT_EGY,1998000.0
2001,Denmark,INCINRT,0.0
2002,Denmark,INCINRT_EGY,2008000.0
2002,Denmark,INCINRT,0.0
2003,Denmark,INCINRT,0.0
2003,Denmark,INCINRT_EGY,1955000.0
2004,Denmark,INCINRT_EGY,2046000.0
2004,Denmark,INCINRT,0.0
2005,Denmark,INCINRT,0.0
2005,Denmark,INCINRT_EGY,2146000.0
2006,Denmark,INCINRT,0.0
2006,Denmark,INCINRT_EGY,2138000.0
2007,Denmark,INCINRT,0.0
2007,Denmark,INCINRT_EGY,2203000.0
2008,Denmark,INCINRT_EGY,2199000.0
2008,Denmark,INCINRT,0.0
2011,Serbia,INCINRT,0.0
2011,Serbia,LANDFIL,2090000.0
2012,Serbia,LANDFIL,1830000.0
2012,Serbia,INCINRT,0.0
2012,Serbia,COMPOST,0.0
2012,Serbia,INCINRT_EGY,0.0
2012,Serbia,OTHERWM,1830000.0
2012,Serbia,LANDFILCTL,1830000.0
2013,Serbia,LANDFIL,1920000.0
2013,Serbia,INCINRT,0.0
2013,Serbia,INCINRT_EGY,0.0
2013,Serbia,OTHERWM,1945000.0
2013,Serbia,COMPOST,0.0
2009,Denmark,INCINRT,0.0
2009,Denmark,INCINRT_EGY,2025000.0
2011,Denmark,INCINRT_EGY,2643000.0
2011,Denmark,INCINRT,0.0
2012,Denmark,INCINRT_EGY,2495000.0
2012,Denmark,INCINRT,0.0
2013,Denmark,INCINRT_EGY,2510000.0
2013,Denmark,INCINRT,0.0
2014,Denmark,INCINRT_EGY,2424000.0
2014,Denmark,INCINRT,0.0
2015,Denmark,INCINRT,0.0
2015,Denmark,INCINRT_EGY,2396000.0
2016,Denmark,INCINRT,0.0
2015,Austria,INCINRT,0.0
2015,Austria,INCINRT_EGY,1833000.0
2016,Austria,INCINRT_EGY,1855000.0
2016,Austria,INCINRT,0.0
2017,Austria,INCINRT,0.0
