Year,GeoAreaName,Age,Freq,Location,Sex,Type of speed,Value
2012,Slovakia,,,,,2MT10MBPS,393507.0
2012,Slovakia,,,,,10MBPS,391182.0
2012,Slovakia,,,,,256KT2MBPS,13698.0
2013,Slovakia,,,,,256KT2MBPS,9685.0
2013,Slovakia,,,,,ANYS,1109060.0
2010,Croatia,,,,,10MBPS,28726.0
2010,Croatia,,,,,ANYS,837862.0
2010,Croatia,,,,,2MT10MBPS,734669.0
2010,Croatia,,,,,256KT2MBPS,40428.0
2011,Croatia,,,,,ANYS,892835.0
2011,Croatia,,,,,2MT10MBPS,726286.0
2011,Croatia,,,,,10MBPS,85349.0
2011,Croatia,,,,,256KT2MBPS,49641.0
2012,Croatia,,,,,ANYS,919222.0
2012,Croatia,,,,,2MT10MBPS,690838.0
2012,Croatia,,,,,10MBPS,100352.0
2012,Croatia,,,,,256KT2MBPS,99134.0
2013,Croatia,,,,,ANYS,954720.0
2013,Croatia,,,,,2MT10MBPS,695996.0
2013,Croatia,,,,,10MBPS,150417.0
2013,Croatia,,,,,256KT2MBPS,76513.0
2014,Croatia,,,,,ANYS,984485.0
2014,Croatia,,,,,2MT10MBPS,673432.0
2014,Croatia,,,,,256KT2MBPS,66095.0
2014,Croatia,,,,,10MBPS,212146.0
2015,Croatia,,,,,ANYS,986215.0
2015,Croatia,,,,,2MT10MBPS,608805.0
2015,Croatia,,,,,10MBPS,360866.0
2015,Croatia,,,,,256KT2MBPS,16544.0
2013,Slovakia,,,,,2MT10MBPS,407706.0
2013,Slovakia,,,,,10MBPS,428606.0
2014,Slovakia,,,,,2MT10MBPS,584050.0
2014,Slovakia,,,,,ANYS,1191216.0
2014,Slovakia,,,,,10MBPS,567570.0
2014,Slovakia,,,,,256KT2MBPS,39596.0
2015,Slovakia,,,,,ANYS,1273812.0
2015,Slovakia,,,,,256KT2MBPS,40184.0
2015,Slovakia,,,,,10MBPS,749137.0
2015,Slovakia,,,,,2MT10MBPS,484491.0
2016,Slovakia,,,,,ANYS,1336541.0
2016,Slovakia,,,,,10MBPS,826973.0
2016,Slovakia,,,,,2MT10MBPS,470718.0
2016,Slovakia,,,,,256KT2MBPS,38850.0
2017,Slovakia,,,,,256KT2MBPS,20096.0
2017,Slovakia,,,,,ANYS,1405622.0
2017,Slovakia,,,,,2MT10MBPS,381422.0
2017,Slovakia,,,,,10MBPS,1003233.0
2018,Slovakia,,,,,2MT10MBPS,337098.0
2018,Slovakia,,,,,256KT2MBPS,35374.0
2018,Slovakia,,,,,ANYS,1507524.0
2018,Slovakia,,,,,10MBPS,1135052.0
2002,Kyrgyzstan,,,,,ANYS,36.0
2003,Kyrgyzstan,,,,,ANYS,139.0
2004,Kyrgyzstan,,,,,ANYS,1907.0
2005,Kyrgyzstan,,,,,ANYS,2292.0
2006,Kyrgyzstan,,,,,ANYS,2762.0
2007,Kyrgyzstan,,,,,ANYS,3115.0
2008,Kyrgyzstan,,,,,ANYS,19032.0
2009,Kyrgyzstan,,,,,ANYS,17355.0
2010,Kyrgyzstan,,,,,ANYS,23053.0
2011,Kyrgyzstan,,,,,ANYS,39040.0
2012,Kyrgyzstan,,,,,256KT2MBPS,22233.0
2016,Croatia,,,,,ANYS,1043795.0
2016,Croatia,,,,,10MBPS,545712.0
2016,Croatia,,,,,2MT10MBPS,478469.0
2016,Croatia,,,,,256KT2MBPS,19614.0
2017,Croatia,,,,,ANYS,1095881.0
2017,Croatia,,,,,10MBPS,714490.0
2017,Croatia,,,,,2MT10MBPS,355094.0
2017,Croatia,,,,,256KT2MBPS,26297.0
2018,Croatia,,,,,ANYS,1127591.0
2018,Croatia,,,,,10MBPS,824404.0
2018,Croatia,,,,,2MT10MBPS,285090.0
2018,Croatia,,,,,256KT2MBPS,18097.0
2019,Croatia,,,,,ANYS,1154773.0
2019,Slovakia,,,,,ANYS,1590553.0
2019,Slovakia,,,,,256KT2MBPS,17607.0
2019,Slovakia,,,,,2MT10MBPS,242736.0
2019,Slovakia,,,,,10MBPS,1330210.0
2020,Slovakia,,,,,ANYS,1701561.0
2020,Slovakia,,,,,2MT10MBPS,209683.0
2020,Slovakia,,,,,10MBPS,1475667.0
2020,Slovakia,,,,,256KT2MBPS,16211.0
2021,Slovakia,,,,,ANYS,1774670.0
2021,Slovakia,,,,,10MBPS,1610035.0
2021,Slovakia,,,,,2MT10MBPS,143544.0
2012,Kyrgyzstan,,,,,ANYS,54614.0
2012,Kyrgyzstan,,,,,10MBPS,19351.0
2012,Kyrgyzstan,,,,,2MT10MBPS,6530.0
2013,Kyrgyzstan,,,,,ANYS,136200.0
2013,Kyrgyzstan,,,,,256KT2MBPS,77877.0
2013,Kyrgyzstan,,,,,2MT10MBPS,43943.0
2013,Kyrgyzstan,,,,,10MBPS,14065.0
2014,Kyrgyzstan,,,,,ANYS,170706.0
2015,Kyrgyzstan,,,,,ANYS,211521.0
2015,Kyrgyzstan,,,,,10MBPS,105739.0
2015,Kyrgyzstan,,,,,2MT10MBPS,59374.0
2019,Croatia,,,,,10MBPS,892005.0
2019,Croatia,,,,,2MT10MBPS,247340.0
2019,Croatia,,,,,256KT2MBPS,15428.0
2020,Croatia,,,,,ANYS,1030973.0
2020,Croatia,,,,,10MBPS,848051.0
2020,Croatia,,,,,2MT10MBPS,172816.0
2020,Croatia,,,,,256KT2MBPS,10106.0
2021,Croatia,,,,,ANYS,1048489.0
2021,Croatia,,,,,10MBPS,904041.0
2021,Croatia,,,,,2MT10MBPS,135243.0
2015,Kyrgyzstan,,,,,256KT2MBPS,46408.0
2016,Kyrgyzstan,,,,,ANYS,240873.0
2016,Kyrgyzstan,,,,,10MBPS,119374.0
2016,Kyrgyzstan,,,,,2MT10MBPS,93643.0
2016,Kyrgyzstan,,,,,256KT2MBPS,27855.0
2017,Kyrgyzstan,,,,,10MBPS,128799.0
2017,Kyrgyzstan,,,,,2MT10MBPS,101786.0
2017,Kyrgyzstan,,,,,256KT2MBPS,27428.0
2017,Kyrgyzstan,,,,,ANYS,258013.0
2018,Kyrgyzstan,,,,,ANYS,250612.0
2021,Slovakia,,,,,256KT2MBPS,21091.0
2001,Slovenia,,,,,ANYS,5500.0
2002,Slovenia,,,,,ANYS,56735.0
2003,Slovenia,,,,,ANYS,57992.0
2004,Slovenia,,,,,ANYS,115069.0
2005,Slovenia,,,,,ANYS,196650.0
2006,Slovenia,,,,,ANYS,279814.0
2007,Slovenia,,,,,ANYS,344677.0
2008,Slovenia,,,,,10MBPS,69549.0
2008,Slovenia,,,,,2MT10MBPS,80571.0
2008,Slovenia,,,,,ANYS,425294.0
2018,Kyrgyzstan,,,,,2MT10MBPS,158296.0
2018,Kyrgyzstan,,,,,10MBPS,69662.0
2018,Kyrgyzstan,,,,,256KT2MBPS,22654.0
2019,Kyrgyzstan,,,,,2MT10MBPS,174988.0
2019,Kyrgyzstan,,,,,ANYS,269091.0
2019,Kyrgyzstan,,,,,256KT2MBPS,20556.0
2019,Kyrgyzstan,,,,,10MBPS,73547.0
2020,Kyrgyzstan,,,,,ANYS,289000.0
2021,Kyrgyzstan,,,,,ANYS,289000.0
2000,Latvia,,,,,ANYS,284.0
2001,Latvia,,,,,ANYS,3235.0
2008,Slovenia,,,,,256KT2MBPS,260804.0
2009,Slovenia,,,,,256KT2MBPS,267624.0
2009,Slovenia,,,,,ANYS,449030.0
2009,Slovenia,,,,,10MBPS,96351.0
2009,Slovenia,,,,,2MT10MBPS,85055.0
2010,Slovenia,,,,,256KT2MBPS,265231.0
2010,Slovenia,,,,,10MBPS,110506.0
2010,Slovenia,,,,,2MT10MBPS,93830.0
2010,Slovenia,,,,,ANYS,470527.0
2011,Slovenia,,,,,10MBPS,160426.0
2011,Slovenia,,,,,2MT10MBPS,250363.0
2021,Croatia,,,,,256KT2MBPS,9205.0
2001,Cyprus,,,,,ANYS,2500.0
2002,Cyprus,,,,,ANYS,5879.0
2003,Cyprus,,,,,ANYS,10033.0
2004,Cyprus,,,,,ANYS,17070.0
2005,Cyprus,,,,,ANYS,31856.0
2006,Cyprus,,,,,ANYS,63084.0
2007,Cyprus,,,,,ANYS,97613.0
2008,Cyprus,,,,,ANYS,147276.0
2009,Cyprus,,,,,ANYS,176024.0
2009,Cyprus,,,,,2MT10MBPS,44334.0
2009,Cyprus,,,,,10MBPS,183.0
2002,Latvia,,,,,ANYS,10000.0
2003,Latvia,,,,,ANYS,19533.0
2004,Latvia,,,,,ANYS,49147.0
2005,Latvia,,,,,ANYS,60770.0
2006,Latvia,,,,,ANYS,109674.0
2007,Latvia,,,,,ANYS,338559.0
2008,Latvia,,,,,ANYS,412108.0
2009,Latvia,,,,,ANYS,454714.0
2010,Latvia,,,,,ANYS,434876.0
2011,Latvia,,,,,ANYS,457422.0
2012,Latvia,,,,,ANYS,476141.0
2013,Latvia,,,,,ANYS,496000.0
2013,Latvia,,,,,10MBPS,302000.0
2011,Slovenia,,,,,ANYS,494372.0
2011,Slovenia,,,,,256KT2MBPS,82220.0
2012,Slovenia,,,,,2MT10MBPS,243589.0
2012,Slovenia,,,,,ANYS,509336.0
2012,Slovenia,,,,,256KT2MBPS,84692.0
2012,Slovenia,,,,,10MBPS,184646.0
2013,Slovenia,,,,,ANYS,524621.0
2013,Slovenia,,,,,10MBPS,236435.0
2013,Slovenia,,,,,2MT10MBPS,236172.0
2013,Slovenia,,,,,256KT2MBPS,56219.0
2014,Slovenia,,,,,ANYS,555815.0
2014,Slovenia,,,,,2MT10MBPS,231386.0
2014,Slovenia,,,,,256KT2MBPS,38698.0
2014,Slovenia,,,,,10MBPS,285731.0
2015,Slovenia,,,,,ANYS,569026.0
2015,Slovenia,,,,,10MBPS,359273.0
2015,Slovenia,,,,,2MT10MBPS,177609.0
2015,Slovenia,,,,,256KT2MBPS,32144.0
2016,Slovenia,,,,,2MT10MBPS,105403.0
2016,Slovenia,,,,,10MBPS,465000.0
2016,Slovenia,,,,,256KT2MBPS,18921.0
2016,Slovenia,,,,,ANYS,589324.0
2017,Slovenia,,,,,ANYS,601820.0
2009,Cyprus,,,,,256KT2MBPS,131507.0
2010,Cyprus,,,,,ANYS,194455.0
2010,Cyprus,,,,,256KT2MBPS,118545.0
2010,Cyprus,,,,,2MT10MBPS,66640.0
2010,Cyprus,,,,,10MBPS,9270.0
2011,Cyprus,,,,,ANYS,212149.0
2011,Cyprus,,,,,2MT10MBPS,175983.0
2011,Cyprus,,,,,256KT2MBPS,19429.0
2011,Cyprus,,,,,10MBPS,16737.0
2012,Cyprus,,,,,2MT10MBPS,193370.0
2012,Cyprus,,,,,10MBPS,26495.0
2013,Latvia,,,,,2MT10MBPS,150300.0
2014,Latvia,,,,,ANYS,505000.0
2014,Latvia,,,,,10MBPS,355042.0
2014,Latvia,,,,,2MT10MBPS,133800.0
2014,Latvia,,,,,256KT2MBPS,11122.0
2015,Latvia,,,,,10MBPS,390000.0
2015,Latvia,,,,,2MT10MBPS,104000.0
2015,Latvia,,,,,256KT2MBPS,8033.0
2015,Latvia,,,,,ANYS,503503.0
2016,Latvia,,,,,ANYS,519154.0
2016,Latvia,,,,,10MBPS,410565.0
2016,Latvia,,,,,2MT10MBPS,101333.0
2016,Latvia,,,,,256KT2MBPS,7255.0
2017,Latvia,,,,,ANYS,526222.0
2017,Latvia,,,,,10MBPS,411400.0
2017,Latvia,,,,,2MT10MBPS,108868.0
2017,Latvia,,,,,256KT2MBPS,5954.0
2018,Latvia,,,,,10MBPS,421393.0
2018,Latvia,,,,,2MT10MBPS,100038.0
2018,Latvia,,,,,256KT2MBPS,4564.0
2018,Latvia,,,,,ANYS,525995.0
2019,Latvia,,,,,ANYS,508924.0
2017,Slovenia,,,,,10MBPS,475228.0
2017,Slovenia,,,,,2MT10MBPS,116914.0
2017,Slovenia,,,,,256KT2MBPS,9678.0
2018,Slovenia,,,,,256KT2MBPS,6257.0
2018,Slovenia,,,,,ANYS,612745.0
2018,Slovenia,,,,,10MBPS,536606.0
2018,Slovenia,,,,,2MT10MBPS,69882.0
2019,Slovenia,,,,,10MBPS,575257.0
2019,Slovenia,,,,,2MT10MBPS,48071.0
2019,Slovenia,,,,,256KT2MBPS,4611.0
2019,Slovenia,,,,,ANYS,627939.0
2020,Slovenia,,,,,2MT10MBPS,46487.0
2012,Cyprus,,,,,256KT2MBPS,717.0
2012,Cyprus,,,,,ANYS,220580.0
2013,Cyprus,,,,,ANYS,229195.0
2013,Cyprus,,,,,2MT10MBPS,206267.0
2013,Cyprus,,,,,10MBPS,22198.0
2013,Cyprus,,,,,256KT2MBPS,244.0
2014,Cyprus,,,,,ANYS,243611.0
