Year,GeoAreaName,Type of waste treatment,Value
2014,Greece,RECYCL,1658969.0
2014,Greece,INCINRT,2937.0
2014,Greece,LANDFIL,19303.0
2014,Greece,INCINRT_EGY,3211.0
2014,Greece,OTHERWM,0.0
2016,Greece,INCINRT_EGY,20632.0
2016,Greece,OTHERWM,0.0
2016,Greece,LANDFIL,0.0
2016,Armenia,LANDFIL,601917.375
2016,Armenia,INCINRT,604.90002
2017,Armenia,LANDFIL,535594.0
2017,Armenia,INCINRT,582.79999
2017,Armenia,RECYCL,1636.90002
2018,Armenia,INCINRT,1680.40002
2018,Armenia,RECYCL,4344.5
2018,Armenia,LANDFIL,504833.59375
2019,Armenia,LANDFIL,553544.625
2019,Armenia,RECYCL,16063.0
2019,Armenia,INCINRT,929.40002
2004,Belgium,LANDFIL,1306543.0
2016,Greece,INCINRT,4649.0
2016,Greece,RECYCL,1570261.0
2018,Greece,RECYCL,1629967.0
2018,Greece,OTHERWM,0.0
2018,Greece,INCINRT,3845.0
2018,Greece,LANDFIL,16340.0
2018,Greece,INCINRT_EGY,26091.0
2020,Greece,INCINRT_EGY,28375.0
2020,Greece,LANDFIL,18790.0
2020,Greece,RECYCL,1555966.0
2020,Greece,OTHERWM,0.0
2020,Greece,INCINRT,3478.0
2004,Hungary,INCINRT,49226.0
2004,Hungary,OTHERWM,0.0
2004,Hungary,INCINRT_EGY,41153.0
2004,Hungary,LANDFIL,81207.0
2006,Hungary,INCINRT_EGY,62467.0
2006,Hungary,LANDFIL,836448.0
2006,Hungary,OTHERWM,0.0
2006,Hungary,INCINRT,66784.0
2008,Hungary,INCINRT,59036.0
2008,Hungary,LANDFIL,215076.0
2008,Hungary,INCINRT_EGY,39591.0
2008,Hungary,OTHERWM,0.0
2010,Hungary,INCINRT,69452.0
2010,Hungary,OTHERWM,0.0
2010,Hungary,RECYCL,73.0
2010,Hungary,INCINRT_EGY,25670.0
2010,Hungary,LANDFIL,87068.0
2012,Hungary,OTHERWM,0.0
2012,Hungary,LANDFIL,155827.0
2012,Hungary,INCINRT_EGY,19699.0
2012,Hungary,RECYCL,0.0
2012,Hungary,INCINRT,76829.0
2014,Hungary,OTHERWM,0.0
2014,Hungary,INCINRT,81181.0
2014,Hungary,LANDFIL,85563.0
2014,Hungary,INCINRT_EGY,21541.0
2014,Hungary,RECYCL,0.0
2016,Hungary,INCINRT,74222.0
2016,Hungary,RECYCL,0.0
2016,Hungary,OTHERWM,0.0
2016,Hungary,LANDFIL,69187.0
2016,Hungary,INCINRT_EGY,24876.0
2018,Hungary,INCINRT_EGY,36893.0
2018,Hungary,INCINRT,75073.0
2018,Hungary,RECYCL,0.0
2018,Hungary,OTHERWM,0.0
2018,Hungary,LANDFIL,87704.0
2004,Belgium,INCINRT,193790.0
2004,Belgium,INCINRT_EGY,165211.0
2004,Belgium,OTHERWM,0.0
2006,Belgium,INCINRT,160202.0
2006,Belgium,OTHERWM,0.0
2006,Belgium,INCINRT_EGY,442981.0
2006,Belgium,LANDFIL,283073.0
2008,Belgium,INCINRT_EGY,368644.0
2008,Belgium,INCINRT,155556.0
2008,Belgium,LANDFIL,443605.0
2008,Belgium,OTHERWM,0.0
2010,Belgium,INCINRT,158400.0
2010,Belgium,OTHERWM,0.0
2020,Hungary,LANDFIL,96313.0
2020,Hungary,RECYCL,0.0
2020,Hungary,INCINRT,78516.0
2020,Hungary,INCINRT_EGY,35025.0
2020,Hungary,OTHERWM,0.0
2004,Iceland,INCINRT,4500.0
2004,Iceland,INCINRT_EGY,4500.0
2004,Iceland,OTHERWM,0.0
2004,Iceland,LANDFIL,2000.0
2008,Iceland,INCINRT,0.0
2008,Iceland,LANDFIL,129039.0
2008,Iceland,INCINRT_EGY,729.0
2008,Iceland,OTHERWM,0.0
2010,Belgium,INCINRT_EGY,214337.0
2010,Belgium,LANDFIL,981568.0
2010,Belgium,RECYCL,58195.0
2012,Belgium,INCINRT_EGY,114014.0
2012,Belgium,OTHERWM,0.0
2012,Belgium,LANDFIL,739347.0
2012,Belgium,INCINRT,186829.0
2012,Belgium,RECYCL,61337.0
2014,Belgium,LANDFIL,960148.0
2014,Belgium,OTHERWM,0.0
2014,Belgium,INCINRT_EGY,134510.0
2014,Belgium,RECYCL,151901.0
2014,Belgium,INCINRT,287112.0
2010,Iceland,INCINRT,0.0
2010,Iceland,INCINRT_EGY,187.0
2010,Iceland,LANDFIL,1386.0
2010,Iceland,OTHERWM,0.0
2012,Iceland,OTHERWM,0.0
2012,Iceland,INCINRT_EGY,132.0
2012,Iceland,INCINRT,0.0
2012,Iceland,LANDFIL,758.0
2014,Iceland,INCINRT_EGY,1303.0
2014,Iceland,INCINRT,732.0
2014,Iceland,LANDFIL,10106.0
2014,Iceland,OTHERWM,0.0
2016,Iceland,INCINRT_EGY,2358.0
2016,Belgium,OTHERWM,0.0
2016,Belgium,LANDFIL,1219738.0
2016,Belgium,RECYCL,112277.0
2016,Belgium,INCINRT,258006.0
2016,Belgium,INCINRT_EGY,160745.0
2018,Belgium,RECYCL,253467.0
2018,Belgium,LANDFIL,1538654.0
2018,Belgium,OTHERWM,0.0
2018,Belgium,INCINRT_EGY,142024.0
2018,Belgium,INCINRT,357688.0
2020,Belgium,OTHERWM,0.0
2020,Belgium,LANDFIL,1266537.0
2020,Belgium,INCINRT_EGY,175783.0
2020,Belgium,RECYCL,332170.0
2020,Belgium,INCINRT,141517.0
2001,Bosnia and Herzegovina,INCINRT,0.0
2002,Bosnia and Herzegovina,INCINRT,0.0
2003,Bosnia and Herzegovina,INCINRT,0.0
2004,Bosnia and Herzegovina,INCINRT,0.0
2005,Bosnia and Herzegovina,INCINRT,0.0
2006,Bosnia and Herzegovina,INCINRT,0.0
2007,Bosnia and Herzegovina,INCINRT,0.0
2008,Bosnia and Herzegovina,INCINRT,0.0
2009,Bosnia and Herzegovina,INCINRT,0.0
2010,Bosnia and Herzegovina,INCINRT,0.0
2016,Iceland,OTHERWM,0.0
2016,Iceland,INCINRT,1352.0
2016,Iceland,LANDFIL,26531.0
2018,Iceland,OTHERWM,810.0
2018,Iceland,INCINRT_EGY,8.0
2018,Iceland,INCINRT,1277.0
2018,Iceland,LANDFIL,13490.0
2004,Ireland,OTHERWM,0.0
2004,Ireland,INCINRT,37303.0
2004,Ireland,INCINRT_EGY,6025.0
2004,Ireland,LANDFIL,13675.0
2006,Ireland,INCINRT,35121.0
2006,Ireland,INCINRT_EGY,9919.0
2011,Bosnia and Herzegovina,INCINRT,0.0
2012,Bosnia and Herzegovina,INCINRT,0.0
2016,Bosnia and Herzegovina,RECYCL,0.0
2020,Bosnia and Herzegovina,RECYCL,0.0
2004,Bulgaria,OTHERWM,0.0
2004,Bulgaria,INCINRT,44984.0
2004,Bulgaria,INCINRT_EGY,322.0
2004,Bulgaria,LANDFIL,11981941.0
2006,Bulgaria,INCINRT_EGY,782.0
2006,Bulgaria,OTHERWM,0.0
2006,Bulgaria,INCINRT,81641.0
2006,Bulgaria,LANDFIL,13302797.0
2006,Ireland,LANDFIL,13790.0
2006,Ireland,OTHERWM,24.0
2008,Ireland,LANDFIL,12583.0
2008,Ireland,INCINRT,20897.0
2008,Ireland,INCINRT_EGY,36297.0
2008,Ireland,OTHERWM,1.0
2010,Ireland,OTHERWM,0.0
2010,Ireland,INCINRT_EGY,44605.0
2010,Ireland,RECYCL,88500.0
2010,Ireland,LANDFIL,21011.0
2010,Ireland,INCINRT,19676.0
2012,Ireland,LANDFIL,15853.0
2008,Bulgaria,INCINRT,49759.0
2008,Bulgaria,OTHERWM,0.0
2008,Bulgaria,LANDFIL,12846297.0
2008,Bulgaria,INCINRT_EGY,0.0
2010,Bulgaria,RECYCL,391266.0
2010,Bulgaria,INCINRT,1762.0
2010,Bulgaria,LANDFIL,13501203.0
2010,Bulgaria,INCINRT_EGY,0.0
2010,Bulgaria,OTHERWM,0.0
2012,Bulgaria,OTHERWM,164883.0
2012,Bulgaria,RECYCL,356786.0
2012,Bulgaria,INCINRT,5352.0
2012,Ireland,INCINRT,13386.0
2012,Ireland,RECYCL,84931.0
2012,Ireland,OTHERWM,0.0
2012,Ireland,INCINRT_EGY,17508.0
2014,Ireland,OTHERWM,19200.0
2014,Ireland,INCINRT_EGY,32436.0
2014,Ireland,LANDFIL,37741.0
2014,Ireland,RECYCL,89564.0
2014,Ireland,INCINRT,13121.0
2016,Ireland,RECYCL,394126.0
2016,Ireland,OTHERWM,816.0
2016,Ireland,INCINRT,7488.0
2012,Bulgaria,INCINRT_EGY,188.0
2012,Bulgaria,LANDFIL,13322743.0
2014,Bulgaria,LANDFIL,12017033.0
2014,Bulgaria,INCINRT_EGY,333.0
2014,Bulgaria,OTHERWM,163064.0
2014,Bulgaria,RECYCL,222970.0
2014,Bulgaria,INCINRT,7171.0
2016,Bulgaria,LANDFIL,13059515.0
2016,Bulgaria,INCINRT_EGY,659.0
2016,Bulgaria,INCINRT,5259.0
2016,Bulgaria,OTHERWM,13021325.0
2016,Bulgaria,RECYCL,248036.0
2016,Ireland,LANDFIL,19120.0
2016,Ireland,INCINRT_EGY,34932.0
2018,Ireland,LANDFIL,15014.0
2018,Ireland,INCINRT,6846.0
2018,Ireland,INCINRT_EGY,71825.0
2018,Ireland,RECYCL,453667.0
2018,Ireland,OTHERWM,0.0
2020,Ireland,RECYCL,418032.0
2004,Italy,INCINRT_EGY,189364.0
2004,Italy,OTHERWM,0.0
2004,Italy,LANDFIL,615182.0
2018,Bulgaria,OTHERWM,13215461.0
2018,Bulgaria,LANDFIL,13295635.0
2018,Bulgaria,RECYCL,232003.0
2018,Bulgaria,INCINRT,3814.0
2018,Bulgaria,INCINRT_EGY,5016.0
2020,Bulgaria,RECYCL,265969.0
2020,Bulgaria,INCINRT_EGY,24566.0
2020,Bulgaria,LANDFIL,13336987.0
2020,Bulgaria,INCINRT,98152.0
2020,Bulgaria,OTHERWM,13293040.0
2005,Belarus,INCINRT,50200.0
2005,Belarus,OTHERWM,0.0
2004,Italy,INCINRT,539697.0
2006,Italy,LANDFIL,518527.0
2006,Italy,OTHERWM,0.0
2006,Italy,INCINRT,506582.0
2006,Italy,INCINRT_EGY,133011.0
2008,Italy,INCINRT,448750.0
2008,Italy,INCINRT_EGY,143783.0
2008,Italy,LANDFIL,690629.0
2008,Italy,OTHERWM,0.0
2005,Belarus,LANDFIL,19200.0
2005,Belarus,RECYCL,227400.0
2006,Belarus,INCINRT,54200.0
2006,Belarus,RECYCL,252900.0
2006,Belarus,OTHERWM,0.0
2006,Belarus,LANDFIL,16800.0
2007,Belarus,OTHERWM,0.0
2007,Belarus,RECYCL,344700.0
2007,Belarus,LANDFIL,34300.0
2010,Italy,INCINRT_EGY,120836.0
2010,Italy,RECYCL,14552.0
2010,Italy,INCINRT,382719.0
2010,Italy,OTHERWM,0.0
2010,Italy,LANDFIL,736999.0
2012,Italy,LANDFIL,1063650.0
2012,Italy,OTHERWM,0.0
2012,Italy,RECYCL,7652.0
2012,Italy,INCINRT,393680.0
2012,Italy,INCINRT_EGY,164144.0
2007,Belarus,INCINRT,41400.0
2008,Belarus,RECYCL,437100.0
2008,Belarus,INCINRT,39600.0
2008,Belarus,LANDFIL,61200.0
2008,Belarus,OTHERWM,0.0
2009,Belarus,LANDFIL,100000.0
2009,Belarus,RECYCL,675200.0
2009,Belarus,OTHERWM,0.0
2009,Belarus,INCINRT,34600.0
2014,Italy,INCINRT,407142.0
2014,Italy,INCINRT_EGY,76739.0
2014,Italy,OTHERWM,0.0
2014,Italy,RECYCL,14616.0
2014,Italy,LANDFIL,1268619.0
2016,Italy,INCINRT_EGY,123032.0
2016,Italy,LANDFIL,1289000.0
2016,Italy,INCINRT,374739.0
2016,Italy,RECYCL,12397.0
2016,Italy,OTHERWM,0.0
2010,Belarus,OTHERWM,0.0
2010,Belarus,RECYCL,774900.0
2010,Belarus,INCINRT,46000.0
2010,Belarus,LANDFIL,136600.0
2011,Belarus,LANDFIL,83700.0
2011,Belarus,OTHERWM,0.0
2011,Belarus,RECYCL,827600.0
2011,Belarus,INCINRT,57100.0
2012,Belarus,INCINRT,29050.0
2018,Italy,INCINRT_EGY,113443.0
2018,Italy,OTHERWM,0.0
2018,Italy,LANDFIL,1280412.0
2018,Italy,INCINRT,424890.0
2018,Italy,RECYCL,15504.0
2020,Italy,INCINRT,383737.0
2020,Italy,RECYCL,21044.0
2020,Italy,INCINRT_EGY,145172.0
2020,Italy,LANDFIL,1315206.0
2020,Italy,OTHERWM,0.0
2012,Belarus,OTHERWM,0.0
2012,Belarus,LANDFIL,123680.0
2012,Belarus,RECYCL,1324330.0
2013,Belarus,INCINRT,21250.0
2013,Belarus,LANDFIL,124720.0
2013,Belarus,OTHERWM,0.0
2013,Belarus,RECYCL,1091670.0
2014,Belarus,LANDFIL,153560.0
2014,Belarus,OTHERWM,0.0
2004,Kazakhstan,RECYCL,17680272.0
2004,Kazakhstan,LANDFIL,170632.29688
2004,Kazakhstan,INCINRT,91314.0
2004,Kazakhstan,OTHERWM,10461900.0
2005,Kazakhstan,LANDFIL,104829.99219
2005,Kazakhstan,OTHERWM,6427427.0
2005,Kazakhstan,INCINRT,56099.83594
2005,Kazakhstan,RECYCL,10862084.0
2006,Kazakhstan,LANDFIL,365585.53125
2006,Kazakhstan,INCINRT,195643.32813
2006,Kazakhstan,RECYCL,37880576.0
