Year,GeoAreaName,Activity,Sex,Value
2012,Spain,TOTAL,BOTHSEX,4.27
2015,Austria,NONAGR,BOTHSEX,3.79
2015,Austria,TOTAL,MALE,4.04
2015,Austria,NONAGR,MALE,3.74
2015,Austria,TOTAL,BOTHSEX,4.14
2015,Austria,ISIC4_A,MALE,10.35
2015,Austria,ISIC4_A,FEMALE,15.03
2015,Austria,ISIC4_A,BOTHSEX,12.23
2015,Austria,NONAGR,FEMALE,3.85
2012,Spain,TOTAL,MALE,3.88
2012,Spain,ISIC4_A,FEMALE,5.38
2012,Spain,ISIC4_A,MALE,6.08
2012,Spain,NONAGR,BOTHSEX,4.19
2012,Spain,TOTAL,FEMALE,4.76
2012,Spain,NONAGR,MALE,3.74
2012,Spain,NONAGR,FEMALE,4.75
2012,Spain,ISIC4_A,BOTHSEX,5.89
2011,Lithuania,NONAGR,BOTHSEX,5.77
2011,Lithuania,ISIC4_A,MALE,35.77
2011,Lithuania,NONAGR,FEMALE,7.11
2011,Lithuania,NONAGR,MALE,4.27
2012,Lithuania,ISIC4_A,BOTHSEX,41.34
2012,Lithuania,ISIC4_A,FEMALE,56.42
2012,Lithuania,TOTAL,FEMALE,12.93
2012,Lithuania,NONAGR,BOTHSEX,8.51
2012,Lithuania,NONAGR,MALE,6.34
2012,Lithuania,TOTAL,BOTHSEX,11.22
2012,Lithuania,TOTAL,MALE,9.41
2012,Lithuania,NONAGR,FEMALE,10.43
2012,Lithuania,ISIC4_A,MALE,33.62
2013,Lithuania,NONAGR,BOTHSEX,6.33
2013,Lithuania,ISIC4_A,BOTHSEX,39.45
2013,Lithuania,NONAGR,FEMALE,7.42
2015,Austria,TOTAL,FEMALE,4.27
2016,Austria,TOTAL,MALE,3.54
2016,Austria,ISIC4_A,BOTHSEX,17.18
2016,Austria,TOTAL,FEMALE,6.39
2016,Austria,TOTAL,BOTHSEX,4.82
2016,Austria,ISIC4_A,FEMALE,26.41
2016,Austria,NONAGR,MALE,3.33
2016,Austria,ISIC4_A,MALE,9.61
2013,Spain,TOTAL,BOTHSEX,5.15
2013,Spain,NONAGR,MALE,4.33
2013,Spain,TOTAL,MALE,4.59
2013,Spain,NONAGR,BOTHSEX,5.03
2013,Spain,ISIC4_A,MALE,8.18
2013,Spain,ISIC4_A,BOTHSEX,7.62
2013,Spain,TOTAL,FEMALE,5.86
2013,Spain,ISIC4_A,FEMALE,5.92
2013,Lithuania,NONAGR,MALE,5.17
2013,Lithuania,ISIC4_A,MALE,32.05
2013,Lithuania,TOTAL,FEMALE,10.0
2013,Lithuania,TOTAL,BOTHSEX,9.01
2013,Lithuania,ISIC4_A,FEMALE,53.5
2013,Lithuania,TOTAL,MALE,8.03
2014,Lithuania,ISIC4_A,BOTHSEX,31.9
2014,Lithuania,TOTAL,MALE,4.32
2016,Austria,NONAGR,FEMALE,5.66
2016,Austria,NONAGR,BOTHSEX,4.37
2017,Austria,ISIC4_A,MALE,10.29
2017,Austria,ISIC4_A,FEMALE,17.64
2017,Austria,ISIC4_A,BOTHSEX,13.35
2017,Austria,NONAGR,FEMALE,4.3
2017,Austria,NONAGR,BOTHSEX,3.87
2017,Austria,TOTAL,MALE,3.77
2017,Austria,TOTAL,BOTHSEX,4.21
2017,Austria,TOTAL,FEMALE,4.75
2017,Austria,NONAGR,MALE,3.51
2018,Austria,ISIC4_A,BOTHSEX,12.04
2018,Austria,ISIC4_A,MALE,6.36
2018,Austria,TOTAL,FEMALE,5.2
2018,Austria,ISIC4_A,FEMALE,20.46
2018,Austria,NONAGR,MALE,4.12
2013,Spain,NONAGR,FEMALE,5.86
2014,Spain,ISIC4_A,MALE,7.92
2014,Spain,TOTAL,FEMALE,6.82
2014,Spain,ISIC4_A,FEMALE,6.76
2014,Spain,ISIC4_A,BOTHSEX,7.58
2014,Spain,NONAGR,FEMALE,6.83
2014,Spain,TOTAL,MALE,6.69
2014,Spain,TOTAL,BOTHSEX,6.75
2018,Austria,TOTAL,BOTHSEX,4.66
2018,Austria,NONAGR,BOTHSEX,4.37
2018,Austria,NONAGR,FEMALE,4.67
2018,Austria,TOTAL,MALE,4.21
2019,Austria,NONAGR,MALE,4.47
2019,Austria,TOTAL,BOTHSEX,5.61
2019,Austria,NONAGR,BOTHSEX,5.01
2019,Austria,NONAGR,FEMALE,5.68
2019,Austria,ISIC4_A,MALE,14.94
2019,Austria,ISIC4_A,FEMALE,27.48
2019,Austria,ISIC4_A,BOTHSEX,20.44
2019,Austria,TOTAL,MALE,4.88
2019,Austria,TOTAL,FEMALE,6.51
2020,Austria,NONAGR,BOTHSEX,4.2
2020,Austria,TOTAL,MALE,4.02
2020,Austria,TOTAL,BOTHSEX,4.49
2014,Lithuania,ISIC4_A,MALE,21.84
2014,Lithuania,NONAGR,FEMALE,5.44
2014,Lithuania,ISIC4_A,FEMALE,51.7
2014,Lithuania,TOTAL,BOTHSEX,6.16
2014,Lithuania,NONAGR,BOTHSEX,3.85
2014,Lithuania,TOTAL,FEMALE,8.04
2014,Lithuania,NONAGR,MALE,2.19
2015,Lithuania,TOTAL,FEMALE,8.19
2014,Spain,NONAGR,BOTHSEX,6.71
2014,Spain,NONAGR,MALE,6.61
2015,Spain,TOTAL,MALE,6.63
2015,Spain,NONAGR,MALE,6.72
2015,Spain,ISIC4_A,FEMALE,9.94
2015,Spain,TOTAL,BOTHSEX,6.78
2015,Spain,ISIC4_A,MALE,5.36
2015,Spain,NONAGR,BOTHSEX,6.79
2020,Austria,NONAGR,FEMALE,4.85
2020,Austria,NONAGR,MALE,3.67
2020,Austria,ISIC4_A,FEMALE,12.06
2020,Austria,TOTAL,FEMALE,5.07
2020,Austria,ISIC4_A,BOTHSEX,12.25
2020,Austria,ISIC4_A,MALE,12.36
2021,Austria,TOTAL,MALE,5.35
2021,Austria,ISIC4_A,FEMALE,15.76
2021,Austria,NONAGR,MALE,5.19
2021,Austria,TOTAL,BOTHSEX,6.04
2021,Austria,NONAGR,FEMALE,6.57
2021,Austria,ISIC4_A,BOTHSEX,11.96
2021,Austria,TOTAL,FEMALE,6.89
2021,Austria,ISIC4_A,MALE,9.27
2021,Austria,NONAGR,BOTHSEX,5.81
2018,Armenia,TOTAL,FEMALE,38.94
2015,Lithuania,ISIC4_A,MALE,30.47
2015,Lithuania,NONAGR,BOTHSEX,3.48
2015,Lithuania,TOTAL,BOTHSEX,6.54
2015,Lithuania,ISIC4_A,FEMALE,54.23
2015,Lithuania,NONAGR,MALE,1.61
2015,Lithuania,NONAGR,FEMALE,5.31
2015,Lithuania,TOTAL,MALE,4.96
2015,Lithuania,ISIC4_A,BOTHSEX,38.27
2015,Spain,NONAGR,FEMALE,6.87
2015,Spain,ISIC4_A,BOTHSEX,6.66
2015,Spain,TOTAL,FEMALE,6.96
2016,Spain,TOTAL,FEMALE,5.84
2016,Spain,TOTAL,MALE,5.72
2016,Spain,ISIC4_A,MALE,6.52
2016,Spain,ISIC4_A,FEMALE,4.92
2016,Spain,NONAGR,MALE,5.67
2016,Spain,TOTAL,BOTHSEX,5.77
2016,Spain,ISIC4_A,BOTHSEX,6.02
2016,Spain,NONAGR,BOTHSEX,5.76
2016,Spain,NONAGR,FEMALE,5.86
2017,Spain,TOTAL,FEMALE,6.58
2017,Spain,ISIC4_A,FEMALE,5.15
2017,Spain,TOTAL,BOTHSEX,6.63
2017,Spain,NONAGR,FEMALE,6.62
2018,Armenia,TOTAL,BOTHSEX,46.01
2018,Armenia,ISIC4_A,FEMALE,98.73
2018,Armenia,TOTAL,MALE,51.26
2018,Armenia,ISIC4_A,MALE,96.78
2018,Armenia,NONAGR,MALE,37.13
2018,Armenia,NONAGR,BOTHSEX,28.06
2018,Armenia,NONAGR,FEMALE,15.01
2018,Armenia,ISIC4_A,BOTHSEX,97.7
2016,Lithuania,NONAGR,MALE,2.51
2016,Lithuania,NONAGR,FEMALE,5.55
2016,Lithuania,ISIC4_A,BOTHSEX,39.72
2016,Lithuania,ISIC4_A,FEMALE,52.27
2016,Lithuania,TOTAL,BOTHSEX,6.91
2016,Lithuania,NONAGR,BOTHSEX,4.08
2016,Lithuania,TOTAL,FEMALE,7.9
2016,Lithuania,TOTAL,MALE,5.93
2017,Spain,NONAGR,MALE,6.57
2017,Spain,ISIC4_A,BOTHSEX,7.46
2017,Spain,ISIC4_A,MALE,8.39
2017,Spain,TOTAL,MALE,6.67
2017,Spain,NONAGR,BOTHSEX,6.59
2018,Spain,NONAGR,MALE,5.03
2018,Spain,TOTAL,MALE,4.95
2018,Spain,ISIC4_A,MALE,3.83
2019,Armenia,TOTAL,MALE,45.36
2019,Armenia,NONAGR,BOTHSEX,24.3
2019,Armenia,ISIC4_A,BOTHSEX,96.28
2019,Armenia,TOTAL,BOTHSEX,39.92
2019,Armenia,NONAGR,FEMALE,12.49
2019,Armenia,ISIC4_A,MALE,95.2
2019,Armenia,ISIC4_A,FEMALE,97.42
2019,Armenia,NONAGR,MALE,33.02
2016,Lithuania,ISIC4_A,MALE,33.94
2017,Lithuania,TOTAL,BOTHSEX,6.36
2017,Lithuania,ISIC4_A,BOTHSEX,36.8
2017,Lithuania,NONAGR,MALE,2.28
2017,Lithuania,NONAGR,FEMALE,5.83
2017,Lithuania,TOTAL,FEMALE,7.91
2017,Lithuania,TOTAL,MALE,4.74
2017,Lithuania,ISIC4_A,MALE,28.29
2018,Spain,TOTAL,BOTHSEX,5.94
2018,Spain,NONAGR,FEMALE,7.23
2018,Spain,NONAGR,BOTHSEX,6.05
2018,Spain,ISIC4_A,FEMALE,4.07
2018,Spain,TOTAL,FEMALE,7.14
2018,Spain,ISIC4_A,BOTHSEX,3.89
2019,Spain,TOTAL,FEMALE,6.51
2019,Spain,ISIC4_A,BOTHSEX,6.68
2019,Armenia,TOTAL,FEMALE,32.93
2020,Armenia,ISIC4_A,FEMALE,96.65
2020,Armenia,ISIC4_A,MALE,94.21
2020,Armenia,NONAGR,BOTHSEX,18.13
2020,Armenia,ISIC4_A,BOTHSEX,95.28
2020,Armenia,NONAGR,MALE,26.44
2020,Armenia,TOTAL,MALE,41.93
2020,Armenia,TOTAL,FEMALE,26.88
2017,Lithuania,NONAGR,BOTHSEX,4.14
2017,Lithuania,ISIC4_A,FEMALE,55.19
2018,Lithuania,NONAGR,BOTHSEX,4.2
2018,Lithuania,TOTAL,MALE,4.02
2018,Lithuania,NONAGR,MALE,2.2
2018,Lithuania,NONAGR,FEMALE,6.06
2018,Lithuania,ISIC4_A,BOTHSEX,33.89
2018,Lithuania,ISIC4_A,MALE,24.9
2019,Spain,TOTAL,MALE,5.66
2019,Spain,NONAGR,FEMALE,6.4
2019,Spain,TOTAL,BOTHSEX,6.05
2019,Spain,NONAGR,BOTHSEX,6.02
2019,Spain,ISIC4_A,MALE,5.38
2019,Spain,ISIC4_A,FEMALE,10.45
2019,Spain,NONAGR,MALE,5.68
2020,Spain,NONAGR,FEMALE,5.0
2018,Lithuania,ISIC4_A,FEMALE,49.86
2018,Lithuania,TOTAL,BOTHSEX,6.03
2018,Lithuania,TOTAL,FEMALE,7.98
2019,Lithuania,ISIC4_A,BOTHSEX,31.36
2019,Lithuania,ISIC4_A,FEMALE,47.53
2019,Lithuania,TOTAL,MALE,4.27
2019,Lithuania,TOTAL,FEMALE,6.61
2019,Lithuania,NONAGR,FEMALE,4.95
2020,Armenia,NONAGR,FEMALE,8.76
2020,Armenia,TOTAL,BOTHSEX,34.96
2007,Belgium,ISIC4_A,FEMALE,18.35
2007,Belgium,TOTAL,BOTHSEX,7.09
2007,Belgium,NONAGR,FEMALE,7.19
2007,Belgium,TOTAL,MALE,6.93
2007,Belgium,ISIC4_A,BOTHSEX,17.68
2007,Belgium,NONAGR,BOTHSEX,6.89
2007,Belgium,NONAGR,MALE,6.64
2007,Belgium,ISIC4_A,MALE,17.48
2007,Belgium,TOTAL,FEMALE,7.3
2008,Belgium,NONAGR,FEMALE,4.55
2008,Belgium,ISIC4_A,FEMALE,29.46
2008,Belgium,ISIC4_A,BOTHSEX,16.0
2008,Belgium,TOTAL,FEMALE,4.84
2008,Belgium,NONAGR,BOTHSEX,4.13
2020,Spain,ISIC4_A,FEMALE,5.99
2020,Spain,TOTAL,BOTHSEX,5.04
2020,Spain,NONAGR,BOTHSEX,4.97
2020,Spain,ISIC4_A,MALE,6.78
2020,Spain,ISIC4_A,BOTHSEX,6.59
2020,Spain,NONAGR,MALE,4.95
2020,Spain,TOTAL,FEMALE,5.02
2020,Spain,TOTAL,MALE,5.06
2008,Belgium,TOTAL,BOTHSEX,4.34
2008,Belgium,TOTAL,MALE,3.94
2008,Belgium,NONAGR,MALE,3.78
2008,Belgium,ISIC4_A,MALE,10.62
2009,Belgium,NONAGR,MALE,4.7
2009,Belgium,NONAGR,BOTHSEX,4.95
2009,Belgium,ISIC4_A,MALE,17.08
2009,Belgium,TOTAL,FEMALE,6.12
2019,Lithuania,NONAGR,BOTHSEX,3.94
2019,Lithuania,NONAGR,MALE,2.89
2019,Lithuania,ISIC4_A,MALE,22.33
2019,Lithuania,TOTAL,BOTHSEX,5.45
2020,Lithuania,TOTAL,BOTHSEX,6.25
2020,Lithuania,NONAGR,BOTHSEX,4.54
2020,Lithuania,NONAGR,MALE,2.77
2020,Lithuania,TOTAL,MALE,4.89
2021,Spain,TOTAL,FEMALE,6.47
2021,Spain,NONAGR,FEMALE,6.51
2021,Spain,ISIC4_A,FEMALE,4.38
2021,Spain,TOTAL,MALE,5.89
2021,Spain,ISIC4_A,BOTHSEX,9.57
2021,Spain,NONAGR,MALE,5.56
2021,Spain,TOTAL,BOTHSEX,6.15
2021,Spain,NONAGR,BOTHSEX,6.0
2021,Spain,ISIC4_A,MALE,11.11
2007,Sweden,NONAGR,FEMALE,4.68
2007,Sweden,NONAGR,MALE,4.62
2007,Sweden,TOTAL,MALE,4.83
2007,Sweden,TOTAL,FEMALE,4.69
2007,Sweden,TOTAL,BOTHSEX,4.76
2007,Sweden,ISIC4_A,MALE,21.6
2007,Sweden,ISIC4_A,BOTHSEX,19.68
2009,Belgium,ISIC4_A,FEMALE,64.55
2009,Belgium,ISIC4_A,BOTHSEX,34.91
2009,Belgium,TOTAL,MALE,4.95
2009,Belgium,NONAGR,FEMALE,5.25
2009,Belgium,TOTAL,BOTHSEX,5.48
2010,Belgium,NONAGR,FEMALE,5.23
2010,Belgium,TOTAL,MALE,4.32
2010,Belgium,TOTAL,FEMALE,5.5
2020,Lithuania,ISIC4_A,FEMALE,49.05
2020,Lithuania,TOTAL,FEMALE,7.65
2020,Lithuania,ISIC4_A,BOTHSEX,36.64
2020,Lithuania,ISIC4_A,MALE,31.36
2020,Lithuania,NONAGR,FEMALE,6.27
2021,Lithuania,ISIC4_A,MALE,32.5
2021,Lithuania,ISIC4_A,BOTHSEX,34.82
2021,Lithuania,NONAGR,BOTHSEX,3.6
2007,Sweden,NONAGR,BOTHSEX,4.65
2008,Sweden,TOTAL,FEMALE,5.65
2008,Sweden,NONAGR,MALE,5.12
2008,Sweden,NONAGR,FEMALE,5.66
2008,Sweden,TOTAL,BOTHSEX,5.38
2008,Sweden,TOTAL,MALE,5.15
2008,Sweden,NONAGR,BOTHSEX,5.38
2009,Sweden,NONAGR,MALE,4.85
2010,Belgium,NONAGR,MALE,4.23
2010,Belgium,ISIC4_A,FEMALE,25.14
2010,Belgium,ISIC4_A,MALE,8.47
2010,Belgium,TOTAL,BOTHSEX,4.86
2010,Belgium,ISIC4_A,BOTHSEX,14.44
2010,Belgium,NONAGR,BOTHSEX,4.69
2011,Belgium,TOTAL,BOTHSEX,6.06
2011,Belgium,NONAGR,MALE,5.94
2011,Belgium,NONAGR,FEMALE,5.52
2011,Belgium,ISIC4_A,BOTHSEX,33.68
2011,Belgium,ISIC4_A,MALE,24.58
2011,Belgium,TOTAL,MALE,6.22
2011,Belgium,ISIC4_A,FEMALE,55.36
2011,Belgium,NONAGR,BOTHSEX,5.75
2011,Belgium,TOTAL,FEMALE,5.88
2012,Belgium,ISIC4_A,BOTHSEX,27.3
2021,Lithuania,TOTAL,BOTHSEX,5.09
2021,Lithuania,NONAGR,MALE,1.94
2021,Lithuania,NONAGR,FEMALE,5.2
2021,Lithuania,ISIC4_A,FEMALE,39.0
2021,Lithuania,TOTAL,MALE,3.82
2021,Lithuania,TOTAL,FEMALE,6.34
2007,Luxembourg,TOTAL,FEMALE,2.23
2007,Luxembourg,NONAGR,FEMALE,1.37
2007,Luxembourg,TOTAL,MALE,1.31
2007,Luxembourg,NONAGR,BOTHSEX,1.29
2007,Luxembourg,ISIC4_A,FEMALE,50.19
2007,Luxembourg,ISIC4_A,MALE,4.7
2007,Luxembourg,TOTAL,BOTHSEX,1.69
2007,Luxembourg,NONAGR,MALE,1.23
2007,Luxembourg,ISIC4_A,BOTHSEX,20.77
2008,Luxembourg,TOTAL,FEMALE,2.11
2009,Sweden,TOTAL,FEMALE,4.58
2009,Sweden,ISIC4_A,BOTHSEX,9.19
2009,Sweden,NONAGR,BOTHSEX,4.72
2009,Sweden,TOTAL,BOTHSEX,4.78
2009,Sweden,ISIC4_A,MALE,9.9
2009,Sweden,NONAGR,FEMALE,4.57
2009,Sweden,TOTAL,MALE,4.96
