Year,GeoAreaName,Name of non-communicable disease,Sex,Value
2010,Cyprus,CAN,BOTHSEX,1442
2010,Cyprus,DIA,BOTHSEX,398
2010,Cyprus,CAR,BOTHSEX,2345
2010,Cyprus,RES,BOTHSEX,461
2010,Cyprus,DIA,MALE,182
2015,Cyprus,CAR,MALE,1138
2015,Cyprus,CAN,MALE,891
2015,Cyprus,CAN,FEMALE,641
2019,Hungary,RES,FEMALE,3303
2019,Hungary,CAN,FEMALE,14689
2019,Hungary,CAR,MALE,27276
2019,Hungary,RES,MALE,3741
2019,Hungary,DIA,MALE,1341
2019,Hungary,CAN,MALE,16965
2000,Iceland,CAR,BOTHSEX,721
2000,Iceland,CAN,BOTHSEX,508
2000,Iceland,DIA,BOTHSEX,24
2000,Iceland,RES,FEMALE,58
2000,Iceland,CAN,FEMALE,236
2000,Iceland,RES,BOTHSEX,101
2000,Iceland,CAR,FEMALE,341
2000,Iceland,CAN,MALE,273
2000,Iceland,CAR,MALE,379
2000,Iceland,RES,MALE,43
2000,Iceland,DIA,MALE,12
2000,Iceland,DIA,FEMALE,11
2015,Cyprus,CAR,FEMALE,1124
2015,Cyprus,DIA,FEMALE,216
2015,Cyprus,RES,MALE,345
2015,Cyprus,RES,FEMALE,272
2015,Cyprus,CAN,BOTHSEX,1531
2015,Cyprus,CAR,BOTHSEX,2261
2015,Cyprus,DIA,BOTHSEX,424
2015,Cyprus,RES,BOTHSEX,617
2015,Cyprus,DIA,MALE,208
2010,Armenia,RES,BOTHSEX,1201
2010,Armenia,CAN,BOTHSEX,5636
2010,Armenia,DIA,MALE,535
2010,Armenia,RES,MALE,713
2010,Armenia,RES,FEMALE,488
2010,Armenia,CAR,FEMALE,7252
2010,Armenia,CAR,BOTHSEX,14005
2010,Armenia,CAN,FEMALE,2452
2015,Armenia,CAR,BOTHSEX,13114
2005,Iceland,RES,MALE,49
2005,Iceland,CAR,BOTHSEX,699
2005,Iceland,RES,BOTHSEX,105
2005,Iceland,CAN,BOTHSEX,509
2005,Iceland,DIA,MALE,12
2005,Iceland,CAN,MALE,275
2005,Iceland,DIA,BOTHSEX,23
2005,Iceland,CAR,FEMALE,335
2005,Iceland,CAN,FEMALE,233
2019,Cyprus,CAR,FEMALE,1005
2019,Cyprus,CAR,BOTHSEX,2094
2019,Cyprus,RES,BOTHSEX,636
2019,Cyprus,CAN,BOTHSEX,1600
2019,Cyprus,DIA,BOTHSEX,394
2019,Cyprus,DIA,FEMALE,199
2019,Cyprus,DIA,MALE,195
2019,Cyprus,CAR,MALE,1089
2019,Cyprus,RES,MALE,349
2019,Cyprus,CAN,MALE,916
2019,Cyprus,CAN,FEMALE,684
2019,Cyprus,RES,FEMALE,287
2000,Czechia,CAR,BOTHSEX,56431
2000,Czechia,CAN,MALE,15845
2000,Czechia,DIA,FEMALE,810
2000,Czechia,CAR,FEMALE,30942
2000,Czechia,RES,MALE,1986
2000,Czechia,DIA,MALE,595
2005,Iceland,DIA,FEMALE,11
2005,Iceland,RES,FEMALE,56
2005,Iceland,CAR,MALE,364
2010,Iceland,DIA,BOTHSEX,24
2010,Iceland,CAN,BOTHSEX,579
2010,Iceland,CAR,BOTHSEX,699
2010,Iceland,RES,MALE,60
2010,Iceland,DIA,MALE,13
